,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.5831459164619446,0.01,0.0069444445,0.007246376811594203,0.006666666666666667
1,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.4736594557762146,0.02,0.013888889,0.007246376811594203,0.02
2,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.40025150775909424,0.03,0.020833334,0.007246376811594203,0.03333333333333333
3,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.3463185429573059,0.04,0.027777778,0.007246376811594203,0.04666666666666667
4,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.30414438247680664,0.05,0.048611112,0.0,0.09333333333333334
5,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.26968100666999817,0.06,0.072916664,0.007246376811594203,0.13333333333333333
6,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.2405579537153244,0.07,0.11111111,0.0,0.21333333333333335
7,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.21592159569263458,0.08,0.16666667,0.0,0.32
8,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.1942954659461975,0.09,0.21180555,0.0,0.4066666666666667
9,GaussianNoise,bikeMotorbike,alexnet,20_80,bing,0.17546723783016205,0.1,0.27430555,0.007246376811594203,0.52
10,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.5830397009849548,0.01,0.006849315,0.007042253521126761,0.006666666666666667
11,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.47354060411453247,0.02,0.01369863,0.007042253521126761,0.02
12,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.4001430571079254,0.03,0.01369863,0.0,0.02666666666666667
13,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.34610605239868164,0.04,0.03767123,0.007042253521126761,0.06666666666666667
14,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.30403780937194824,0.05,0.047945205,0.007042253521126761,0.08666666666666667
15,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.2697480022907257,0.06,0.09589041,0.007042253521126761,0.18
16,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.2408803105354309,0.07,0.12328767,0.0,0.24
17,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.21592940390110016,0.08,0.17123288,0.007042253521126761,0.32666666666666666
18,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.19431760907173157,0.09,0.18150684,0.007042253521126761,0.3466666666666667
19,GaussianNoise,bikeMotorbike,alexnet,30_70,bing,0.17538636922836304,0.1,0.26027396,0.014084507042253521,0.49333333333333335
20,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.5830709338188171,0.01,0.0034013605,0.0,0.006711409395973154
21,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.47359538078308105,0.02,0.006802721,0.0,0.013422818791946308
22,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.40010228753089905,0.03,0.010204081,0.0,0.020134228187919462
23,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.34637999534606934,0.04,0.051020406,0.0,0.10067114093959731
24,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.3041166067123413,0.05,0.09863945,0.0,0.19463087248322147
25,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.26955723762512207,0.06,0.1802721,0.0,0.35570469798657717
26,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.24058856070041656,0.07,0.24829932,0.0,0.4899328859060403
27,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.21585358679294586,0.08,0.28231293,0.0,0.5570469798657718
28,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.1944543570280075,0.09,0.33673468,0.0,0.6644295302013423
29,GaussianNoise,bikeMotorbike,alexnet,40_60,bing,0.1756451576948166,0.1,0.37414965,0.0,0.738255033557047
30,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.5830882787704468,0.01,0.0033898305,0.0,0.006711409395973154
31,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.4734347462654114,0.02,0.006779661,0.0,0.013422818791946308
32,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.4000604748725891,0.03,0.027118644,0.0,0.053691275167785234
33,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.3461754620075226,0.04,0.094915256,0.0,0.18791946308724833
34,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.30396971106529236,0.05,0.17627119,0.0,0.348993288590604
35,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.2696472406387329,0.06,0.24067797,0.0,0.47651006711409394
36,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.2406996637582779,0.07,0.29152542,0.0,0.5771812080536913
37,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.21583110094070435,0.08,0.33898306,0.0,0.6711409395973155
38,GaussianNoise,bikeMotorbike,alexnet,50_50,bing,0.19439895451068878,0.09,0.3898305,0.0,0.7718120805369127
