,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GreyScale,bikeMotorbike,alexnet,20_80,bing,0.8464600443840027,1,0.041666668,0.08695652173913043,0.0
1,GreyScale,bikeMotorbike,alexnet,30_70,bing,0.8464600443840027,1,0.030821918,0.06338028169014084,0.0
2,GreyScale,bikeMotorbike,alexnet,40_60,bing,0.8464600443840027,1,0.020408163,0.041379310344827586,0.0
3,GreyScale,bikeMotorbike,alexnet,50_50,bing,0.8464600443840027,1,0.0033898305,0.00684931506849315,0.0
4,GreyScale,bikeMotorbike,resnet,20_80,bing,0.8464600443840027,1,0.0,0.0,0.0
5,GreyScale,bikeMotorbike,resnet,30_70,bing,0.8464600443840027,1,0.0,0.0,0.0
6,GreyScale,bikeMotorbike,resnet,40_60,bing,0.8464600443840027,1,0.0,0.0,0.0
7,GreyScale,bikeMotorbike,resnet,50_50,bing,0.8464600443840027,1,0.0,0.0,0.0
8,GreyScale,bikeMotorbike,vgg,20_80,bing,0.8464600443840027,1,0.0033898305,0.006896551724137931,0.0
9,GreyScale,bikeMotorbike,vgg,30_70,bing,0.8464600443840027,1,0.0034013605,0.006944444444444444,0.0
10,GreyScale,bikeMotorbike,vgg,40_60,bing,0.8464600443840027,1,0.0,0.0,0.0
11,GreyScale,bikeMotorbike,vgg,50_50,bing,0.8464600443840027,1,0.0,0.0,0.0
12,GreyScale,bikeMotorbike,alexnet,20_80,google,0.8769874572753906,1,0.013651877,0.027777777777777776,0.0
13,GreyScale,bikeMotorbike,alexnet,30_70,google,0.8769874572753906,1,0.016891893,0.03424657534246575,0.0
14,GreyScale,bikeMotorbike,alexnet,40_60,google,0.8769874572753906,1,0.006779661,0.013605442176870748,0.0
15,GreyScale,bikeMotorbike,alexnet,50_50,google,0.8769874572753906,1,0.0034013605,0.006802721088435374,0.0
16,GreyScale,bikeMotorbike,resnet,20_80,google,0.8769874572753906,1,0.0033898305,0.0,0.006666666666666667
17,GreyScale,bikeMotorbike,resnet,30_70,google,0.8769874572753906,1,0.006688963,0.006711409395973154,0.006666666666666667
18,GreyScale,bikeMotorbike,resnet,40_60,google,0.8769874572753906,1,0.0067340066,0.0,0.013513513513513514
19,GreyScale,bikeMotorbike,resnet,50_50,google,0.8769874572753906,1,0.006779661,0.0,0.0136986301369863
20,GreyScale,bikeMotorbike,vgg,20_80,google,0.8769874572753906,1,0.0033670033,0.006802721088435374,0.0
21,GreyScale,bikeMotorbike,vgg,30_70,google,0.8769874572753906,1,0.0033444816,0.0,0.006666666666666667
22,GreyScale,bikeMotorbike,vgg,40_60,google,0.8769874572753906,1,0.0033670033,0.0,0.006756756756756757
23,GreyScale,bikeMotorbike,vgg,50_50,google,0.8769874572753906,1,0.0033670033,0.0,0.006756756756756757
