,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,InvertColor,bikeMotorbike,alexnet,20_80,bing,0.3619503080844879,1,0.041666668,0.07246376811594203,0.013333333333333334
1,InvertColor,bikeMotorbike,alexnet,30_70,bing,0.3619503080844879,1,0.047945205,0.056338028169014086,0.04
2,InvertColor,bikeMotorbike,alexnet,40_60,bing,0.3619503080844879,1,0.040816326,0.027586206896551724,0.053691275167785234
3,InvertColor,bikeMotorbike,alexnet,50_50,bing,0.3619503080844879,1,0.061016947,0.02054794520547945,0.10067114093959731
4,InvertColor,bikeMotorbike,resnet,20_80,bing,0.3619503080844879,1,0.013651877,0.02097902097902098,0.006666666666666667
5,InvertColor,bikeMotorbike,resnet,30_70,bing,0.3619503080844879,1,0.013605442,0.020833333333333332,0.006666666666666667
6,InvertColor,bikeMotorbike,resnet,40_60,bing,0.3619503080844879,1,0.010169491,0.013793103448275862,0.006666666666666667
7,InvertColor,bikeMotorbike,resnet,50_50,bing,0.3619503080844879,1,0.013513514,0.00684931506849315,0.02
8,InvertColor,bikeMotorbike,vgg,20_80,bing,0.3619503080844879,1,0.010169491,0.020689655172413793,0.0
9,InvertColor,bikeMotorbike,vgg,30_70,bing,0.3619503080844879,1,0.006802721,0.013888888888888888,0.0
10,InvertColor,bikeMotorbike,vgg,40_60,bing,0.3619503080844879,1,0.0033898305,0.0,0.006666666666666667
11,InvertColor,bikeMotorbike,vgg,50_50,bing,0.3619503080844879,1,0.016949153,0.0,0.03333333333333333
12,InvertColor,bikeMotorbike,alexnet,20_80,google,0.2885570228099823,1,0.058020476,0.013888888888888888,0.10067114093959731
13,InvertColor,bikeMotorbike,alexnet,30_70,google,0.2885570228099823,1,0.081081085,0.0136986301369863,0.14666666666666667
14,InvertColor,bikeMotorbike,alexnet,40_60,google,0.2885570228099823,1,0.09152542,0.013605442176870748,0.16891891891891891
15,InvertColor,bikeMotorbike,alexnet,50_50,google,0.2885570228099823,1,0.14285713,0.02040816326530612,0.2653061224489796
16,InvertColor,bikeMotorbike,resnet,20_80,google,0.2885570228099823,1,0.0,0.0,0.0
17,InvertColor,bikeMotorbike,resnet,30_70,google,0.2885570228099823,1,0.02341137,0.013422818791946308,0.03333333333333333
18,InvertColor,bikeMotorbike,resnet,40_60,google,0.2885570228099823,1,0.016835017,0.006711409395973154,0.02702702702702703
19,InvertColor,bikeMotorbike,resnet,50_50,google,0.2885570228099823,1,0.040677965,0.0,0.0821917808219178
20,InvertColor,bikeMotorbike,vgg,20_80,google,0.2885570228099823,1,0.016835017,0.013605442176870748,0.02
21,InvertColor,bikeMotorbike,vgg,30_70,google,0.2885570228099823,1,0.04347826,0.006711409395973154,0.08
22,InvertColor,bikeMotorbike,vgg,40_60,google,0.2885570228099823,1,0.05050505,0.006711409395973154,0.0945945945945946
23,InvertColor,bikeMotorbike,vgg,50_50,google,0.2885570228099823,1,0.077441074,0.0,0.1554054054054054
