,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,PGD,bikeMotorbike,alexnet,20_80,bing,0.7602760791778564,0.05,0.097222224,0.17391304347826086,0.02666666666666667
1,PGD,bikeMotorbike,alexnet,20_80,bing,0.659498929977417,0.1,0.125,0.21014492753623187,0.04666666666666667
2,PGD,bikeMotorbike,alexnet,20_80,bing,0.5854662656784058,0.15,0.14583333,0.2246376811594203,0.07333333333333333
3,PGD,bikeMotorbike,alexnet,20_80,bing,0.521162211894989,0.2,0.1388889,0.17391304347826086,0.10666666666666667
4,PGD,bikeMotorbike,alexnet,20_80,bing,0.46053239703178406,0.25,0.1388889,0.15217391304347827,0.12666666666666668
5,PGD,bikeMotorbike,alexnet,20_80,bing,0.406635046005249,0.3,0.15972222,0.10144927536231885,0.21333333333333335
6,PGD,bikeMotorbike,alexnet,30_70,bing,0.7588955163955688,0.05,0.061643835,0.09859154929577464,0.02666666666666667
7,PGD,bikeMotorbike,alexnet,30_70,bing,0.6582987308502197,0.1,0.09589041,0.14788732394366197,0.04666666666666667
8,PGD,bikeMotorbike,alexnet,30_70,bing,0.5846118330955505,0.15,0.09931507,0.14084507042253522,0.06
9,PGD,bikeMotorbike,alexnet,30_70,bing,0.5202170610427856,0.2,0.10958904,0.11267605633802817,0.10666666666666667
10,PGD,bikeMotorbike,alexnet,30_70,bing,0.46011146903038025,0.25,0.14383562,0.1056338028169014,0.18
11,PGD,bikeMotorbike,alexnet,30_70,bing,0.4062718451023102,0.3,0.18835616,0.08450704225352113,0.2866666666666667
12,PGD,bikeMotorbike,alexnet,40_60,bing,0.7551720142364502,0.05,0.06802721,0.09655172413793103,0.040268456375838924
13,PGD,bikeMotorbike,alexnet,40_60,bing,0.6555028557777405,0.1,0.11564626,0.1310344827586207,0.10067114093959731
14,PGD,bikeMotorbike,alexnet,40_60,bing,0.5825517773628235,0.15,0.12585033,0.11724137931034483,0.1342281879194631
15,PGD,bikeMotorbike,alexnet,40_60,bing,0.518883466720581,0.2,0.1632653,0.11724137931034483,0.2080536912751678
16,PGD,bikeMotorbike,alexnet,40_60,bing,0.45906126499176025,0.25,0.21768707,0.0896551724137931,0.3422818791946309
17,PGD,bikeMotorbike,alexnet,40_60,bing,0.4056580066680908,0.3,0.26190475,0.05517241379310345,0.46308724832214765
18,PGD,bikeMotorbike,alexnet,50_50,bing,0.7548760175704956,0.05,0.06779661,0.07534246575342465,0.06040268456375839
19,PGD,bikeMotorbike,alexnet,50_50,bing,0.6555819511413574,0.1,0.122033894,0.0958904109589041,0.1476510067114094
20,PGD,bikeMotorbike,alexnet,50_50,bing,0.5829518437385559,0.15,0.15932204,0.0821917808219178,0.2348993288590604
21,PGD,bikeMotorbike,alexnet,50_50,bing,0.5195021629333496,0.2,0.20338982,0.08904109589041095,0.31543624161073824
22,PGD,bikeMotorbike,alexnet,50_50,bing,0.4598027169704437,0.25,0.2338983,0.0684931506849315,0.3959731543624161
23,PGD,bikeMotorbike,alexnet,50_50,bing,0.40628480911254883,0.3,0.29491526,0.0410958904109589,0.5436241610738255
24,PGD,bikeMotorbike,resnet,20_80,bing,0.7822854518890381,0.05,0.105802044,0.21678321678321677,0.0
25,PGD,bikeMotorbike,resnet,20_80,bing,0.6778900027275085,0.1,0.15358362,0.2727272727272727,0.04
26,PGD,bikeMotorbike,resnet,20_80,bing,0.597359836101532,0.15,0.19112627,0.2517482517482518,0.13333333333333333
27,PGD,bikeMotorbike,resnet,20_80,bing,0.5278254747390747,0.2,0.20477815,0.23076923076923078,0.18
28,PGD,bikeMotorbike,resnet,20_80,bing,0.4640110433101654,0.25,0.23890784,0.21678321678321677,0.26
29,PGD,bikeMotorbike,resnet,20_80,bing,0.4081067442893982,0.3,0.32423207,0.21678321678321677,0.4266666666666667
30,PGD,bikeMotorbike,resnet,30_70,bing,0.7826681733131409,0.05,0.105442174,0.20833333333333334,0.006666666666666667
31,PGD,bikeMotorbike,resnet,30_70,bing,0.6782504320144653,0.1,0.13265306,0.22916666666666666,0.04
32,PGD,bikeMotorbike,resnet,30_70,bing,0.5976513028144836,0.15,0.16666666,0.22916666666666666,0.10666666666666667
33,PGD,bikeMotorbike,resnet,30_70,bing,0.5280113816261292,0.2,0.18367347,0.2013888888888889,0.16666666666666666
34,PGD,bikeMotorbike,resnet,30_70,bing,0.464080810546875,0.25,0.25170067,0.1597222222222222,0.34
35,PGD,bikeMotorbike,resnet,30_70,bing,0.40813010931015015,0.3,0.3095238,0.10416666666666667,0.5066666666666667
36,PGD,bikeMotorbike,resnet,40_60,bing,0.7837603688240051,0.05,0.040677965,0.07586206896551724,0.006666666666666667
37,PGD,bikeMotorbike,resnet,40_60,bing,0.6788961291313171,0.1,0.122033894,0.14482758620689656,0.1
38,PGD,bikeMotorbike,resnet,40_60,bing,0.5978530645370483,0.15,0.13559322,0.1103448275862069,0.16
39,PGD,bikeMotorbike,resnet,40_60,bing,0.5280566811561584,0.2,0.18983051,0.07586206896551724,0.3
40,PGD,bikeMotorbike,resnet,40_60,bing,0.4641116261482239,0.25,0.27457628,0.034482758620689655,0.5066666666666667
41,PGD,bikeMotorbike,resnet,40_60,bing,0.40804022550582886,0.3,0.33898306,0.020689655172413793,0.6466666666666666
42,PGD,bikeMotorbike,resnet,50_50,bing,0.7843519449234009,0.05,0.040540542,0.0547945205479452,0.02666666666666667
43,PGD,bikeMotorbike,resnet,50_50,bing,0.6795318722724915,0.1,0.104729734,0.0958904109589041,0.11333333333333333
44,PGD,bikeMotorbike,resnet,50_50,bing,0.5982851386070251,0.15,0.13851352,0.06164383561643835,0.21333333333333335
45,PGD,bikeMotorbike,resnet,50_50,bing,0.5282067656517029,0.2,0.20608109,0.02054794520547945,0.38666666666666666
46,PGD,bikeMotorbike,resnet,50_50,bing,0.4641740620136261,0.25,0.3310811,0.02054794520547945,0.6333333333333333
47,PGD,bikeMotorbike,resnet,50_50,bing,0.40815505385398865,0.3,0.4222973,0.02054794520547945,0.8133333333333334
48,PGD,bikeMotorbike,vgg,20_80,bing,0.7887520790100098,0.05,0.07118644,0.1310344827586207,0.013333333333333334
49,PGD,bikeMotorbike,vgg,20_80,bing,0.6834520101547241,0.1,0.13559322,0.25517241379310346,0.02
50,PGD,bikeMotorbike,vgg,20_80,bing,0.6026017665863037,0.15,0.14576271,0.27586206896551724,0.02
51,PGD,bikeMotorbike,vgg,20_80,bing,0.5323705077171326,0.2,0.16949153,0.3103448275862069,0.03333333333333333
52,PGD,bikeMotorbike,vgg,20_80,bing,0.4677675664424896,0.25,0.19322033,0.36551724137931035,0.02666666666666667
53,PGD,bikeMotorbike,vgg,20_80,bing,0.41117867827415466,0.3,0.2101695,0.4,0.02666666666666667
54,PGD,bikeMotorbike,vgg,30_70,bing,0.789580225944519,0.05,0.07823129,0.14583333333333334,0.013333333333333334
55,PGD,bikeMotorbike,vgg,30_70,bing,0.683907151222229,0.1,0.13945578,0.24305555555555555,0.04
56,PGD,bikeMotorbike,vgg,30_70,bing,0.6027594208717346,0.15,0.1632653,0.2777777777777778,0.05333333333333334
57,PGD,bikeMotorbike,vgg,30_70,bing,0.5326921939849854,0.2,0.18707483,0.3333333333333333,0.04666666666666667
58,PGD,bikeMotorbike,vgg,30_70,bing,0.4681340157985687,0.25,0.20408162,0.375,0.04
59,PGD,bikeMotorbike,vgg,30_70,bing,0.41139253973960876,0.3,0.2244898,0.3819444444444444,0.07333333333333333
60,PGD,bikeMotorbike,vgg,40_60,bing,0.7895980477333069,0.05,0.033898305,0.06206896551724138,0.006666666666666667
61,PGD,bikeMotorbike,vgg,40_60,bing,0.6840078234672546,0.1,0.07457627,0.1310344827586207,0.02
62,PGD,bikeMotorbike,vgg,40_60,bing,0.6029047966003418,0.15,0.1118644,0.1793103448275862,0.04666666666666667
63,PGD,bikeMotorbike,vgg,40_60,bing,0.5328032374382019,0.2,0.11525424,0.1793103448275862,0.05333333333333334
64,PGD,bikeMotorbike,vgg,40_60,bing,0.46822813153266907,0.25,0.13898306,0.15862068965517243,0.12
65,PGD,bikeMotorbike,vgg,40_60,bing,0.41153714060783386,0.3,0.17627119,0.18620689655172415,0.16666666666666666
66,PGD,bikeMotorbike,vgg,50_50,bing,0.7891764044761658,0.05,0.037288137,0.013793103448275862,0.06
67,PGD,bikeMotorbike,vgg,50_50,bing,0.6838984489440918,0.1,0.08813559,0.06206896551724138,0.11333333333333333
68,PGD,bikeMotorbike,vgg,50_50,bing,0.6026474833488464,0.15,0.118644066,0.1103448275862069,0.12666666666666668
69,PGD,bikeMotorbike,vgg,50_50,bing,0.5326340198516846,0.2,0.15932204,0.10344827586206896,0.21333333333333335
70,PGD,bikeMotorbike,vgg,50_50,bing,0.4680458903312683,0.25,0.21355931,0.10344827586206896,0.32
71,PGD,bikeMotorbike,vgg,50_50,bing,0.41132229566574097,0.3,0.26440677,0.10344827586206896,0.42
72,PGD,bikeMotorbike,alexnet,20_80,google,0.7471073269844055,0.05,0.020477815,0.027777777777777776,0.013422818791946308
73,PGD,bikeMotorbike,alexnet,20_80,google,0.6492886543273926,0.1,0.0443686,0.041666666666666664,0.04697986577181208
74,PGD,bikeMotorbike,alexnet,20_80,google,0.5794819593429565,0.15,0.047781568,0.034722222222222224,0.06040268456375839
75,PGD,bikeMotorbike,alexnet,20_80,google,0.5198089480400085,0.2,0.058020476,0.020833333333333332,0.09395973154362416
76,PGD,bikeMotorbike,alexnet,20_80,google,0.46406233310699463,0.25,0.06484641,0.006944444444444444,0.12080536912751678
77,PGD,bikeMotorbike,alexnet,20_80,google,0.4131719470024109,0.3,0.12969282,0.0,0.2550335570469799
78,PGD,bikeMotorbike,alexnet,30_70,google,0.744173526763916,0.05,0.033783786,0.03424657534246575,0.03333333333333333
79,PGD,bikeMotorbike,alexnet,30_70,google,0.6463205218315125,0.1,0.06756757,0.03424657534246575,0.1
80,PGD,bikeMotorbike,alexnet,30_70,google,0.5774938464164734,0.15,0.09121622,0.0410958904109589,0.14
81,PGD,bikeMotorbike,alexnet,30_70,google,0.5182951092720032,0.2,0.104729734,0.02054794520547945,0.18666666666666668
82,PGD,bikeMotorbike,alexnet,30_70,google,0.46262574195861816,0.25,0.1554054,0.0136986301369863,0.29333333333333333
83,PGD,bikeMotorbike,alexnet,30_70,google,0.4121280908584595,0.3,0.2195946,0.0,0.43333333333333335
84,PGD,bikeMotorbike,alexnet,40_60,google,0.7454774379730225,0.05,0.044067796,0.034013605442176874,0.05405405405405406
85,PGD,bikeMotorbike,alexnet,40_60,google,0.6465562582015991,0.1,0.07118644,0.034013605442176874,0.10810810810810811
86,PGD,bikeMotorbike,alexnet,40_60,google,0.5775014758110046,0.15,0.094915256,0.034013605442176874,0.1554054054054054
87,PGD,bikeMotorbike,alexnet,40_60,google,0.5184387564659119,0.2,0.12542373,0.013605442176870748,0.23648648648648649
88,PGD,bikeMotorbike,alexnet,40_60,google,0.4630371034145355,0.25,0.18983051,0.006802721088435374,0.3716216216216216
89,PGD,bikeMotorbike,alexnet,40_60,google,0.4126269817352295,0.3,0.25762713,0.006802721088435374,0.5067567567567568
90,PGD,bikeMotorbike,alexnet,50_50,google,0.7401374578475952,0.05,0.06802721,0.013605442176870748,0.12244897959183673
91,PGD,bikeMotorbike,alexnet,50_50,google,0.6440093517303467,0.1,0.12585033,0.027210884353741496,0.22448979591836735
92,PGD,bikeMotorbike,alexnet,50_50,google,0.576541006565094,0.15,0.17006803,0.034013605442176874,0.30612244897959184
93,PGD,bikeMotorbike,alexnet,50_50,google,0.5179759860038757,0.2,0.20068027,0.02040816326530612,0.38095238095238093
94,PGD,bikeMotorbike,alexnet,50_50,google,0.46271222829818726,0.25,0.27210885,0.013605442176870748,0.5306122448979592
95,PGD,bikeMotorbike,alexnet,50_50,google,0.4123340845108032,0.3,0.32312924,0.013605442176870748,0.6326530612244898
96,PGD,bikeMotorbike,resnet,20_80,google,0.7681865096092224,0.05,0.05762712,0.05517241379310345,0.06
97,PGD,bikeMotorbike,resnet,20_80,google,0.6671971082687378,0.1,0.08813559,0.06896551724137931,0.10666666666666667
98,PGD,bikeMotorbike,resnet,20_80,google,0.5916483998298645,0.15,0.11525424,0.06206896551724138,0.16666666666666666
99,PGD,bikeMotorbike,resnet,20_80,google,0.5273200869560242,0.2,0.18644068,0.05517241379310345,0.31333333333333335
100,PGD,bikeMotorbike,resnet,20_80,google,0.4681112468242645,0.25,0.2338983,0.027586206896551724,0.43333333333333335
101,PGD,bikeMotorbike,resnet,20_80,google,0.4154624044895172,0.3,0.3118644,0.020689655172413793,0.5933333333333334
102,PGD,bikeMotorbike,resnet,30_70,google,0.7697758674621582,0.05,0.04682274,0.040268456375838924,0.05333333333333334
103,PGD,bikeMotorbike,resnet,30_70,google,0.6682918667793274,0.1,0.08361204,0.06040268456375839,0.10666666666666667
104,PGD,bikeMotorbike,resnet,30_70,google,0.592531681060791,0.15,0.11371237,0.04697986577181208,0.18
105,PGD,bikeMotorbike,resnet,30_70,google,0.5281417369842529,0.2,0.15384616,0.040268456375838924,0.26666666666666666
106,PGD,bikeMotorbike,resnet,30_70,google,0.4689438045024872,0.25,0.18729097,0.026845637583892617,0.3466666666666667
107,PGD,bikeMotorbike,resnet,30_70,google,0.41617700457572937,0.3,0.24080268,0.006711409395973154,0.47333333333333333
108,PGD,bikeMotorbike,resnet,40_60,google,0.7693818211555481,0.05,0.05050505,0.020134228187919462,0.08108108108108109
109,PGD,bikeMotorbike,resnet,40_60,google,0.6679940819740295,0.1,0.107744105,0.03355704697986577,0.18243243243243243
110,PGD,bikeMotorbike,resnet,40_60,google,0.5922070741653442,0.15,0.15488215,0.020134228187919462,0.2905405405405405
111,PGD,bikeMotorbike,resnet,40_60,google,0.5275568962097168,0.2,0.21548821,0.020134228187919462,0.41216216216216217
112,PGD,bikeMotorbike,resnet,40_60,google,0.4682843089103699,0.25,0.27272728,0.013422818791946308,0.5337837837837838
113,PGD,bikeMotorbike,resnet,40_60,google,0.4156363010406494,0.3,0.3063973,0.0,0.6148648648648649
114,PGD,bikeMotorbike,resnet,50_50,google,0.7703658938407898,0.05,0.061016947,0.020134228187919462,0.10273972602739725
