,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7651404142379761,0.05,0.114583336,0.21014492753623187,0.02666666666666667
1,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7357326149940491,0.1,0.15972222,0.2536231884057971,0.07333333333333333
2,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7357328534126282,0.15,0.15972222,0.2536231884057971,0.07333333333333333
3,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7357401251792908,0.2,0.15972222,0.2536231884057971,0.07333333333333333
4,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7357416749000549,0.25,0.15972222,0.2536231884057971,0.07333333333333333
5,RFGSM,bikeMotorbike,alexnet,20_80,bing,0.7357434034347534,0.3,0.15972222,0.2536231884057971,0.07333333333333333
6,RFGSM,bikeMotorbike,alexnet,30_70,bing,0.7628764510154724,0.05,0.09246575,0.14788732394366197,0.04
7,RFGSM,bikeMotorbike,alexnet,30_70,bing,0.7326715588569641,0.1,0.10616438,0.16901408450704225,0.04666666666666667
8,RFGSM,bikeMotorbike,alexnet,30_70,bing,0.7326636910438538,0.15,0.10616438,0.16901408450704225,0.04666666666666667
9,RFGSM,bikeMotorbike,alexnet,30_70,bing,0.7326595187187195,0.2,0.10616438,0.16901408450704225,0.04666666666666667
10,RFGSM,bikeMotorbike,alexnet,30_70,bing,0.732666552066803,0.25,0.10616438,0.16901408450704225,0.04666666666666667
11,RFGSM,bikeMotorbike,alexnet,30_70,bing,0.7326651215553284,0.3,0.10616438,0.16901408450704225,0.04666666666666667
12,RFGSM,bikeMotorbike,alexnet,40_60,bing,0.7584012150764465,0.05,0.088435374,0.12413793103448276,0.053691275167785234
13,RFGSM,bikeMotorbike,alexnet,40_60,bing,0.7265278697013855,0.1,0.15986395,0.16551724137931034,0.15436241610738255
14,RFGSM,bikeMotorbike,alexnet,40_60,bing,0.7265174984931946,0.15,0.15986395,0.16551724137931034,0.15436241610738255
15,RFGSM,bikeMotorbike,alexnet,40_60,bing,0.7265273928642273,0.2,0.15986395,0.16551724137931034,0.15436241610738255
16,RFGSM,bikeMotorbike,alexnet,40_60,bing,0.7265220880508423,0.25,0.15986395,0.16551724137931034,0.15436241610738255
17,RFGSM,bikeMotorbike,alexnet,40_60,bing,0.7265174388885498,0.3,0.15986395,0.16551724137931034,0.15436241610738255
18,RFGSM,bikeMotorbike,alexnet,50_50,bing,0.7583761215209961,0.05,0.08813559,0.07534246575342465,0.10067114093959731
19,RFGSM,bikeMotorbike,alexnet,50_50,bing,0.7264863848686218,0.1,0.17288135,0.136986301369863,0.2080536912751678
20,RFGSM,bikeMotorbike,alexnet,50_50,bing,0.7264895439147949,0.15,0.17288135,0.136986301369863,0.2080536912751678
21,RFGSM,bikeMotorbike,alexnet,50_50,bing,0.7264909744262695,0.2,0.17288135,0.136986301369863,0.2080536912751678
22,RFGSM,bikeMotorbike,alexnet,50_50,bing,0.7264848947525024,0.25,0.17288135,0.136986301369863,0.2080536912751678
23,RFGSM,bikeMotorbike,alexnet,50_50,bing,0.7264837026596069,0.3,0.17288135,0.136986301369863,0.2080536912751678
24,RFGSM,bikeMotorbike,resnet,20_80,bing,0.7888761162757874,0.05,0.12286689,0.23776223776223776,0.013333333333333334
