,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,Square,bikeMotorbike,alexnet,20_80,bing,0.6479623913764954,0.1,0.055555556,0.11594202898550725,0.0
1,Square,bikeMotorbike,alexnet,20_80,bing,0.4111405313014984,0.2,0.15972222,0.32608695652173914,0.006666666666666667
2,Square,bikeMotorbike,alexnet,20_80,bing,0.3075472414493561,0.3,0.31597224,0.6376811594202898,0.02
3,Square,bikeMotorbike,alexnet,30_70,bing,0.7622949481010437,0.1,0.0890411,0.18309859154929578,0.0
4,Square,bikeMotorbike,alexnet,30_70,bing,0.5357909202575684,0.2,0.26369864,0.4647887323943662,0.07333333333333333
5,Square,bikeMotorbike,alexnet,30_70,bing,0.4568081796169281,0.3,0.47945204,0.7535211267605634,0.22
6,Square,bikeMotorbike,alexnet,40_60,bing,0.7972061038017273,0.1,0.06462585,0.1310344827586207,0.0
7,Square,bikeMotorbike,alexnet,40_60,bing,0.5809130668640137,0.2,0.21428572,0.27586206896551724,0.15436241610738255
8,Square,bikeMotorbike,alexnet,40_60,bing,0.4688033163547516,0.3,0.37414965,0.46206896551724136,0.28859060402684567
9,Square,bikeMotorbike,alexnet,50_50,bing,0.8630226254463196,0.1,0.054237287,0.1095890410958904,0.0
10,Square,bikeMotorbike,alexnet,50_50,bing,0.6815316081047058,0.2,0.15254237,0.2465753424657534,0.06040268456375839
11,Square,bikeMotorbike,alexnet,50_50,bing,0.5847001075744629,0.3,0.26101694,0.3972602739726027,0.12751677852348994
12,Square,bikeMotorbike,resnet,20_80,bing,0.5448616147041321,0.1,0.0443686,0.06993006993006994,0.02
13,Square,bikeMotorbike,resnet,20_80,bing,0.3231230676174164,0.2,0.105802044,0.02097902097902098,0.18666666666666668
14,Square,bikeMotorbike,resnet,20_80,bing,0.19307808578014374,0.3,0.331058,0.013986013986013986,0.6333333333333333
15,Square,bikeMotorbike,resnet,30_70,bing,0.5435725450515747,0.1,0.047619045,0.09027777777777778,0.006666666666666667
16,Square,bikeMotorbike,resnet,30_70,bing,0.3217223286628723,0.2,0.32993197,0.041666666666666664,0.6066666666666667
17,Square,bikeMotorbike,resnet,30_70,bing,0.19484229385852814,0.3,0.5136054,0.034722222222222224,0.9733333333333334
18,Square,bikeMotorbike,resnet,40_60,bing,0.5353649854660034,0.1,0.0779661,0.11724137931034483,0.04
19,Square,bikeMotorbike,resnet,40_60,bing,0.3094160854816437,0.2,0.4677966,0.08275862068965517,0.84
20,Square,bikeMotorbike,resnet,40_60,bing,0.17656145989894867,0.3,0.5254237,0.06896551724137931,0.9666666666666667
21,Square,bikeMotorbike,resnet,50_50,bing,0.5680282711982727,0.1,0.104729734,0.15753424657534246,0.05333333333333334
22,Square,bikeMotorbike,resnet,50_50,bing,0.3459908962249756,0.2,0.5,0.21232876712328766,0.78
23,Square,bikeMotorbike,resnet,50_50,bing,0.22644256055355072,0.3,0.5067568,0.15753424657534246,0.8466666666666667
24,Square,bikeMotorbike,vgg,20_80,bing,0.5212875604629517,0.1,0.09152542,0.1103448275862069,0.07333333333333333
25,Square,bikeMotorbike,vgg,20_80,bing,0.31117555499076843,0.2,0.51864403,0.15172413793103448,0.8733333333333333
26,Square,bikeMotorbike,vgg,20_80,bing,0.18370522558689117,0.3,0.6033898,0.21379310344827587,0.98
27,Square,bikeMotorbike,vgg,30_70,bing,0.5269163250923157,0.1,0.088435374,0.1111111111111111,0.06666666666666667
28,Square,bikeMotorbike,vgg,30_70,bing,0.31714367866516113,0.2,0.50340134,0.16666666666666666,0.8266666666666667
29,Square,bikeMotorbike,vgg,30_70,bing,0.1854131668806076,0.3,0.6088435,0.24305555555555555,0.96
30,Square,bikeMotorbike,vgg,40_60,bing,0.5322266221046448,0.1,0.14915255,0.034482758620689655,0.26
31,Square,bikeMotorbike,vgg,40_60,bing,0.3289983868598938,0.2,0.4677966,0.020689655172413793,0.9
32,Square,bikeMotorbike,vgg,40_60,bing,0.20455987751483917,0.3,0.4779661,0.034482758620689655,0.9066666666666666
33,Square,bikeMotorbike,vgg,50_50,bing,0.5465188026428223,0.1,0.17288135,0.04827586206896552,0.29333333333333333
34,Square,bikeMotorbike,vgg,50_50,bing,0.3453354239463806,0.2,0.4440678,0.027586206896551724,0.8466666666666667
35,Square,bikeMotorbike,vgg,50_50,bing,0.2247122973203659,0.3,0.45084745,0.041379310344827586,0.8466666666666667
36,Square,bikeMotorbike,alexnet,20_80,google,0.8763278126716614,0.1,0.013651877,0.020833333333333332,0.006711409395973154
37,Square,bikeMotorbike,alexnet,20_80,google,0.6574255228042603,0.2,0.11945392,0.08333333333333333,0.15436241610738255
38,Square,bikeMotorbike,alexnet,20_80,google,0.5305082201957703,0.3,0.25938565,0.2986111111111111,0.2214765100671141
39,Square,bikeMotorbike,alexnet,30_70,google,0.9079247713088989,0.1,0.006756757,0.0136986301369863,0.0
40,Square,bikeMotorbike,alexnet,30_70,google,0.6939947009086609,0.2,0.027027028,0.03424657534246575,0.02
41,Square,bikeMotorbike,alexnet,30_70,google,0.600086510181427,0.3,0.06418919,0.03424657534246575,0.09333333333333334
42,Square,bikeMotorbike,alexnet,40_60,google,0.9177589416503906,0.1,0.013559322,0.027210884353741496,0.0
43,Square,bikeMotorbike,alexnet,40_60,google,0.7301976084709167,0.2,0.050847456,0.08163265306122448,0.02027027027027027
44,Square,bikeMotorbike,alexnet,40_60,google,0.5906581878662109,0.3,0.12881356,0.1360544217687075,0.12162162162162163
45,Square,bikeMotorbike,alexnet,50_50,google,0.9097954630851746,0.1,0.010204081,0.02040816326530612,0.0
