,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7290950417518616,0.05,0.35069445,0.36231884057971014,0.34
1,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7056849002838135,0.1,0.5277778,0.45652173913043476,0.5933333333333334
2,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7057023644447327,0.15,0.5277778,0.45652173913043476,0.5933333333333334
3,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7056975364685059,0.2,0.5277778,0.45652173913043476,0.5933333333333334
4,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7056946754455566,0.25,0.5277778,0.45652173913043476,0.5933333333333334
5,TIFGSM,bikeMotorbike,alexnet,20_80,bing,0.7056878805160522,0.3,0.5277778,0.45652173913043476,0.5933333333333334
6,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7251473665237427,0.05,0.31849316,0.30985915492957744,0.32666666666666666
7,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7003358602523804,0.1,0.44863012,0.3591549295774648,0.5333333333333333
8,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7003666758537292,0.15,0.44863012,0.3591549295774648,0.5333333333333333
9,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.700334370136261,0.2,0.44863012,0.3591549295774648,0.5333333333333333
10,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7003572583198547,0.25,0.44863012,0.3591549295774648,0.5333333333333333
11,TIFGSM,bikeMotorbike,alexnet,30_70,bing,0.7003483772277832,0.3,0.44863012,0.3591549295774648,0.5333333333333333
12,TIFGSM,bikeMotorbike,alexnet,40_60,bing,0.7242599725723267,0.05,0.44217685,0.27586206896551724,0.6040268456375839
13,TIFGSM,bikeMotorbike,alexnet,40_60,bing,0.6987694501876831,0.1,0.57482994,0.3310344827586207,0.8120805369127517
14,TIFGSM,bikeMotorbike,alexnet,40_60,bing,0.6987751722335815,0.15,0.57482994,0.3310344827586207,0.8120805369127517
15,TIFGSM,bikeMotorbike,alexnet,40_60,bing,0.6987711787223816,0.2,0.57482994,0.3310344827586207,0.8120805369127517
16,TIFGSM,bikeMotorbike,alexnet,40_60,bing,0.6987802386283875,0.25,0.57482994,0.3310344827586207,0.8120805369127517
17,TIFGSM,bikeMotorbike,alexnet,40_60,bing,0.6987572312355042,0.3,0.57482994,0.3310344827586207,0.8120805369127517
18,TIFGSM,bikeMotorbike,alexnet,50_50,bing,0.7254629135131836,0.05,0.44067797,0.2328767123287671,0.6442953020134228
19,TIFGSM,bikeMotorbike,alexnet,50_50,bing,0.6998528838157654,0.1,0.56271183,0.2876712328767123,0.8322147651006712
20,TIFGSM,bikeMotorbike,alexnet,50_50,bing,0.6998697519302368,0.15,0.56271183,0.2876712328767123,0.8322147651006712
21,TIFGSM,bikeMotorbike,alexnet,50_50,bing,0.6998775005340576,0.2,0.56271183,0.2876712328767123,0.8322147651006712
22,TIFGSM,bikeMotorbike,alexnet,50_50,bing,0.699866771697998,0.25,0.56271183,0.2876712328767123,0.8322147651006712
23,TIFGSM,bikeMotorbike,alexnet,50_50,bing,0.6998534202575684,0.3,0.56271183,0.2876712328767123,0.8322147651006712
24,TIFGSM,bikeMotorbike,resnet,20_80,bing,0.7300000786781311,0.05,0.47098973,0.4965034965034965,0.44666666666666666
25,TIFGSM,bikeMotorbike,resnet,20_80,bing,0.7093367576599121,0.1,0.5904437,0.5244755244755245,0.6533333333333333
26,TIFGSM,bikeMotorbike,resnet,20_80,bing,0.7093367576599121,0.15,0.5904437,0.5244755244755245,0.6533333333333333
27,TIFGSM,bikeMotorbike,resnet,20_80,bing,0.7093367576599121,0.2,0.5904437,0.5244755244755245,0.6533333333333333
28,TIFGSM,bikeMotorbike,resnet,20_80,bing,0.7093367576599121,0.25,0.5904437,0.5244755244755245,0.6533333333333333
29,TIFGSM,bikeMotorbike,resnet,20_80,bing,0.7093367576599121,0.3,0.5904437,0.5244755244755245,0.6533333333333333
30,TIFGSM,bikeMotorbike,resnet,30_70,bing,0.7312508821487427,0.05,0.43197277,0.4861111111111111,0.38
31,TIFGSM,bikeMotorbike,resnet,30_70,bing,0.7108085751533508,0.1,0.57142854,0.5347222222222222,0.6066666666666667
32,TIFGSM,bikeMotorbike,resnet,30_70,bing,0.7108086943626404,0.15,0.57142854,0.5347222222222222,0.6066666666666667
33,TIFGSM,bikeMotorbike,resnet,30_70,bing,0.7107999920845032,0.2,0.57142854,0.5347222222222222,0.6066666666666667
34,TIFGSM,bikeMotorbike,resnet,30_70,bing,0.7108085751533508,0.25,0.57142854,0.5347222222222222,0.6066666666666667
35,TIFGSM,bikeMotorbike,resnet,30_70,bing,0.7108100652694702,0.3,0.57142854,0.5347222222222222,0.6066666666666667
36,TIFGSM,bikeMotorbike,resnet,40_60,bing,0.7324139475822449,0.05,0.4915254,0.38620689655172413,0.5933333333333334
37,TIFGSM,bikeMotorbike,resnet,40_60,bing,0.7120645642280579,0.1,0.5762712,0.41379310344827586,0.7333333333333333
38,TIFGSM,bikeMotorbike,resnet,40_60,bing,0.7120705246925354,0.15,0.5762712,0.41379310344827586,0.7333333333333333
39,TIFGSM,bikeMotorbike,resnet,40_60,bing,0.7120680809020996,0.2,0.5762712,0.41379310344827586,0.7333333333333333
40,TIFGSM,bikeMotorbike,resnet,40_60,bing,0.7120680809020996,0.25,0.5762712,0.41379310344827586,0.7333333333333333
41,TIFGSM,bikeMotorbike,resnet,40_60,bing,0.7120680809020996,0.3,0.5762712,0.41379310344827586,0.7333333333333333
42,TIFGSM,bikeMotorbike,resnet,50_50,bing,0.733405351638794,0.05,0.45945948,0.2876712328767123,0.6266666666666667
43,TIFGSM,bikeMotorbike,resnet,50_50,bing,0.7133937478065491,0.1,0.5675676,0.3356164383561644,0.7933333333333333
44,TIFGSM,bikeMotorbike,resnet,50_50,bing,0.7134026885032654,0.15,0.5675676,0.3356164383561644,0.7933333333333333
45,TIFGSM,bikeMotorbike,resnet,50_50,bing,0.7133931517601013,0.2,0.5675676,0.3356164383561644,0.7933333333333333
46,TIFGSM,bikeMotorbike,resnet,50_50,bing,0.7133931517601013,0.25,0.5675676,0.3356164383561644,0.7933333333333333
47,TIFGSM,bikeMotorbike,resnet,50_50,bing,0.7133931517601013,0.3,0.5675676,0.3356164383561644,0.7933333333333333
48,TIFGSM,bikeMotorbike,vgg,20_80,bing,0.7243621945381165,0.05,0.5457627,0.4827586206896552,0.6066666666666667
49,TIFGSM,bikeMotorbike,vgg,20_80,bing,0.7016612887382507,0.1,0.6677966,0.5448275862068965,0.7866666666666666
50,TIFGSM,bikeMotorbike,vgg,20_80,bing,0.7015618681907654,0.15,0.64406776,0.5172413793103449,0.7666666666666667
51,TIFGSM,bikeMotorbike,vgg,20_80,bing,0.7017927765846252,0.2,0.6644068,0.5448275862068965,0.78
52,TIFGSM,bikeMotorbike,vgg,20_80,bing,0.7015195488929749,0.25,0.6542373,0.5310344827586206,0.7733333333333333
53,TIFGSM,bikeMotorbike,vgg,20_80,bing,0.7017452716827393,0.3,0.6542373,0.5241379310344828,0.78
54,TIFGSM,bikeMotorbike,vgg,30_70,bing,0.7265260219573975,0.05,0.56462586,0.4930555555555556,0.6333333333333333
55,TIFGSM,bikeMotorbike,vgg,30_70,bing,0.7044277191162109,0.1,0.6938775,0.5625,0.82
56,TIFGSM,bikeMotorbike,vgg,30_70,bing,0.7043145895004272,0.15,0.6802721,0.5625,0.7933333333333333
57,TIFGSM,bikeMotorbike,vgg,30_70,bing,0.7043002247810364,0.2,0.6802721,0.5625,0.7933333333333333
58,TIFGSM,bikeMotorbike,vgg,30_70,bing,0.7044425010681152,0.25,0.6802721,0.5555555555555556,0.8
59,TIFGSM,bikeMotorbike,vgg,30_70,bing,0.7043429613113403,0.3,0.68367344,0.5625,0.8
60,TIFGSM,bikeMotorbike,vgg,40_60,bing,0.7263795137405396,0.05,0.48813558,0.3793103448275862,0.5933333333333334
61,TIFGSM,bikeMotorbike,vgg,40_60,bing,0.703758716583252,0.1,0.59322035,0.41379310344827586,0.7666666666666667
62,TIFGSM,bikeMotorbike,vgg,40_60,bing,0.7039279937744141,0.15,0.6237288,0.42758620689655175,0.8133333333333334
63,TIFGSM,bikeMotorbike,vgg,40_60,bing,0.7039806842803955,0.2,0.6135593,0.43448275862068964,0.7866666666666666
64,TIFGSM,bikeMotorbike,vgg,40_60,bing,0.703794002532959,0.25,0.620339,0.4482758620689655,0.7866666666666666
65,TIFGSM,bikeMotorbike,vgg,40_60,bing,0.7039711475372314,0.3,0.6033898,0.4206896551724138,0.78
66,TIFGSM,bikeMotorbike,vgg,50_50,bing,0.7268503904342651,0.05,0.559322,0.3310344827586207,0.78
67,TIFGSM,bikeMotorbike,vgg,50_50,bing,0.7046116590499878,0.1,0.6542373,0.4,0.9
68,TIFGSM,bikeMotorbike,vgg,50_50,bing,0.7045705318450928,0.15,0.6474576,0.3931034482758621,0.8933333333333333
69,TIFGSM,bikeMotorbike,vgg,50_50,bing,0.7047432065010071,0.2,0.6542373,0.4,0.9
70,TIFGSM,bikeMotorbike,vgg,50_50,bing,0.7046927809715271,0.25,0.65084743,0.38620689655172413,0.9066666666666666
71,TIFGSM,bikeMotorbike,vgg,50_50,bing,0.7044822573661804,0.3,0.66101694,0.4068965517241379,0.9066666666666666
72,TIFGSM,bikeMotorbike,alexnet,20_80,google,0.7204884886741638,0.05,0.19112627,0.09722222222222222,0.28187919463087246
73,TIFGSM,bikeMotorbike,alexnet,20_80,google,0.6958438754081726,0.1,0.2901024,0.125,0.44966442953020136
74,TIFGSM,bikeMotorbike,alexnet,20_80,google,0.6958439350128174,0.15,0.2901024,0.125,0.44966442953020136
75,TIFGSM,bikeMotorbike,alexnet,20_80,google,0.695848286151886,0.2,0.2901024,0.125,0.44966442953020136
76,TIFGSM,bikeMotorbike,alexnet,20_80,google,0.6958463191986084,0.25,0.2901024,0.125,0.44966442953020136
77,TIFGSM,bikeMotorbike,alexnet,20_80,google,0.6958387494087219,0.3,0.2901024,0.125,0.44966442953020136
78,TIFGSM,bikeMotorbike,alexnet,30_70,google,0.7169140577316284,0.05,0.2027027,0.0821917808219178,0.32
79,TIFGSM,bikeMotorbike,alexnet,30_70,google,0.6904554963111877,0.1,0.34121624,0.13013698630136986,0.5466666666666666
80,TIFGSM,bikeMotorbike,alexnet,30_70,google,0.6904581785202026,0.15,0.34121624,0.13013698630136986,0.5466666666666666
81,TIFGSM,bikeMotorbike,alexnet,30_70,google,0.6904391050338745,0.2,0.34121624,0.13013698630136986,0.5466666666666666
82,TIFGSM,bikeMotorbike,alexnet,30_70,google,0.69044029712677,0.25,0.34121624,0.13013698630136986,0.5466666666666666
83,TIFGSM,bikeMotorbike,alexnet,30_70,google,0.6904623508453369,0.3,0.34121624,0.13013698630136986,0.5466666666666666
84,TIFGSM,bikeMotorbike,alexnet,40_60,google,0.7209131121635437,0.05,0.2237288,0.06802721088435375,0.3783783783783784
85,TIFGSM,bikeMotorbike,alexnet,40_60,google,0.6954197287559509,0.1,0.34237286,0.09523809523809523,0.5878378378378378
86,TIFGSM,bikeMotorbike,alexnet,40_60,google,0.6954213976860046,0.15,0.34237286,0.09523809523809523,0.5878378378378378
87,TIFGSM,bikeMotorbike,alexnet,40_60,google,0.6954168677330017,0.2,0.34237286,0.09523809523809523,0.5878378378378378
88,TIFGSM,bikeMotorbike,alexnet,40_60,google,0.6954164505004883,0.25,0.34237286,0.09523809523809523,0.5878378378378378
89,TIFGSM,bikeMotorbike,alexnet,40_60,google,0.6954193115234375,0.3,0.34237286,0.09523809523809523,0.5878378378378378
90,TIFGSM,bikeMotorbike,alexnet,50_50,google,0.7153241038322449,0.05,0.29591838,0.061224489795918366,0.5306122448979592
91,TIFGSM,bikeMotorbike,alexnet,50_50,google,0.6896710395812988,0.1,0.39795917,0.11564625850340136,0.6802721088435374
92,TIFGSM,bikeMotorbike,alexnet,50_50,google,0.6896690130233765,0.15,0.39795917,0.11564625850340136,0.6802721088435374
93,TIFGSM,bikeMotorbike,alexnet,50_50,google,0.6896719336509705,0.2,0.39795917,0.11564625850340136,0.6802721088435374
94,TIFGSM,bikeMotorbike,alexnet,50_50,google,0.6896656155586243,0.25,0.39795917,0.11564625850340136,0.6802721088435374
95,TIFGSM,bikeMotorbike,alexnet,50_50,google,0.6896602511405945,0.3,0.39795917,0.11564625850340136,0.6802721088435374
96,TIFGSM,bikeMotorbike,resnet,20_80,google,0.7233271598815918,0.05,0.35932204,0.18620689655172415,0.5266666666666666
97,TIFGSM,bikeMotorbike,resnet,20_80,google,0.7028508186340332,0.1,0.45762712,0.21379310344827587,0.6933333333333334
98,TIFGSM,bikeMotorbike,resnet,20_80,google,0.7028508186340332,0.15,0.45762712,0.21379310344827587,0.6933333333333334
99,TIFGSM,bikeMotorbike,resnet,20_80,google,0.7028502225875854,0.2,0.45762712,0.21379310344827587,0.6933333333333334
100,TIFGSM,bikeMotorbike,resnet,20_80,google,0.7028508186340332,0.25,0.45762712,0.21379310344827587,0.6933333333333334
101,TIFGSM,bikeMotorbike,resnet,20_80,google,0.7028555274009705,0.3,0.45762712,0.21379310344827587,0.6933333333333334
102,TIFGSM,bikeMotorbike,resnet,30_70,google,0.7251065969467163,0.05,0.36789298,0.2080536912751678,0.5266666666666666
103,TIFGSM,bikeMotorbike,resnet,30_70,google,0.7048116326332092,0.1,0.46153846,0.24161073825503357,0.68
104,TIFGSM,bikeMotorbike,resnet,30_70,google,0.7048135995864868,0.15,0.46153846,0.24161073825503357,0.68
105,TIFGSM,bikeMotorbike,resnet,30_70,google,0.7048089504241943,0.2,0.46153846,0.24161073825503357,0.68
106,TIFGSM,bikeMotorbike,resnet,30_70,google,0.7048089504241943,0.25,0.46153846,0.24161073825503357,0.68
107,TIFGSM,bikeMotorbike,resnet,30_70,google,0.7048116326332092,0.3,0.46153846,0.24161073825503357,0.68
108,TIFGSM,bikeMotorbike,resnet,40_60,google,0.7232742309570312,0.05,0.43771043,0.174496644295302,0.7027027027027027
109,TIFGSM,bikeMotorbike,resnet,40_60,google,0.702334463596344,0.1,0.5016835,0.22818791946308725,0.777027027027027
110,TIFGSM,bikeMotorbike,resnet,40_60,google,0.7023372650146484,0.15,0.5016835,0.22818791946308725,0.777027027027027
