,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BIM,catDog,alexnet,20_80,bing,0.7876399159431458,0.05,0.3950178,0.5925925925925926,0.21232876712328766
1,BIM,catDog,alexnet,20_80,bing,0.7652963399887085,0.1,0.4911032,0.674074074074074,0.3219178082191781
2,BIM,catDog,alexnet,20_80,bing,0.765291690826416,0.15,0.4911032,0.674074074074074,0.3219178082191781
3,BIM,catDog,alexnet,20_80,bing,0.7652838826179504,0.2,0.4911032,0.674074074074074,0.3219178082191781
4,BIM,catDog,alexnet,20_80,bing,0.7652934193611145,0.25,0.4911032,0.674074074074074,0.3219178082191781
5,BIM,catDog,alexnet,20_80,bing,0.7652884125709534,0.3,0.4911032,0.674074074074074,0.3219178082191781
6,BIM,catDog,alexnet,30_70,bing,0.7878521084785461,0.05,0.3802817,0.5147058823529411,0.25675675675675674
7,BIM,catDog,alexnet,30_70,bing,0.7640722393989563,0.1,0.4894366,0.6691176470588235,0.32432432432432434
8,BIM,catDog,alexnet,30_70,bing,0.7640780210494995,0.15,0.4894366,0.6691176470588235,0.32432432432432434
9,BIM,catDog,alexnet,30_70,bing,0.7640910148620605,0.2,0.4894366,0.6691176470588235,0.32432432432432434
10,BIM,catDog,alexnet,30_70,bing,0.764085054397583,0.25,0.4894366,0.6691176470588235,0.32432432432432434
11,BIM,catDog,alexnet,30_70,bing,0.7640766501426697,0.3,0.4894366,0.6691176470588235,0.32432432432432434
12,BIM,catDog,alexnet,40_60,bing,0.786878764629364,0.05,0.3838028,0.5179856115107914,0.25517241379310346
13,BIM,catDog,alexnet,40_60,bing,0.7631633877754211,0.1,0.49647886,0.6474820143884892,0.35172413793103446
14,BIM,catDog,alexnet,40_60,bing,0.7631742358207703,0.15,0.49647886,0.6474820143884892,0.35172413793103446
15,BIM,catDog,alexnet,40_60,bing,0.7631646394729614,0.2,0.49647886,0.6474820143884892,0.35172413793103446
16,BIM,catDog,alexnet,40_60,bing,0.7631539106369019,0.25,0.49647886,0.6474820143884892,0.35172413793103446
17,BIM,catDog,alexnet,40_60,bing,0.7631513476371765,0.3,0.49647886,0.6474820143884892,0.35172413793103446
18,BIM,catDog,alexnet,50_50,bing,0.7844991087913513,0.05,0.43055555,0.5416666666666666,0.3194444444444444
19,BIM,catDog,alexnet,50_50,bing,0.759600818157196,0.1,0.5486111,0.6527777777777778,0.4444444444444444
20,BIM,catDog,alexnet,50_50,bing,0.7596204280853271,0.15,0.5486111,0.6527777777777778,0.4444444444444444
21,BIM,catDog,alexnet,50_50,bing,0.7596110701560974,0.2,0.5486111,0.6527777777777778,0.4444444444444444
22,BIM,catDog,alexnet,50_50,bing,0.7596186995506287,0.25,0.5486111,0.6527777777777778,0.4444444444444444
23,BIM,catDog,alexnet,50_50,bing,0.7596167922019958,0.3,0.5486111,0.6527777777777778,0.4444444444444444
24,BIM,catDog,resnet,20_80,bing,0.8408620953559875,0.05,0.20415226,0.30714285714285716,0.10738255033557047
25,BIM,catDog,resnet,20_80,bing,0.8319109082221985,0.1,0.23183392,0.35,0.12080536912751678
26,BIM,catDog,resnet,20_80,bing,0.8319109082221985,0.15,0.23183392,0.35,0.12080536912751678
27,BIM,catDog,resnet,20_80,bing,0.8319109082221985,0.2,0.23183392,0.35,0.12080536912751678
28,BIM,catDog,resnet,20_80,bing,0.8319109082221985,0.25,0.23183392,0.35,0.12080536912751678
29,BIM,catDog,resnet,20_80,bing,0.8319109082221985,0.3,0.23183392,0.35,0.12080536912751678
30,BIM,catDog,resnet,30_70,bing,0.8419248461723328,0.05,0.19587629,0.3028169014084507,0.09395973154362416
31,BIM,catDog,resnet,30_70,bing,0.8328357934951782,0.1,0.2233677,0.34507042253521125,0.10738255033557047
32,BIM,catDog,resnet,30_70,bing,0.8328357934951782,0.15,0.2233677,0.34507042253521125,0.10738255033557047
33,BIM,catDog,resnet,30_70,bing,0.8328357934951782,0.2,0.2233677,0.34507042253521125,0.10738255033557047
34,BIM,catDog,resnet,30_70,bing,0.8328357934951782,0.25,0.2233677,0.34507042253521125,0.10738255033557047
35,BIM,catDog,resnet,30_70,bing,0.8328357934951782,0.3,0.2233677,0.34507042253521125,0.10738255033557047
36,BIM,catDog,resnet,40_60,bing,0.8420281410217285,0.05,0.18430033,0.2465753424657534,0.12244897959183673
37,BIM,catDog,resnet,40_60,bing,0.833095371723175,0.1,0.21501707,0.2808219178082192,0.14965986394557823
38,BIM,catDog,resnet,40_60,bing,0.833095371723175,0.15,0.21501707,0.2808219178082192,0.14965986394557823
39,BIM,catDog,resnet,40_60,bing,0.833095371723175,0.2,0.21501707,0.2808219178082192,0.14965986394557823
40,BIM,catDog,resnet,40_60,bing,0.833095371723175,0.25,0.21501707,0.2808219178082192,0.14965986394557823
41,BIM,catDog,resnet,40_60,bing,0.833095371723175,0.3,0.21501707,0.2808219178082192,0.14965986394557823
42,BIM,catDog,resnet,50_50,bing,0.8413891792297363,0.05,0.1802721,0.19047619047619047,0.17006802721088435
43,BIM,catDog,resnet,50_50,bing,0.8323429822921753,0.1,0.21428572,0.23809523809523808,0.19047619047619047
44,BIM,catDog,resnet,50_50,bing,0.8323429822921753,0.15,0.21428572,0.23809523809523808,0.19047619047619047
45,BIM,catDog,resnet,50_50,bing,0.8323429822921753,0.2,0.21428572,0.23809523809523808,0.19047619047619047
46,BIM,catDog,resnet,50_50,bing,0.8323429822921753,0.25,0.21428572,0.23809523809523808,0.19047619047619047
47,BIM,catDog,resnet,50_50,bing,0.8323429822921753,0.3,0.21428572,0.23809523809523808,0.19047619047619047
48,BIM,catDog,vgg,20_80,bing,0.8509278297424316,0.05,0.23611112,0.32142857142857145,0.1554054054054054
49,BIM,catDog,vgg,20_80,bing,0.8403573632240295,0.1,0.31597224,0.42142857142857143,0.21621621621621623
50,BIM,catDog,vgg,20_80,bing,0.8402796983718872,0.15,0.2986111,0.4,0.20270270270270271
51,BIM,catDog,vgg,20_80,bing,0.8403878808021545,0.2,0.28819445,0.37857142857142856,0.20270270270270271
52,BIM,catDog,vgg,20_80,bing,0.8403653502464294,0.25,0.30555555,0.39285714285714285,0.22297297297297297
53,BIM,catDog,vgg,20_80,bing,0.8404026031494141,0.3,0.2951389,0.39285714285714285,0.20270270270270271
54,BIM,catDog,vgg,30_70,bing,0.8526673316955566,0.05,0.21799308,0.30985915492957744,0.1292517006802721
55,BIM,catDog,vgg,30_70,bing,0.8423618674278259,0.1,0.28719723,0.4014084507042254,0.17687074829931973
56,BIM,catDog,vgg,30_70,bing,0.8424910306930542,0.15,0.2768166,0.3873239436619718,0.17006802721088435
57,BIM,catDog,vgg,30_70,bing,0.8424239754676819,0.2,0.28719723,0.38028169014084506,0.19727891156462585
58,BIM,catDog,vgg,30_70,bing,0.8424248099327087,0.25,0.26297578,0.36619718309859156,0.16326530612244897
59,BIM,catDog,vgg,30_70,bing,0.8424723744392395,0.3,0.28027683,0.3873239436619718,0.17687074829931973
60,BIM,catDog,vgg,40_60,bing,0.8522444367408752,0.05,0.21232876,0.2689655172413793,0.1564625850340136
61,BIM,catDog,vgg,40_60,bing,0.8416518568992615,0.1,0.27054796,0.3310344827586207,0.2108843537414966
62,BIM,catDog,vgg,40_60,bing,0.8417224287986755,0.15,0.28424656,0.35172413793103446,0.21768707482993196
63,BIM,catDog,vgg,40_60,bing,0.841849148273468,0.2,0.26027396,0.32413793103448274,0.19727891156462585
64,BIM,catDog,vgg,40_60,bing,0.8416212201118469,0.25,0.28424656,0.35172413793103446,0.21768707482993196
65,BIM,catDog,vgg,40_60,bing,0.8417294025421143,0.3,0.27054796,0.33793103448275863,0.20408163265306123
66,BIM,catDog,vgg,50_50,bing,0.8522385954856873,0.05,0.2020548,0.273972602739726,0.13013698630136986
67,BIM,catDog,vgg,50_50,bing,0.8420117497444153,0.1,0.25342464,0.3424657534246575,0.1643835616438356
68,BIM,catDog,vgg,50_50,bing,0.8419070839881897,0.15,0.26712328,0.363013698630137,0.17123287671232876
69,BIM,catDog,vgg,50_50,bing,0.8419508337974548,0.2,0.24657534,0.3219178082191781,0.17123287671232876
70,BIM,catDog,vgg,50_50,bing,0.841946542263031,0.25,0.26369864,0.3287671232876712,0.19863013698630136
71,BIM,catDog,vgg,50_50,bing,0.8418933153152466,0.3,0.25342464,0.3287671232876712,0.1780821917808219
72,BIM,catDog,alexnet,20_80,google,0.7368958592414856,0.05,0.45,0.5571428571428572,0.34285714285714286
73,BIM,catDog,alexnet,20_80,google,0.7111397981643677,0.1,0.5535714,0.6571428571428571,0.45
74,BIM,catDog,alexnet,20_80,google,0.7111768126487732,0.15,0.5535714,0.6571428571428571,0.45
75,BIM,catDog,alexnet,20_80,google,0.7111820578575134,0.2,0.5535714,0.6571428571428571,0.45
76,BIM,catDog,alexnet,20_80,google,0.7111831307411194,0.25,0.5535714,0.6571428571428571,0.45
77,BIM,catDog,alexnet,20_80,google,0.7111660838127136,0.3,0.5535714,0.6571428571428571,0.45
78,BIM,catDog,alexnet,30_70,google,0.7355794310569763,0.05,0.41007194,0.5035971223021583,0.31654676258992803
79,BIM,catDog,alexnet,30_70,google,0.7102649807929993,0.1,0.5359712,0.60431654676259,0.4676258992805755
80,BIM,catDog,alexnet,30_70,google,0.7102856636047363,0.15,0.5359712,0.60431654676259,0.4676258992805755
81,BIM,catDog,alexnet,30_70,google,0.7102786302566528,0.2,0.5359712,0.60431654676259,0.4676258992805755
82,BIM,catDog,alexnet,30_70,google,0.7102598547935486,0.25,0.5359712,0.60431654676259,0.4676258992805755
83,BIM,catDog,alexnet,30_70,google,0.7102669477462769,0.3,0.5359712,0.60431654676259,0.4676258992805755
84,BIM,catDog,alexnet,40_60,google,0.7445566058158875,0.05,0.35144928,0.427536231884058,0.2753623188405797
85,BIM,catDog,alexnet,40_60,google,0.7216796875,0.1,0.442029,0.4782608695652174,0.4057971014492754
86,BIM,catDog,alexnet,40_60,google,0.7216552495956421,0.15,0.442029,0.4782608695652174,0.4057971014492754
87,BIM,catDog,alexnet,40_60,google,0.721693217754364,0.2,0.442029,0.4782608695652174,0.4057971014492754
88,BIM,catDog,alexnet,40_60,google,0.7216808199882507,0.25,0.442029,0.4782608695652174,0.4057971014492754
89,BIM,catDog,alexnet,40_60,google,0.7216960787773132,0.3,0.442029,0.4782608695652174,0.4057971014492754
90,BIM,catDog,alexnet,50_50,google,0.7363384366035461,0.05,0.3037037,0.3037037037037037,0.3037037037037037
91,BIM,catDog,alexnet,50_50,google,0.7123315930366516,0.1,0.4074074,0.37777777777777777,0.43703703703703706
92,BIM,catDog,alexnet,50_50,google,0.7123405933380127,0.15,0.4074074,0.37777777777777777,0.43703703703703706
93,BIM,catDog,alexnet,50_50,google,0.7123315930366516,0.2,0.4074074,0.37777777777777777,0.43703703703703706
94,BIM,catDog,alexnet,50_50,google,0.7123315930366516,0.25,0.4074074,0.37777777777777777,0.43703703703703706
95,BIM,catDog,alexnet,50_50,google,0.7123275995254517,0.3,0.4074074,0.37777777777777777,0.43703703703703706
96,BIM,catDog,resnet,20_80,google,0.7969733476638794,0.05,0.2013889,0.2638888888888889,0.1388888888888889
97,BIM,catDog,resnet,20_80,google,0.7868965268135071,0.1,0.25,0.3055555555555556,0.19444444444444445
98,BIM,catDog,resnet,20_80,google,0.7868965268135071,0.15,0.25,0.3055555555555556,0.19444444444444445
99,BIM,catDog,resnet,20_80,google,0.7868965268135071,0.2,0.25,0.3055555555555556,0.19444444444444445
100,BIM,catDog,resnet,20_80,google,0.7868965268135071,0.25,0.25,0.3055555555555556,0.19444444444444445
101,BIM,catDog,resnet,20_80,google,0.7868965268135071,0.3,0.25,0.3055555555555556,0.19444444444444445
102,BIM,catDog,resnet,30_70,google,0.7962064743041992,0.05,0.23809524,0.29931972789115646,0.17687074829931973
103,BIM,catDog,resnet,30_70,google,0.785968542098999,0.1,0.27891156,0.3333333333333333,0.22448979591836735
104,BIM,catDog,resnet,30_70,google,0.785968542098999,0.15,0.27891156,0.3333333333333333,0.22448979591836735
105,BIM,catDog,resnet,30_70,google,0.785968542098999,0.2,0.27891156,0.3333333333333333,0.22448979591836735
106,BIM,catDog,resnet,30_70,google,0.785968542098999,0.25,0.27891156,0.3333333333333333,0.22448979591836735
107,BIM,catDog,resnet,30_70,google,0.785968542098999,0.3,0.27891156,0.3333333333333333,0.22448979591836735
108,BIM,catDog,resnet,40_60,google,0.7969493269920349,0.05,0.23469387,0.24489795918367346,0.22448979591836735
109,BIM,catDog,resnet,40_60,google,0.7864920496940613,0.1,0.26190475,0.272108843537415,0.25170068027210885
110,BIM,catDog,resnet,40_60,google,0.7864920496940613,0.15,0.26190475,0.272108843537415,0.25170068027210885
111,BIM,catDog,resnet,40_60,google,0.7864920496940613,0.2,0.26190475,0.272108843537415,0.25170068027210885
112,BIM,catDog,resnet,40_60,google,0.7864920496940613,0.25,0.26190475,0.272108843537415,0.25170068027210885
113,BIM,catDog,resnet,40_60,google,0.7864920496940613,0.3,0.26190475,0.272108843537415,0.25170068027210885
114,BIM,catDog,resnet,50_50,google,0.7938851118087769,0.05,0.25684932,0.23972602739726026,0.273972602739726
115,BIM,catDog,resnet,50_50,google,0.7834627032279968,0.1,0.28767124,0.2534246575342466,0.3219178082191781
116,BIM,catDog,resnet,50_50,google,0.7834627032279968,0.15,0.28767124,0.2534246575342466,0.3219178082191781
117,BIM,catDog,resnet,50_50,google,0.7834627032279968,0.2,0.28767124,0.2534246575342466,0.3219178082191781
118,BIM,catDog,resnet,50_50,google,0.7834627032279968,0.25,0.28767124,0.2534246575342466,0.3219178082191781
