,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BoxBlur,catDog,alexnet,20_80,bing,0.9169418811798096,1,0.0035587188,0.007407407407407408,0.0
1,BoxBlur,catDog,alexnet,20_80,bing,0.7721812725067139,2,0.02846975,0.022222222222222223,0.03424657534246575
2,BoxBlur,catDog,alexnet,20_80,bing,0.6348269581794739,3,0.06049822,0.037037037037037035,0.0821917808219178
3,BoxBlur,catDog,alexnet,20_80,bing,0.531181812286377,4,0.085409254,0.08888888888888889,0.0821917808219178
4,BoxBlur,catDog,alexnet,20_80,bing,0.4547712802886963,5,0.10676157,0.1111111111111111,0.10273972602739725
5,BoxBlur,catDog,alexnet,20_80,bing,0.3984709084033966,6,0.14590748,0.17037037037037037,0.1232876712328767
6,BoxBlur,catDog,alexnet,20_80,bing,0.355420857667923,7,0.17793594,0.23703703703703705,0.1232876712328767
7,BoxBlur,catDog,alexnet,20_80,bing,0.32195189595222473,8,0.23131673,0.28888888888888886,0.1780821917808219
8,BoxBlur,catDog,alexnet,20_80,bing,0.2952481210231781,9,0.24199288,0.3111111111111111,0.1780821917808219
9,BoxBlur,catDog,alexnet,20_80,bing,0.2734881341457367,10,0.27402136,0.3333333333333333,0.2191780821917808
10,BoxBlur,catDog,alexnet,30_70,bing,0.9169418811798096,1,0.024647888,0.014705882352941176,0.033783783783783786
11,BoxBlur,catDog,alexnet,30_70,bing,0.7721812725067139,2,0.0528169,0.029411764705882353,0.07432432432432433
12,BoxBlur,catDog,alexnet,30_70,bing,0.6348269581794739,3,0.07042253,0.029411764705882353,0.10810810810810811
13,BoxBlur,catDog,alexnet,30_70,bing,0.531181812286377,4,0.08450704,0.04411764705882353,0.12162162162162163
14,BoxBlur,catDog,alexnet,30_70,bing,0.4547712802886963,5,0.12676056,0.07352941176470588,0.17567567567567569
15,BoxBlur,catDog,alexnet,30_70,bing,0.3984709084033966,6,0.16197182,0.07352941176470588,0.24324324324324326
16,BoxBlur,catDog,alexnet,30_70,bing,0.355420857667923,7,0.20422535,0.125,0.27702702702702703
17,BoxBlur,catDog,alexnet,30_70,bing,0.32195189595222473,8,0.22535211,0.13970588235294118,0.30405405405405406
18,BoxBlur,catDog,alexnet,30_70,bing,0.2952481210231781,9,0.26056337,0.17647058823529413,0.33783783783783783
19,BoxBlur,catDog,alexnet,30_70,bing,0.2734881341457367,10,0.29929578,0.20588235294117646,0.38513513513513514
20,BoxBlur,catDog,alexnet,40_60,bing,0.9169418811798096,1,0.01056338,0.007194244604316547,0.013793103448275862
21,BoxBlur,catDog,alexnet,40_60,bing,0.7721812725067139,2,0.045774646,0.02877697841726619,0.06206896551724138
22,BoxBlur,catDog,alexnet,40_60,bing,0.6348269581794739,3,0.07394366,0.04316546762589928,0.10344827586206896
23,BoxBlur,catDog,alexnet,40_60,bing,0.531181812286377,4,0.109154925,0.07913669064748201,0.13793103448275862
24,BoxBlur,catDog,alexnet,40_60,bing,0.4547712802886963,5,0.15140845,0.12949640287769784,0.1724137931034483
25,BoxBlur,catDog,alexnet,40_60,bing,0.3984709084033966,6,0.19014084,0.18705035971223022,0.19310344827586207
26,BoxBlur,catDog,alexnet,40_60,bing,0.355420857667923,7,0.23943661,0.3237410071942446,0.15862068965517243
27,BoxBlur,catDog,alexnet,40_60,bing,0.32195189595222473,8,0.28873238,0.43884892086330934,0.14482758620689656
