,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,DeepFool,catDog,alexnet,20_80,bing,0.9541758298873901,10,0.081850536,0.17037037037037037,0.0
1,DeepFool,catDog,alexnet,20_80,bing,0.8965004086494446,20,0.25266904,0.4666666666666667,0.0547945205479452
2,DeepFool,catDog,alexnet,20_80,bing,0.8318508267402649,30,0.32740214,0.6,0.07534246575342465
3,DeepFool,catDog,alexnet,20_80,bing,0.7693338990211487,40,0.37366548,0.6814814814814815,0.08904109589041095
4,DeepFool,catDog,alexnet,20_80,bing,0.7151632905006409,50,0.42704627,0.7407407407407407,0.136986301369863
5,DeepFool,catDog,alexnet,20_80,bing,0.6658767461776733,60,0.44839856,0.762962962962963,0.15753424657534246
6,DeepFool,catDog,alexnet,20_80,bing,0.6235881447792053,70,0.4377224,0.6814814814814815,0.21232876712328766
7,DeepFool,catDog,alexnet,20_80,bing,0.5887919068336487,80,0.4128114,0.6518518518518519,0.1917808219178082
8,DeepFool,catDog,alexnet,20_80,bing,0.5580369234085083,90,0.3950178,0.562962962962963,0.23972602739726026
9,DeepFool,catDog,alexnet,20_80,bing,0.5303501486778259,100,0.3629893,0.4740740740740741,0.2602739726027397
10,DeepFool,catDog,alexnet,30_70,bing,0.9407293200492859,10,0.13380282,0.27205882352941174,0.006756756756756757
11,DeepFool,catDog,alexnet,30_70,bing,0.8574512004852295,20,0.32394364,0.6470588235294118,0.02702702702702703
12,DeepFool,catDog,alexnet,30_70,bing,0.7730222940444946,30,0.45774648,0.8970588235294118,0.05405405405405406
13,DeepFool,catDog,alexnet,30_70,bing,0.7056207656860352,40,0.49647886,0.9558823529411765,0.07432432432432433
14,DeepFool,catDog,alexnet,30_70,bing,0.6542251110076904,50,0.5176056,1.0,0.07432432432432433
15,DeepFool,catDog,alexnet,30_70,bing,0.6128640174865723,60,0.5140845,0.9926470588235294,0.07432432432432433
16,DeepFool,catDog,alexnet,30_70,bing,0.5783970952033997,70,0.5140845,0.9852941176470589,0.08108108108108109
17,DeepFool,catDog,alexnet,30_70,bing,0.552699863910675,80,0.52112675,0.9926470588235294,0.08783783783783784
18,DeepFool,catDog,alexnet,30_70,bing,0.5296025276184082,90,0.5316901,0.9926470588235294,0.10810810810810811
19,DeepFool,catDog,alexnet,30_70,bing,0.512601375579834,100,0.5387324,1.0,0.11486486486486487
20,DeepFool,catDog,alexnet,40_60,bing,0.9280992746353149,10,0.12676056,0.2589928057553957,0.0
21,DeepFool,catDog,alexnet,40_60,bing,0.824695348739624,20,0.36267605,0.7050359712230215,0.034482758620689655
22,DeepFool,catDog,alexnet,40_60,bing,0.7346631288528442,30,0.49647886,0.935251798561151,0.07586206896551724
23,DeepFool,catDog,alexnet,40_60,bing,0.6648983359336853,40,0.5387324,0.9784172661870504,0.11724137931034483
24,DeepFool,catDog,alexnet,40_60,bing,0.6121332049369812,50,0.55281687,0.9928057553956835,0.1310344827586207
25,DeepFool,catDog,alexnet,40_60,bing,0.5713692903518677,60,0.556338,0.9928057553956835,0.13793103448275862
26,DeepFool,catDog,alexnet,40_60,bing,0.5406189560890198,70,0.556338,0.9856115107913669,0.14482758620689656
27,DeepFool,catDog,alexnet,40_60,bing,0.5194264054298401,80,0.57042253,0.9928057553956835,0.16551724137931034
28,DeepFool,catDog,alexnet,40_60,bing,0.5026496052742004,90,0.5669014,0.9640287769784173,0.18620689655172415
29,DeepFool,catDog,alexnet,40_60,bing,0.49034199118614197,100,0.5809859,0.9928057553956835,0.18620689655172415
30,DeepFool,catDog,alexnet,50_50,bing,0.9190389513969421,10,0.15972222,0.3194444444444444,0.0
31,DeepFool,catDog,alexnet,50_50,bing,0.8014107942581177,20,0.3715278,0.7083333333333334,0.034722222222222224
32,DeepFool,catDog,alexnet,50_50,bing,0.6914857029914856,30,0.47916666,0.875,0.08333333333333333
33,DeepFool,catDog,alexnet,50_50,bing,0.6165648698806763,40,0.44791666,0.7916666666666666,0.10416666666666667
34,DeepFool,catDog,alexnet,50_50,bing,0.5618271231651306,50,0.41319445,0.6805555555555556,0.14583333333333334
35,DeepFool,catDog,alexnet,50_50,bing,0.5305503010749817,60,0.32291666,0.4861111111111111,0.1597222222222222
36,DeepFool,catDog,alexnet,50_50,bing,0.5064380764961243,70,0.27083334,0.3888888888888889,0.1527777777777778
37,DeepFool,catDog,alexnet,50_50,bing,0.49034368991851807,80,0.27083334,0.3680555555555556,0.1736111111111111
38,DeepFool,catDog,alexnet,50_50,bing,0.4804931581020355,90,0.21180555,0.24305555555555555,0.18055555555555555
39,DeepFool,catDog,alexnet,50_50,bing,0.47182905673980713,100,0.23611112,0.2847222222222222,0.1875
40,DeepFool,catDog,resnet,20_80,bing,0.9692638516426086,10,0.03114187,0.06428571428571428,0.0
41,DeepFool,catDog,resnet,20_80,bing,0.9352236390113831,20,0.10726644,0.22142857142857142,0.0
42,DeepFool,catDog,resnet,20_80,bing,0.899513840675354,30,0.19377163,0.38571428571428573,0.013422818791946308
43,DeepFool,catDog,resnet,20_80,bing,0.8654115796089172,40,0.24221455,0.45714285714285713,0.040268456375838924
