,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,FGSM,catDog,alexnet,20_80,bing,0.6444793939590454,0.05,0.3629893,0.5333333333333333,0.2054794520547945
1,FGSM,catDog,alexnet,20_80,bing,0.4110373556613922,0.1,0.56227756,0.6444444444444445,0.4863013698630137
2,FGSM,catDog,alexnet,20_80,bing,0.2740582525730133,0.15,0.59786475,0.7111111111111111,0.4931506849315068
3,FGSM,catDog,alexnet,20_80,bing,0.19251620769500732,0.2,0.55871886,0.6888888888888889,0.4383561643835616
4,FGSM,catDog,alexnet,20_80,bing,0.1395508050918579,0.25,0.5871886,0.6370370370370371,0.541095890410959
5,FGSM,catDog,alexnet,20_80,bing,0.10075901448726654,0.3,0.6085409,0.5481481481481482,0.6643835616438356
6,FGSM,catDog,alexnet,30_70,bing,0.6484130024909973,0.05,0.29929578,0.41911764705882354,0.1891891891891892
7,FGSM,catDog,alexnet,30_70,bing,0.41462305188179016,0.1,0.53521127,0.6911764705882353,0.3918918918918919
8,FGSM,catDog,alexnet,30_70,bing,0.27723172307014465,0.15,0.55281687,0.8602941176470589,0.2702702702702703
9,FGSM,catDog,alexnet,30_70,bing,0.19510017335414886,0.2,0.50352114,0.9264705882352942,0.11486486486486487
10,FGSM,catDog,alexnet,30_70,bing,0.14155586063861847,0.25,0.48591548,0.9632352941176471,0.0472972972972973
11,FGSM,catDog,alexnet,30_70,bing,0.10232146829366684,0.3,0.48591548,0.9852941176470589,0.02702702702702703
12,FGSM,catDog,alexnet,40_60,bing,0.6463833451271057,0.05,0.29929578,0.30935251798561153,0.2896551724137931
13,FGSM,catDog,alexnet,40_60,bing,0.411883145570755,0.1,0.5915493,0.5107913669064749,0.6689655172413793
14,FGSM,catDog,alexnet,40_60,bing,0.274578332901001,0.15,0.60211265,0.6690647482014388,0.5379310344827586
15,FGSM,catDog,alexnet,40_60,bing,0.19269737601280212,0.2,0.57746476,0.8201438848920863,0.3448275862068966
16,FGSM,catDog,alexnet,40_60,bing,0.13950349390506744,0.25,0.52112675,0.8920863309352518,0.16551724137931034
17,FGSM,catDog,alexnet,40_60,bing,0.1005951389670372,0.3,0.5316901,0.9640287769784173,0.11724137931034483
18,FGSM,catDog,alexnet,50_50,bing,0.6465240716934204,0.05,0.3402778,0.2986111111111111,0.3819444444444444
19,FGSM,catDog,alexnet,50_50,bing,0.4111059606075287,0.1,0.5347222,0.3333333333333333,0.7361111111111112
20,FGSM,catDog,alexnet,50_50,bing,0.27369189262390137,0.15,0.6076389,0.3958333333333333,0.8194444444444444
