,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GaussianNoise,catDog,alexnet,20_80,bing,0.5691195726394653,0.01,0.06761566,0.13333333333333333,0.00684931506849315
1,GaussianNoise,catDog,alexnet,20_80,bing,0.43254244327545166,0.02,0.08896797,0.16296296296296298,0.02054794520547945
2,GaussianNoise,catDog,alexnet,20_80,bing,0.34657907485961914,0.03,0.110320285,0.1925925925925926,0.03424657534246575
3,GaussianNoise,catDog,alexnet,20_80,bing,0.28819915652275085,0.04,0.14590748,0.2518518518518518,0.04794520547945205
4,GaussianNoise,catDog,alexnet,20_80,bing,0.24536125361919403,0.05,0.14946619,0.2518518518518518,0.0547945205479452
5,GaussianNoise,catDog,alexnet,20_80,bing,0.21249283850193024,0.06,0.19572954,0.3037037037037037,0.0958904109589041
6,GaussianNoise,catDog,alexnet,20_80,bing,0.1859973669052124,0.07,0.21352313,0.35555555555555557,0.0821917808219178
7,GaussianNoise,catDog,alexnet,20_80,bing,0.16387483477592468,0.08,0.26334518,0.37777777777777777,0.15753424657534246
8,GaussianNoise,catDog,alexnet,20_80,bing,0.1455889195203781,0.09,0.25622776,0.37037037037037035,0.1506849315068493
9,GaussianNoise,catDog,alexnet,20_80,bing,0.1298230141401291,0.1,0.26334518,0.3333333333333333,0.19863013698630136
10,GaussianNoise,catDog,alexnet,30_70,bing,0.5691981911659241,0.01,0.056338027,0.11029411764705882,0.006756756756756757
11,GaussianNoise,catDog,alexnet,30_70,bing,0.4327628016471863,0.02,0.08802817,0.16176470588235295,0.02027027027027027
12,GaussianNoise,catDog,alexnet,30_70,bing,0.3466442823410034,0.03,0.116197184,0.21323529411764705,0.02702702702702703
13,GaussianNoise,catDog,alexnet,30_70,bing,0.2881195545196533,0.04,0.12676056,0.23529411764705882,0.02702702702702703
14,GaussianNoise,catDog,alexnet,30_70,bing,0.24557656049728394,0.05,0.1971831,0.36764705882352944,0.04054054054054054
15,GaussianNoise,catDog,alexnet,30_70,bing,0.21250922977924347,0.06,0.25,0.47058823529411764,0.0472972972972973
16,GaussianNoise,catDog,alexnet,30_70,bing,0.18600867688655853,0.07,0.30985916,0.5882352941176471,0.05405405405405406
17,GaussianNoise,catDog,alexnet,30_70,bing,0.16412858664989471,0.08,0.3309859,0.6470588235294118,0.04054054054054054
18,GaussianNoise,catDog,alexnet,30_70,bing,0.14556661248207092,0.09,0.3556338,0.6911764705882353,0.0472972972972973
19,GaussianNoise,catDog,alexnet,30_70,bing,0.12966729700565338,0.1,0.38732395,0.75,0.05405405405405406
20,GaussianNoise,catDog,alexnet,40_60,bing,0.5691790580749512,0.01,0.049295776,0.07194244604316546,0.027586206896551724
21,GaussianNoise,catDog,alexnet,40_60,bing,0.43252959847450256,0.02,0.06338028,0.08633093525179857,0.041379310344827586
22,GaussianNoise,catDog,alexnet,40_60,bing,0.3465874493122101,0.03,0.08802817,0.1223021582733813,0.05517241379310345
23,GaussianNoise,catDog,alexnet,40_60,bing,0.2881533205509186,0.04,0.13028169,0.2014388489208633,0.06206896551724138
24,GaussianNoise,catDog,alexnet,40_60,bing,0.2455773800611496,0.05,0.17605634,0.2446043165467626,0.1103448275862069
25,GaussianNoise,catDog,alexnet,40_60,bing,0.21240296959877014,0.06,0.17957745,0.26618705035971224,0.09655172413793103
26,GaussianNoise,catDog,alexnet,40_60,bing,0.1859445720911026,0.07,0.20774648,0.30935251798561153,0.1103448275862069
27,GaussianNoise,catDog,alexnet,40_60,bing,0.16409599781036377,0.08,0.24647887,0.37410071942446044,0.12413793103448276
28,GaussianNoise,catDog,alexnet,40_60,bing,0.14552032947540283,0.09,0.28873238,0.4316546762589928,0.15172413793103448
29,GaussianNoise,catDog,alexnet,40_60,bing,0.12994001805782318,0.1,0.32394364,0.48201438848920863,0.1724137931034483
30,GaussianNoise,catDog,alexnet,50_50,bing,0.569122850894928,0.01,0.03125,0.034722222222222224,0.027777777777777776
31,GaussianNoise,catDog,alexnet,50_50,bing,0.4327150285243988,0.02,0.065972224,0.05555555555555555,0.0763888888888889
32,GaussianNoise,catDog,alexnet,50_50,bing,0.3465856611728668,0.03,0.06944445,0.04861111111111111,0.09027777777777778
33,GaussianNoise,catDog,alexnet,50_50,bing,0.28799065947532654,0.04,0.10069445,0.0625,0.1388888888888889
34,GaussianNoise,catDog,alexnet,50_50,bing,0.24538491666316986,0.05,0.125,0.0625,0.1875
35,GaussianNoise,catDog,alexnet,50_50,bing,0.21237391233444214,0.06,0.16319445,0.08333333333333333,0.24305555555555555
36,GaussianNoise,catDog,alexnet,50_50,bing,0.1858309507369995,0.07,0.19097222,0.09722222222222222,0.2847222222222222
37,GaussianNoise,catDog,alexnet,50_50,bing,0.1639055758714676,0.08,0.1875,0.04861111111111111,0.3263888888888889
38,GaussianNoise,catDog,alexnet,50_50,bing,0.1454521268606186,0.09,0.20486112,0.04861111111111111,0.3611111111111111
39,GaussianNoise,catDog,alexnet,50_50,bing,0.1298161894083023,0.1,0.25,0.0763888888888889,0.4236111111111111
40,GaussianNoise,catDog,resnet,20_80,bing,0.569050669670105,0.01,0.038062286,0.05714285714285714,0.020134228187919462
41,GaussianNoise,catDog,resnet,20_80,bing,0.43251118063926697,0.02,0.072664365,0.12857142857142856,0.020134228187919462
42,GaussianNoise,catDog,resnet,20_80,bing,0.34657755494117737,0.03,0.11764706,0.2357142857142857,0.006711409395973154
43,GaussianNoise,catDog,resnet,20_80,bing,0.28818029165267944,0.04,0.1764706,0.36428571428571427,0.0
44,GaussianNoise,catDog,resnet,20_80,bing,0.24533934891223907,0.05,0.2214533,0.42857142857142855,0.026845637583892617
45,GaussianNoise,catDog,resnet,20_80,bing,0.212413489818573,0.06,0.25605538,0.5285714285714286,0.0
46,GaussianNoise,catDog,resnet,20_80,bing,0.1858683079481125,0.07,0.30795848,0.6214285714285714,0.013422818791946308
47,GaussianNoise,catDog,resnet,20_80,bing,0.1639670729637146,0.08,0.30449829,0.6285714285714286,0.0
48,GaussianNoise,catDog,resnet,20_80,bing,0.14558954536914825,0.09,0.34602076,0.7,0.013422818791946308
49,GaussianNoise,catDog,resnet,20_80,bing,0.12987369298934937,0.1,0.366782,0.7571428571428571,0.0
50,GaussianNoise,catDog,resnet,30_70,bing,0.5693487524986267,0.01,0.02749141,0.04225352112676056,0.013422818791946308
51,GaussianNoise,catDog,resnet,30_70,bing,0.43280425667762756,0.02,0.07216495,0.13380281690140844,0.013422818791946308
52,GaussianNoise,catDog,resnet,30_70,bing,0.34655094146728516,0.03,0.12714776,0.23943661971830985,0.020134228187919462
53,GaussianNoise,catDog,resnet,30_70,bing,0.2881297767162323,0.04,0.17525773,0.3591549295774648,0.0
