,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GreyScale,catDog,alexnet,20_80,bing,0.7237391471862793,1,0.053380784,0.1111111111111111,0.0
1,GreyScale,catDog,alexnet,30_70,bing,0.7237391471862793,1,0.02112676,0.022058823529411766,0.02027027027027027
2,GreyScale,catDog,alexnet,40_60,bing,0.7237391471862793,1,0.038732395,0.07194244604316546,0.006896551724137931
3,GreyScale,catDog,alexnet,50_50,bing,0.7237391471862793,1,0.034722224,0.04861111111111111,0.020833333333333332
4,GreyScale,catDog,resnet,20_80,bing,0.7237391471862793,1,0.010380623,0.014285714285714285,0.006711409395973154
5,GreyScale,catDog,resnet,30_70,bing,0.7237391471862793,1,0.01718213,0.035211267605633804,0.0
6,GreyScale,catDog,resnet,40_60,bing,0.7237391471862793,1,0.020477815,0.0273972602739726,0.013605442176870748
7,GreyScale,catDog,resnet,50_50,bing,0.7237391471862793,1,0.013605442,0.0,0.027210884353741496
8,GreyScale,catDog,vgg,20_80,bing,0.7237391471862793,1,0.017361112,0.03571428571428571,0.0
9,GreyScale,catDog,vgg,30_70,bing,0.7237391471862793,1,0.013840831,0.028169014084507043,0.0
10,GreyScale,catDog,vgg,40_60,bing,0.7237391471862793,1,0.01369863,0.027586206896551724,0.0
11,GreyScale,catDog,vgg,50_50,bing,0.7237391471862793,1,0.006849315,0.00684931506849315,0.00684931506849315
12,GreyScale,catDog,alexnet,20_80,google,0.7730804085731506,1,0.05357143,0.09285714285714286,0.014285714285714285
13,GreyScale,catDog,alexnet,30_70,google,0.7730804085731506,1,0.05755396,0.1079136690647482,0.007194244604316547
14,GreyScale,catDog,alexnet,40_60,google,0.7730804085731506,1,0.04710145,0.07971014492753623,0.014492753623188406
15,GreyScale,catDog,alexnet,50_50,google,0.7730804085731506,1,0.048148148,0.044444444444444446,0.05185185185185185
16,GreyScale,catDog,resnet,20_80,google,0.7730804085731506,1,0.013888889,0.027777777777777776,0.0
17,GreyScale,catDog,resnet,30_70,google,0.7730804085731506,1,0.020408163,0.013605442176870748,0.027210884353741496
18,GreyScale,catDog,resnet,40_60,google,0.7730804085731506,1,0.013605442,0.027210884353741496,0.0
19,GreyScale,catDog,resnet,50_50,google,0.7730804085731506,1,0.023972603,0.02054794520547945,0.0273972602739726
20,GreyScale,catDog,vgg,20_80,google,0.7730804085731506,1,0.023972603,0.04794520547945205,0.0
21,GreyScale,catDog,vgg,30_70,google,0.7730804085731506,1,0.0102739725,0.0136986301369863,0.00684931506849315
22,GreyScale,catDog,vgg,40_60,google,0.7730804085731506,1,0.006756757,0.006756756756756757,0.006756756756756757
23,GreyScale,catDog,vgg,50_50,google,0.7730804085731506,1,0.006756757,0.0,0.013513513513513514
