,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,InvertColor,catDog,alexnet,20_80,bing,0.4992207884788513,1,0.17793594,0.05185185185185185,0.2945205479452055
1,InvertColor,catDog,alexnet,30_70,bing,0.4992207884788513,1,0.19366197,0.04411764705882353,0.3310810810810811
2,InvertColor,catDog,alexnet,40_60,bing,0.4992207884788513,1,0.1971831,0.03597122302158273,0.35172413793103446
3,InvertColor,catDog,alexnet,50_50,bing,0.4992207884788513,1,0.21527778,0.020833333333333332,0.4097222222222222
4,InvertColor,catDog,resnet,20_80,bing,0.4992207884788513,1,0.11764706,0.05714285714285714,0.174496644295302
5,InvertColor,catDog,resnet,30_70,bing,0.4992207884788513,1,0.1305842,0.06338028169014084,0.19463087248322147
6,InvertColor,catDog,resnet,40_60,bing,0.4992207884788513,1,0.17064846,0.00684931506849315,0.3333333333333333
7,InvertColor,catDog,resnet,50_50,bing,0.4992207884788513,1,0.25510204,0.0,0.5102040816326531
8,InvertColor,catDog,vgg,20_80,bing,0.4992207884788513,1,0.1875,0.12857142857142856,0.24324324324324326
9,InvertColor,catDog,vgg,30_70,bing,0.4992207884788513,1,0.20415226,0.06338028169014084,0.3401360544217687
10,InvertColor,catDog,vgg,40_60,bing,0.4992207884788513,1,0.23287672,0.013793103448275862,0.4489795918367347
11,InvertColor,catDog,vgg,50_50,bing,0.4992207884788513,1,0.26027396,0.0,0.5205479452054794
12,InvertColor,catDog,alexnet,20_80,google,0.38788098096847534,1,0.13928571,0.07142857142857142,0.20714285714285716
13,InvertColor,catDog,alexnet,30_70,google,0.38788098096847534,1,0.15467626,0.07913669064748201,0.2302158273381295
14,InvertColor,catDog,alexnet,40_60,google,0.38788098096847534,1,0.20652175,0.021739130434782608,0.391304347826087
15,InvertColor,catDog,alexnet,50_50,google,0.38788098096847534,1,0.2962963,0.014814814814814815,0.5777777777777777
16,InvertColor,catDog,resnet,20_80,google,0.38788098096847534,1,0.10069445,0.0625,0.1388888888888889
17,InvertColor,catDog,resnet,30_70,google,0.38788098096847534,1,0.108843535,0.013605442176870748,0.20408163265306123
18,InvertColor,catDog,resnet,40_60,google,0.38788098096847534,1,0.13605443,0.0,0.272108843537415
19,InvertColor,catDog,resnet,50_50,google,0.38788098096847534,1,0.18835616,0.0,0.3767123287671233
20,InvertColor,catDog,vgg,20_80,google,0.38788098096847534,1,0.10273972,0.03424657534246575,0.17123287671232876
21,InvertColor,catDog,vgg,30_70,google,0.38788098096847534,1,0.14041096,0.0136986301369863,0.2671232876712329
22,InvertColor,catDog,vgg,40_60,google,0.38788098096847534,1,0.2027027,0.006756756756756757,0.39864864864864863
23,InvertColor,catDog,vgg,50_50,google,0.38788098096847534,1,0.27364865,0.0,0.5472972972972973
