,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,PGD,catDog,alexnet,20_80,bing,0.7871454954147339,0.05,0.31672597,0.4962962962962963,0.1506849315068493
1,PGD,catDog,alexnet,20_80,bing,0.6732964515686035,0.1,0.44128114,0.6666666666666666,0.2328767123287671
2,PGD,catDog,alexnet,20_80,bing,0.5790019631385803,0.15,0.45907474,0.6814814814814815,0.2534246575342466
3,PGD,catDog,alexnet,20_80,bing,0.49486374855041504,0.2,0.48754448,0.7185185185185186,0.273972602739726
4,PGD,catDog,alexnet,20_80,bing,0.4171713590621948,0.25,0.44839856,0.6666666666666666,0.2465753424657534
5,PGD,catDog,alexnet,20_80,bing,0.3510836660861969,0.3,0.45907474,0.674074074074074,0.2602739726027397
6,PGD,catDog,alexnet,30_70,bing,0.787090539932251,0.05,0.31338027,0.4411764705882353,0.19594594594594594
7,PGD,catDog,alexnet,30_70,bing,0.6727376580238342,0.1,0.43309858,0.625,0.25675675675675674
8,PGD,catDog,alexnet,30_70,bing,0.5787034630775452,0.15,0.44366196,0.6544117647058824,0.25
9,PGD,catDog,alexnet,30_70,bing,0.4950356185436249,0.2,0.4612676,0.7205882352941176,0.22297297297297297
10,PGD,catDog,alexnet,30_70,bing,0.4176120460033417,0.25,0.44014084,0.6985294117647058,0.20270270270270271
11,PGD,catDog,alexnet,30_70,bing,0.3517971336841583,0.3,0.46478873,0.7867647058823529,0.16891891891891891
12,PGD,catDog,alexnet,40_60,bing,0.7860665321350098,0.05,0.26056337,0.35251798561151076,0.1724137931034483
13,PGD,catDog,alexnet,40_60,bing,0.671902596950531,0.1,0.41549295,0.5827338129496403,0.25517241379310346
14,PGD,catDog,alexnet,40_60,bing,0.5782430768013,0.15,0.43309858,0.6115107913669064,0.2620689655172414
15,PGD,catDog,alexnet,40_60,bing,0.49503687024116516,0.2,0.41901407,0.5971223021582733,0.2482758620689655
16,PGD,catDog,alexnet,40_60,bing,0.4179319441318512,0.25,0.45070422,0.6330935251798561,0.27586206896551724
17,PGD,catDog,alexnet,40_60,bing,0.35213586688041687,0.3,0.48591548,0.7050359712230215,0.27586206896551724
18,PGD,catDog,alexnet,50_50,bing,0.7839376330375671,0.05,0.31597224,0.4027777777777778,0.22916666666666666
19,PGD,catDog,alexnet,50_50,bing,0.6704677939414978,0.1,0.45833334,0.5902777777777778,0.3263888888888889
20,PGD,catDog,alexnet,50_50,bing,0.5775963068008423,0.15,0.5034722,0.6458333333333334,0.3611111111111111
21,PGD,catDog,alexnet,50_50,bing,0.4945010244846344,0.2,0.48958334,0.6180555555555556,0.3611111111111111
22,PGD,catDog,alexnet,50_50,bing,0.4176086485385895,0.25,0.46875,0.5833333333333334,0.3541666666666667
23,PGD,catDog,alexnet,50_50,bing,0.35200947523117065,0.3,0.46875,0.5347222222222222,0.4027777777777778
24,PGD,catDog,resnet,20_80,bing,0.8289871215820312,0.05,0.14186852,0.21428571428571427,0.0738255033557047
25,PGD,catDog,resnet,20_80,bing,0.7040302157402039,0.1,0.16608997,0.24285714285714285,0.09395973154362416
26,PGD,catDog,resnet,20_80,bing,0.5997205376625061,0.15,0.16262977,0.22857142857142856,0.10067114093959731
27,PGD,catDog,resnet,20_80,bing,0.5081153512001038,0.2,0.19031143,0.3,0.087248322147651
28,PGD,catDog,resnet,20_80,bing,0.4251956045627594,0.25,0.25259516,0.40714285714285714,0.10738255033557047
29,PGD,catDog,resnet,20_80,bing,0.3561825454235077,0.3,0.33910036,0.5714285714285714,0.12080536912751678
30,PGD,catDog,resnet,30_70,bing,0.8297561407089233,0.05,0.13402063,0.21830985915492956,0.053691275167785234
31,PGD,catDog,resnet,30_70,bing,0.7042622566223145,0.1,0.16838488,0.2676056338028169,0.0738255033557047
32,PGD,catDog,resnet,30_70,bing,0.5996540188789368,0.15,0.16838488,0.2746478873239437,0.06711409395973154
33,PGD,catDog,resnet,30_70,bing,0.507847249507904,0.2,0.18213059,0.30985915492957744,0.06040268456375839
34,PGD,catDog,resnet,30_70,bing,0.424952894449234,0.25,0.20618556,0.3591549295774648,0.06040268456375839
35,PGD,catDog,resnet,30_70,bing,0.35604140162467957,0.3,0.30584192,0.5492957746478874,0.0738255033557047
36,PGD,catDog,resnet,40_60,bing,0.830012857913971,0.05,0.10921501,0.14383561643835616,0.07482993197278912
37,PGD,catDog,resnet,40_60,bing,0.704413652420044,0.1,0.13993174,0.18493150684931506,0.09523809523809523
