,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RFGSM,catDog,alexnet,20_80,bing,0.7879627346992493,0.05,0.4128114,0.6074074074074074,0.2328767123287671
1,RFGSM,catDog,alexnet,20_80,bing,0.7612311840057373,0.1,0.5017794,0.6962962962962963,0.3219178082191781
2,RFGSM,catDog,alexnet,20_80,bing,0.7612227201461792,0.15,0.5017794,0.6962962962962963,0.3219178082191781
3,RFGSM,catDog,alexnet,20_80,bing,0.7612329721450806,0.2,0.5017794,0.6962962962962963,0.3219178082191781
4,RFGSM,catDog,alexnet,20_80,bing,0.7612242698669434,0.25,0.5017794,0.6962962962962963,0.3219178082191781
5,RFGSM,catDog,alexnet,20_80,bing,0.7612302899360657,0.3,0.5017794,0.6962962962962963,0.3219178082191781
6,RFGSM,catDog,alexnet,30_70,bing,0.7883332371711731,0.05,0.36267605,0.4852941176470588,0.25
7,RFGSM,catDog,alexnet,30_70,bing,0.7599648237228394,0.1,0.47887322,0.6544117647058824,0.31756756756756754
8,RFGSM,catDog,alexnet,30_70,bing,0.7599591612815857,0.15,0.47887322,0.6544117647058824,0.31756756756756754
9,RFGSM,catDog,alexnet,30_70,bing,0.7599530220031738,0.2,0.47887322,0.6544117647058824,0.31756756756756754
10,RFGSM,catDog,alexnet,30_70,bing,0.7599355578422546,0.25,0.47887322,0.6544117647058824,0.31756756756756754
11,RFGSM,catDog,alexnet,30_70,bing,0.759950578212738,0.3,0.47887322,0.6544117647058824,0.31756756756756754
12,RFGSM,catDog,alexnet,40_60,bing,0.7871072888374329,0.05,0.37323943,0.5107913669064749,0.2413793103448276
13,RFGSM,catDog,alexnet,40_60,bing,0.7588842511177063,0.1,0.49295774,0.6402877697841727,0.35172413793103446
14,RFGSM,catDog,alexnet,40_60,bing,0.7588791847229004,0.15,0.49295774,0.6402877697841727,0.35172413793103446
15,RFGSM,catDog,alexnet,40_60,bing,0.758888840675354,0.2,0.4894366,0.6330935251798561,0.35172413793103446
16,RFGSM,catDog,alexnet,40_60,bing,0.7588930726051331,0.25,0.49295774,0.6402877697841727,0.35172413793103446
17,RFGSM,catDog,alexnet,40_60,bing,0.7588942646980286,0.3,0.49295774,0.6402877697841727,0.35172413793103446
18,RFGSM,catDog,alexnet,50_50,bing,0.7849872708320618,0.05,0.39583334,0.5069444444444444,0.2847222222222222
19,RFGSM,catDog,alexnet,50_50,bing,0.7555574178695679,0.1,0.53125,0.6319444444444444,0.4305555555555556
20,RFGSM,catDog,alexnet,50_50,bing,0.7555564045906067,0.15,0.53125,0.6319444444444444,0.4305555555555556
21,RFGSM,catDog,alexnet,50_50,bing,0.7555562257766724,0.2,0.53125,0.6319444444444444,0.4305555555555556
22,RFGSM,catDog,alexnet,50_50,bing,0.7555599212646484,0.25,0.53125,0.6319444444444444,0.4305555555555556
23,RFGSM,catDog,alexnet,50_50,bing,0.7555597424507141,0.3,0.53125,0.6319444444444444,0.4305555555555556
24,RFGSM,catDog,resnet,20_80,bing,0.8403029441833496,0.05,0.20415226,0.30714285714285716,0.10738255033557047
25,RFGSM,catDog,resnet,20_80,bing,0.8276603817939758,0.1,0.2214533,0.3357142857142857,0.11409395973154363
26,RFGSM,catDog,resnet,20_80,bing,0.8276603817939758,0.15,0.2214533,0.3357142857142857,0.11409395973154363
27,RFGSM,catDog,resnet,20_80,bing,0.8276603817939758,0.2,0.2214533,0.3357142857142857,0.11409395973154363
28,RFGSM,catDog,resnet,20_80,bing,0.8276603817939758,0.25,0.2214533,0.3357142857142857,0.11409395973154363
29,RFGSM,catDog,resnet,20_80,bing,0.8276603817939758,0.3,0.2214533,0.3357142857142857,0.11409395973154363
30,RFGSM,catDog,resnet,30_70,bing,0.8412349820137024,0.05,0.18213059,0.28169014084507044,0.087248322147651
31,RFGSM,catDog,resnet,30_70,bing,0.8286148309707642,0.1,0.2233677,0.36619718309859156,0.087248322147651
32,RFGSM,catDog,resnet,30_70,bing,0.8286148309707642,0.15,0.2233677,0.36619718309859156,0.087248322147651
33,RFGSM,catDog,resnet,30_70,bing,0.8286148309707642,0.2,0.2233677,0.36619718309859156,0.087248322147651
34,RFGSM,catDog,resnet,30_70,bing,0.8286148309707642,0.25,0.2233677,0.36619718309859156,0.087248322147651
35,RFGSM,catDog,resnet,30_70,bing,0.8286148309707642,0.3,0.2233677,0.36619718309859156,0.087248322147651
36,RFGSM,catDog,resnet,40_60,bing,0.8414632081985474,0.05,0.16040955,0.21232876712328766,0.10884353741496598
37,RFGSM,catDog,resnet,40_60,bing,0.8289641737937927,0.1,0.20136519,0.2602739726027397,0.14285714285714285
38,RFGSM,catDog,resnet,40_60,bing,0.8289641737937927,0.15,0.20136519,0.2602739726027397,0.14285714285714285
39,RFGSM,catDog,resnet,40_60,bing,0.8289641737937927,0.2,0.20136519,0.2602739726027397,0.14285714285714285
40,RFGSM,catDog,resnet,40_60,bing,0.8289641737937927,0.25,0.20136519,0.2602739726027397,0.14285714285714285
41,RFGSM,catDog,resnet,40_60,bing,0.8289641737937927,0.3,0.20136519,0.2602739726027397,0.14285714285714285
42,RFGSM,catDog,resnet,50_50,bing,0.8406878113746643,0.05,0.16666666,0.17687074829931973,0.1564625850340136
43,RFGSM,catDog,resnet,50_50,bing,0.8282041549682617,0.1,0.20068027,0.22448979591836735,0.17687074829931973
44,RFGSM,catDog,resnet,50_50,bing,0.8282041549682617,0.15,0.20068027,0.22448979591836735,0.17687074829931973
45,RFGSM,catDog,resnet,50_50,bing,0.8282041549682617,0.2,0.20068027,0.22448979591836735,0.17687074829931973
46,RFGSM,catDog,resnet,50_50,bing,0.8282041549682617,0.25,0.20068027,0.22448979591836735,0.17687074829931973
47,RFGSM,catDog,resnet,50_50,bing,0.8282041549682617,0.3,0.20068027,0.22448979591836735,0.17687074829931973
48,RFGSM,catDog,vgg,20_80,bing,0.8504634499549866,0.05,0.20486112,0.2642857142857143,0.14864864864864866
49,RFGSM,catDog,vgg,20_80,bing,0.8360188007354736,0.1,0.28472224,0.4,0.17567567567567569
50,RFGSM,catDog,vgg,20_80,bing,0.8360775709152222,0.15,0.2638889,0.36428571428571427,0.16891891891891891
51,RFGSM,catDog,vgg,20_80,bing,0.8360385894775391,0.2,0.28125,0.36428571428571427,0.20270270270270271
52,RFGSM,catDog,vgg,20_80,bing,0.8360002636909485,0.25,0.2638889,0.34285714285714286,0.1891891891891892
53,RFGSM,catDog,vgg,20_80,bing,0.8360287547111511,0.3,0.2673611,0.34285714285714286,0.19594594594594594
54,RFGSM,catDog,vgg,30_70,bing,0.8520429730415344,0.05,0.20415226,0.3028169014084507,0.10884353741496598
55,RFGSM,catDog,vgg,30_70,bing,0.8381797671318054,0.1,0.2733564,0.38028169014084506,0.17006802721088435
56,RFGSM,catDog,vgg,30_70,bing,0.8381578326225281,0.15,0.2768166,0.4084507042253521,0.14965986394557823
57,RFGSM,catDog,vgg,30_70,bing,0.8382112383842468,0.2,0.26297578,0.3732394366197183,0.1564625850340136
58,RFGSM,catDog,vgg,30_70,bing,0.8380460143089294,0.25,0.25951558,0.3591549295774648,0.16326530612244897
59,RFGSM,catDog,vgg,30_70,bing,0.8379766345024109,0.3,0.26643598,0.3732394366197183,0.16326530612244897
60,RFGSM,catDog,vgg,40_60,bing,0.851823627948761,0.05,0.19863014,0.2482758620689655,0.14965986394557823
61,RFGSM,catDog,vgg,40_60,bing,0.837536633014679,0.1,0.24657534,0.31724137931034485,0.17687074829931973
62,RFGSM,catDog,vgg,40_60,bing,0.8376488089561462,0.15,0.27739725,0.3448275862068966,0.2108843537414966
63,RFGSM,catDog,vgg,40_60,bing,0.8376872539520264,0.2,0.26027396,0.3310344827586207,0.19047619047619047
64,RFGSM,catDog,vgg,40_60,bing,0.837702751159668,0.25,0.26369864,0.3310344827586207,0.19727891156462585
65,RFGSM,catDog,vgg,40_60,bing,0.8375735282897949,0.3,0.24315068,0.3103448275862069,0.17687074829931973
66,RFGSM,catDog,vgg,50_50,bing,0.8518744111061096,0.05,0.19520548,0.2602739726027397,0.13013698630136986
67,RFGSM,catDog,vgg,50_50,bing,0.838021457195282,0.1,0.23972602,0.3082191780821918,0.17123287671232876
68,RFGSM,catDog,vgg,50_50,bing,0.8380050659179688,0.15,0.2260274,0.3013698630136986,0.1506849315068493
69,RFGSM,catDog,vgg,50_50,bing,0.8380246162414551,0.2,0.24657534,0.3287671232876712,0.1643835616438356
70,RFGSM,catDog,vgg,50_50,bing,0.8380036354064941,0.25,0.21917808,0.2945205479452055,0.14383561643835616
71,RFGSM,catDog,vgg,50_50,bing,0.8379997611045837,0.3,0.21917808,0.2945205479452055,0.14383561643835616
72,RFGSM,catDog,alexnet,20_80,google,0.7359545230865479,0.05,0.43928573,0.55,0.32857142857142857
73,RFGSM,catDog,alexnet,20_80,google,0.7051170468330383,0.1,0.575,0.6642857142857143,0.4857142857142857
74,RFGSM,catDog,alexnet,20_80,google,0.7050957679748535,0.15,0.575,0.6642857142857143,0.4857142857142857
75,RFGSM,catDog,alexnet,20_80,google,0.7051194906234741,0.2,0.575,0.6642857142857143,0.4857142857142857
76,RFGSM,catDog,alexnet,20_80,google,0.7051119208335876,0.25,0.575,0.6642857142857143,0.4857142857142857
77,RFGSM,catDog,alexnet,20_80,google,0.7051118016242981,0.3,0.575,0.6642857142857143,0.4857142857142857
78,RFGSM,catDog,alexnet,30_70,google,0.7349961400032043,0.05,0.39568347,0.5035971223021583,0.28776978417266186
79,RFGSM,catDog,alexnet,30_70,google,0.704461932182312,0.1,0.5215827,0.5971223021582733,0.4460431654676259
80,RFGSM,catDog,alexnet,30_70,google,0.7044597268104553,0.15,0.5215827,0.5971223021582733,0.4460431654676259
81,RFGSM,catDog,alexnet,30_70,google,0.7044665217399597,0.2,0.5215827,0.5971223021582733,0.4460431654676259
82,RFGSM,catDog,alexnet,30_70,google,0.7044630646705627,0.25,0.5215827,0.5971223021582733,0.4460431654676259
