,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RandomBlackBox,catDog,alexnet,20_80,bing,0.9861640930175781,20,0.021352313,0.037037037037037035,0.00684931506849315
1,RandomBlackBox,catDog,alexnet,20_80,bing,0.9690305590629578,40,0.02846975,0.044444444444444446,0.0136986301369863
2,RandomBlackBox,catDog,alexnet,20_80,bing,0.9436529874801636,60,0.035587188,0.044444444444444446,0.0273972602739726
3,RandomBlackBox,catDog,alexnet,20_80,bing,0.9081712961196899,80,0.049822062,0.02962962962962963,0.0684931506849315
4,RandomBlackBox,catDog,alexnet,20_80,bing,0.8649381399154663,100,0.07473309,0.037037037037037035,0.1095890410958904
5,RandomBlackBox,catDog,alexnet,20_80,bing,0.8120723366737366,120,0.13523132,0.06666666666666667,0.19863013698630136
6,RandomBlackBox,catDog,alexnet,20_80,bing,0.7497684359550476,140,0.20284697,0.05185185185185185,0.3424657534246575
7,RandomBlackBox,catDog,alexnet,20_80,bing,0.6790263652801514,160,0.24911031,0.014814814814814815,0.4657534246575342
8,RandomBlackBox,catDog,alexnet,20_80,bing,0.5989643931388855,180,0.3950178,0.014814814814814815,0.7465753424657534
9,RandomBlackBox,catDog,alexnet,20_80,bing,0.5110255479812622,200,0.48042706,0.0,0.9246575342465754
10,RandomBlackBox,catDog,alexnet,30_70,bing,0.9861640930175781,20,0.0070422534,0.014705882352941176,0.0
11,RandomBlackBox,catDog,alexnet,30_70,bing,0.9690305590629578,40,0.024647888,0.022058823529411766,0.02702702702702703
12,RandomBlackBox,catDog,alexnet,30_70,bing,0.9436529874801636,60,0.056338027,0.0661764705882353,0.0472972972972973
13,RandomBlackBox,catDog,alexnet,30_70,bing,0.9081712961196899,80,0.06690141,0.03676470588235294,0.0945945945945946
14,RandomBlackBox,catDog,alexnet,30_70,bing,0.8649381399154663,100,0.109154925,0.058823529411764705,0.1554054054054054
15,RandomBlackBox,catDog,alexnet,30_70,bing,0.8120723366737366,120,0.14788732,0.07352941176470588,0.21621621621621623
16,RandomBlackBox,catDog,alexnet,30_70,bing,0.7497684359550476,140,0.21830985,0.0661764705882353,0.3581081081081081
17,RandomBlackBox,catDog,alexnet,30_70,bing,0.6790263652801514,160,0.25,0.058823529411764705,0.42567567567567566
18,RandomBlackBox,catDog,alexnet,30_70,bing,0.5989643931388855,180,0.35211268,0.04411764705882353,0.6351351351351351
19,RandomBlackBox,catDog,alexnet,30_70,bing,0.5110255479812622,200,0.4471831,0.03676470588235294,0.8243243243243243
20,RandomBlackBox,catDog,alexnet,40_60,bing,0.9861640930175781,20,0.024647888,0.050359712230215826,0.0
21,RandomBlackBox,catDog,alexnet,40_60,bing,0.9690305590629578,40,0.028169014,0.02877697841726619,0.027586206896551724
22,RandomBlackBox,catDog,alexnet,40_60,bing,0.9436529874801636,60,0.04225352,0.04316546762589928,0.041379310344827586
23,RandomBlackBox,catDog,alexnet,40_60,bing,0.9081712961196899,80,0.056338027,0.03597122302158273,0.07586206896551724
24,RandomBlackBox,catDog,alexnet,40_60,bing,0.8649381399154663,100,0.09154929,0.03597122302158273,0.14482758620689656
25,RandomBlackBox,catDog,alexnet,40_60,bing,0.8120723366737366,120,0.14436619,0.050359712230215826,0.23448275862068965
26,RandomBlackBox,catDog,alexnet,40_60,bing,0.7497684359550476,140,0.20422535,0.03597122302158273,0.36551724137931035
27,RandomBlackBox,catDog,alexnet,40_60,bing,0.6790263652801514,160,0.2640845,0.02877697841726619,0.4896551724137931
28,RandomBlackBox,catDog,alexnet,40_60,bing,0.5989643931388855,180,0.40492958,0.02158273381294964,0.7724137931034483
29,RandomBlackBox,catDog,alexnet,40_60,bing,0.5110255479812622,200,0.45774648,0.0,0.896551724137931
30,RandomBlackBox,catDog,alexnet,50_50,bing,0.9861640930175781,20,0.013888889,0.013888888888888888,0.013888888888888888
31,RandomBlackBox,catDog,alexnet,50_50,bing,0.9690305590629578,40,0.027777778,0.013888888888888888,0.041666666666666664
32,RandomBlackBox,catDog,alexnet,50_50,bing,0.9436529874801636,60,0.041666668,0.027777777777777776,0.05555555555555555
33,RandomBlackBox,catDog,alexnet,50_50,bing,0.9081712961196899,80,0.0625,0.020833333333333332,0.10416666666666667
34,RandomBlackBox,catDog,alexnet,50_50,bing,0.8649381399154663,100,0.10763889,0.027777777777777776,0.1875
35,RandomBlackBox,catDog,alexnet,50_50,bing,0.8120723366737366,120,0.15625,0.020833333333333332,0.2916666666666667
36,RandomBlackBox,catDog,alexnet,50_50,bing,0.7497684359550476,140,0.24305555,0.020833333333333332,0.4652777777777778
37,RandomBlackBox,catDog,alexnet,50_50,bing,0.6790263652801514,160,0.31597224,0.006944444444444444,0.625
38,RandomBlackBox,catDog,alexnet,50_50,bing,0.5989643931388855,180,0.44097224,0.006944444444444444,0.875
39,RandomBlackBox,catDog,alexnet,50_50,bing,0.5110255479812622,200,0.4861111,0.013888888888888888,0.9583333333333334
40,RandomBlackBox,catDog,resnet,20_80,bing,0.9861640930175781,20,0.0034602077,0.007142857142857143,0.0
41,RandomBlackBox,catDog,resnet,20_80,bing,0.9690305590629578,40,0.010380623,0.014285714285714285,0.006711409395973154
42,RandomBlackBox,catDog,resnet,20_80,bing,0.9436529874801636,60,0.020761246,0.02142857142857143,0.020134228187919462
43,RandomBlackBox,catDog,resnet,20_80,bing,0.9081712961196899,80,0.03114187,0.02142857142857143,0.040268456375838924
44,RandomBlackBox,catDog,resnet,20_80,bing,0.8649381399154663,100,0.065743946,0.06428571428571428,0.06711409395973154
45,RandomBlackBox,catDog,resnet,20_80,bing,0.8120723366737366,120,0.103806235,0.05714285714285714,0.1476510067114094
46,RandomBlackBox,catDog,resnet,20_80,bing,0.7497684359550476,140,0.14186852,0.12142857142857143,0.1610738255033557
47,RandomBlackBox,catDog,resnet,20_80,bing,0.6790263652801514,160,0.19723184,0.19285714285714287,0.20134228187919462
48,RandomBlackBox,catDog,resnet,20_80,bing,0.5989643931388855,180,0.24221455,0.22857142857142856,0.2550335570469799
49,RandomBlackBox,catDog,resnet,20_80,bing,0.5110255479812622,200,0.2733564,0.20714285714285716,0.33557046979865773
50,RandomBlackBox,catDog,resnet,30_70,bing,0.9861640930175781,20,0.0034364262,0.007042253521126761,0.0
51,RandomBlackBox,catDog,resnet,30_70,bing,0.9690305590629578,40,0.0068728523,0.007042253521126761,0.006711409395973154
52,RandomBlackBox,catDog,resnet,30_70,bing,0.9436529874801636,60,0.024054984,0.014084507042253521,0.03355704697986577
53,RandomBlackBox,catDog,resnet,30_70,bing,0.9081712961196899,80,0.02749141,0.02112676056338028,0.03355704697986577
54,RandomBlackBox,catDog,resnet,30_70,bing,0.8649381399154663,100,0.048109967,0.035211267605633804,0.06040268456375839
55,RandomBlackBox,catDog,resnet,30_70,bing,0.8120723366737366,120,0.10309278,0.056338028169014086,0.1476510067114094
56,RandomBlackBox,catDog,resnet,30_70,bing,0.7497684359550476,140,0.14776632,0.09154929577464789,0.20134228187919462
57,RandomBlackBox,catDog,resnet,30_70,bing,0.6790263652801514,160,0.20618556,0.14788732394366197,0.26174496644295303
58,RandomBlackBox,catDog,resnet,30_70,bing,0.5989643931388855,180,0.26804125,0.176056338028169,0.35570469798657717
59,RandomBlackBox,catDog,resnet,30_70,bing,0.5110255479812622,200,0.2989691,0.18309859154929578,0.40939597315436244
60,RandomBlackBox,catDog,resnet,40_60,bing,0.9861640930175781,20,0.0,0.0,0.0
61,RandomBlackBox,catDog,resnet,40_60,bing,0.9690305590629578,40,0.010238907,0.0136986301369863,0.006802721088435374
62,RandomBlackBox,catDog,resnet,40_60,bing,0.9436529874801636,60,0.020477815,0.00684931506849315,0.034013605442176874
63,RandomBlackBox,catDog,resnet,40_60,bing,0.9081712961196899,80,0.04095563,0.0,0.08163265306122448
