,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SaltPepper,catDog,alexnet,20_80,bing,0.5807440876960754,0.01,0.124555156,0.25925925925925924,0.0
1,SaltPepper,catDog,alexnet,20_80,bing,0.5092611312866211,0.02,0.15302491,0.3111111111111111,0.00684931506849315
2,SaltPepper,catDog,alexnet,20_80,bing,0.4650047719478607,0.03,0.14946619,0.3111111111111111,0.0
3,SaltPepper,catDog,alexnet,20_80,bing,0.4328705072402954,0.04,0.18505338,0.37037037037037035,0.0136986301369863
4,SaltPepper,catDog,alexnet,20_80,bing,0.40790265798568726,0.05,0.19928825,0.4,0.0136986301369863
5,SaltPepper,catDog,alexnet,20_80,bing,0.38727259635925293,0.06,0.21352313,0.42962962962962964,0.0136986301369863
6,SaltPepper,catDog,alexnet,20_80,bing,0.36951303482055664,0.07,0.2064057,0.4148148148148148,0.0136986301369863
7,SaltPepper,catDog,alexnet,20_80,bing,0.3539672791957855,0.08,0.22064057,0.45185185185185184,0.00684931506849315
8,SaltPepper,catDog,alexnet,20_80,bing,0.3399503231048584,0.09,0.24199288,0.48148148148148145,0.02054794520547945
9,SaltPepper,catDog,alexnet,20_80,bing,0.3273194134235382,0.1,0.2597865,0.5185185185185185,0.02054794520547945
10,SaltPepper,catDog,alexnet,30_70,bing,0.5807440876960754,0.01,0.059859153,0.11029411764705882,0.013513513513513514
11,SaltPepper,catDog,alexnet,30_70,bing,0.5092611312866211,0.02,0.08450704,0.16176470588235295,0.013513513513513514
12,SaltPepper,catDog,alexnet,30_70,bing,0.4650047719478607,0.03,0.116197184,0.21323529411764705,0.02702702702702703
13,SaltPepper,catDog,alexnet,30_70,bing,0.4328705072402954,0.04,0.12676056,0.2426470588235294,0.02027027027027027
14,SaltPepper,catDog,alexnet,30_70,bing,0.40790265798568726,0.05,0.12676056,0.22058823529411764,0.04054054054054054
15,SaltPepper,catDog,alexnet,30_70,bing,0.38727259635925293,0.06,0.13380282,0.2426470588235294,0.033783783783783786
