,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SplitMergeRGB,catDog,alexnet,20_80,bing,0.7503582835197449,1,0.071174376,0.05925925925925926,0.0821917808219178
1,SplitMergeRGB,catDog,alexnet,30_70,bing,0.7503582835197449,1,0.08098591,0.051470588235294115,0.10810810810810811
2,SplitMergeRGB,catDog,alexnet,40_60,bing,0.7503582835197449,1,0.08450704,0.02877697841726619,0.13793103448275862
3,SplitMergeRGB,catDog,alexnet,50_50,bing,0.7503582835197449,1,0.09375,0.020833333333333332,0.16666666666666666
4,SplitMergeRGB,catDog,resnet,20_80,bing,0.7503582835197449,1,0.020761246,0.03571428571428571,0.006711409395973154
5,SplitMergeRGB,catDog,resnet,30_70,bing,0.7503582835197449,1,0.013745705,0.02112676056338028,0.006711409395973154
6,SplitMergeRGB,catDog,resnet,40_60,bing,0.7503582835197449,1,0.017064845,0.00684931506849315,0.027210884353741496
7,SplitMergeRGB,catDog,resnet,50_50,bing,0.7503582835197449,1,0.017006803,0.006802721088435374,0.027210884353741496
8,SplitMergeRGB,catDog,vgg,20_80,bing,0.7503582835197449,1,0.024305556,0.04285714285714286,0.006756756756756757
9,SplitMergeRGB,catDog,vgg,30_70,bing,0.7503582835197449,1,0.034602076,0.028169014084507043,0.04081632653061224
10,SplitMergeRGB,catDog,vgg,40_60,bing,0.7503582835197449,1,0.02739726,0.006896551724137931,0.047619047619047616
11,SplitMergeRGB,catDog,vgg,50_50,bing,0.7503582835197449,1,0.02739726,0.00684931506849315,0.04794520547945205
12,SplitMergeRGB,catDog,alexnet,20_80,google,0.7904291749000549,1,0.08571429,0.05,0.12142857142857143
13,SplitMergeRGB,catDog,alexnet,30_70,google,0.7904291749000549,1,0.07913669,0.02877697841726619,0.12949640287769784
14,SplitMergeRGB,catDog,alexnet,40_60,google,0.7904291749000549,1,0.15217392,0.007246376811594203,0.2971014492753623
15,SplitMergeRGB,catDog,alexnet,50_50,google,0.7904291749000549,1,0.16666666,0.0,0.3333333333333333
16,SplitMergeRGB,catDog,resnet,20_80,google,0.7904291749000549,1,0.013888889,0.013888888888888888,0.013888888888888888
17,SplitMergeRGB,catDog,resnet,30_70,google,0.7904291749000549,1,0.027210884,0.027210884353741496,0.027210884353741496
18,SplitMergeRGB,catDog,resnet,40_60,google,0.7904291749000549,1,0.030612245,0.02040816326530612,0.04081632653061224
19,SplitMergeRGB,catDog,resnet,50_50,google,0.7904291749000549,1,0.02739726,0.00684931506849315,0.04794520547945205
20,SplitMergeRGB,catDog,vgg,20_80,google,0.7904291749000549,1,0.006849315,0.00684931506849315,0.00684931506849315
21,SplitMergeRGB,catDog,vgg,30_70,google,0.7904291749000549,1,0.01369863,0.0,0.0273972602739726
22,SplitMergeRGB,catDog,vgg,40_60,google,0.7904291749000549,1,0.030405406,0.006756756756756757,0.05405405405405406
23,SplitMergeRGB,catDog,vgg,50_50,google,0.7904291749000549,1,0.037162162,0.006756756756756757,0.06756756756756757
