,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,Square,catDog,alexnet,20_80,bing,0.5725331902503967,0.1,0.227758,0.4666666666666667,0.00684931506849315
1,Square,catDog,alexnet,20_80,bing,0.3736242353916168,0.2,0.4163701,0.8592592592592593,0.00684931506849315
2,Square,catDog,alexnet,20_80,bing,0.26744934916496277,0.3,0.4519573,0.9407407407407408,0.0
3,Square,catDog,alexnet,30_70,bing,0.6028741598129272,0.1,0.3028169,0.6176470588235294,0.013513513513513514
4,Square,catDog,alexnet,30_70,bing,0.42573967576026917,0.2,0.39084506,0.6911764705882353,0.11486486486486487
5,Square,catDog,alexnet,30_70,bing,0.32928138971328735,0.3,0.3838028,0.75,0.0472972972972973
6,Square,catDog,alexnet,40_60,bing,0.6178718209266663,0.1,0.2640845,0.5251798561151079,0.013793103448275862
7,Square,catDog,alexnet,40_60,bing,0.4528411626815796,0.2,0.49295774,0.8776978417266187,0.12413793103448276
8,Square,catDog,alexnet,40_60,bing,0.36217090487480164,0.3,0.48591548,0.9640287769784173,0.027586206896551724
9,Square,catDog,alexnet,50_50,bing,0.6185669898986816,0.1,0.30208334,0.5763888888888888,0.027777777777777776
10,Square,catDog,alexnet,50_50,bing,0.4424590468406677,0.2,0.5104167,0.8263888888888888,0.19444444444444445
11,Square,catDog,alexnet,50_50,bing,0.3561668395996094,0.3,0.5868056,0.9305555555555556,0.24305555555555555
12,Square,catDog,resnet,20_80,bing,0.5337070822715759,0.1,0.048442908,0.07142857142857142,0.026845637583892617
13,Square,catDog,resnet,20_80,bing,0.3076256811618805,0.2,0.18685122,0.22857142857142856,0.1476510067114094
14,Square,catDog,resnet,20_80,bing,0.1831907033920288,0.3,0.23183392,0.2642857142857143,0.20134228187919462
15,Square,catDog,resnet,30_70,bing,0.5117178559303284,0.1,0.058419246,0.06338028169014084,0.053691275167785234
16,Square,catDog,resnet,30_70,bing,0.28244855999946594,0.2,0.23367698,0.3028169014084507,0.16778523489932887
17,Square,catDog,resnet,30_70,bing,0.15508203208446503,0.3,0.2611684,0.3380281690140845,0.18791946308724833
18,Square,catDog,resnet,40_60,bing,0.5304310321807861,0.1,0.07167235,0.0821917808219178,0.061224489795918366
19,Square,catDog,resnet,40_60,bing,0.30951836705207825,0.2,0.19112627,0.1780821917808219,0.20408163265306123
20,Square,catDog,resnet,40_60,bing,0.1863197535276413,0.3,0.2764505,0.2808219178082192,0.272108843537415
21,Square,catDog,resnet,50_50,bing,0.5486442446708679,0.1,0.06122449,0.05442176870748299,0.06802721088435375
22,Square,catDog,resnet,50_50,bing,0.3405868709087372,0.2,0.23129252,0.17006802721088435,0.2925170068027211
23,Square,catDog,resnet,50_50,bing,0.2222360074520111,0.3,0.31292516,0.1564625850340136,0.46938775510204084
24,Square,catDog,vgg,20_80,bing,0.5050007700920105,0.1,0.19097222,0.37857142857142856,0.013513513513513514
25,Square,catDog,vgg,20_80,bing,0.29056960344314575,0.2,0.43055555,0.8714285714285714,0.013513513513513514
26,Square,catDog,vgg,20_80,bing,0.17087605595588684,0.3,0.49305555,0.9428571428571428,0.06756756756756757
27,Square,catDog,vgg,30_70,bing,0.5236538052558899,0.1,0.13148789,0.2535211267605634,0.013605442176870748
28,Square,catDog,vgg,30_70,bing,0.32164105772972107,0.2,0.3633218,0.5352112676056338,0.19727891156462585
29,Square,catDog,vgg,30_70,bing,0.2175004631280899,0.3,0.3944637,0.38028169014084506,0.40816326530612246
30,Square,catDog,vgg,40_60,bing,0.5399879813194275,0.1,0.07191781,0.11724137931034483,0.027210884353741496
31,Square,catDog,vgg,40_60,bing,0.34160828590393066,0.2,0.32876712,0.4482758620689655,0.2108843537414966
32,Square,catDog,vgg,40_60,bing,0.24326233565807343,0.3,0.43150684,0.4206896551724138,0.4421768707482993
33,Square,catDog,vgg,50_50,bing,0.5374214053153992,0.1,0.05479452,0.0410958904109589,0.0684931506849315
34,Square,catDog,vgg,50_50,bing,0.3388408422470093,0.2,0.33219177,0.2191780821917808,0.4452054794520548
35,Square,catDog,vgg,50_50,bing,0.2391737401485443,0.3,0.43835616,0.1780821917808219,0.6986301369863014
36,Square,catDog,alexnet,20_80,google,0.49106699228286743,0.1,0.19285715,0.34285714285714286,0.04285714285714286
37,Square,catDog,alexnet,20_80,google,0.2962602376937866,0.2,0.425,0.5928571428571429,0.2571428571428571
38,Square,catDog,alexnet,20_80,google,0.19463348388671875,0.3,0.43571427,0.6214285714285714,0.25
39,Square,catDog,alexnet,30_70,google,0.49552425742149353,0.1,0.17266187,0.2949640287769784,0.050359712230215826
40,Square,catDog,alexnet,30_70,google,0.28715139627456665,0.2,0.41366908,0.6762589928057554,0.1510791366906475
41,Square,catDog,alexnet,30_70,google,0.1835249364376068,0.3,0.47482017,0.8489208633093526,0.10071942446043165
42,Square,catDog,alexnet,40_60,google,0.5519943237304688,0.1,0.14492753,0.2608695652173913,0.028985507246376812
43,Square,catDog,alexnet,40_60,google,0.3747154474258423,0.2,0.35144928,0.5797101449275363,0.12318840579710146
44,Square,catDog,alexnet,40_60,google,0.28197696805000305,0.3,0.5289855,0.9347826086956522,0.12318840579710146
45,Square,catDog,alexnet,50_50,google,0.6098676919937134,0.1,0.107407406,0.18518518518518517,0.02962962962962963
46,Square,catDog,alexnet,50_50,google,0.4607475697994232,0.2,0.3148148,0.45925925925925926,0.17037037037037037
47,Square,catDog,alexnet,50_50,google,0.38054943084716797,0.3,0.4259259,0.8074074074074075,0.044444444444444446
48,Square,catDog,resnet,20_80,google,0.5031740069389343,0.1,0.041666668,0.04861111111111111,0.034722222222222224
49,Square,catDog,resnet,20_80,google,0.272477924823761,0.2,0.2013889,0.2361111111111111,0.16666666666666666
50,Square,catDog,resnet,20_80,google,0.1539832204580307,0.3,0.23958333,0.2361111111111111,0.24305555555555555
51,Square,catDog,resnet,30_70,google,0.4998342990875244,0.1,0.06802721,0.05442176870748299,0.08163265306122448
52,Square,catDog,resnet,30_70,google,0.28370651602745056,0.2,0.27210885,0.10204081632653061,0.4421768707482993
53,Square,catDog,resnet,30_70,google,0.16405612230300903,0.3,0.4489796,0.17687074829931973,0.7210884353741497
54,Square,catDog,resnet,40_60,google,0.5046484470367432,0.1,0.051020406,0.047619047619047616,0.05442176870748299
55,Square,catDog,resnet,40_60,google,0.2885752320289612,0.2,0.20068027,0.1292517006802721,0.272108843537415
56,Square,catDog,resnet,40_60,google,0.17374609410762787,0.3,0.39115646,0.2925170068027211,0.4897959183673469
57,Square,catDog,resnet,50_50,google,0.5274480581283569,0.1,0.08561644,0.06164383561643835,0.1095890410958904
58,Square,catDog,resnet,50_50,google,0.33608049154281616,0.2,0.27739725,0.0684931506849315,0.4863013698630137
59,Square,catDog,resnet,50_50,google,0.22170187532901764,0.3,0.44520548,0.1643835616438356,0.726027397260274
60,Square,catDog,vgg,20_80,google,0.48036444187164307,0.1,0.05479452,0.08904109589041095,0.02054794520547945
61,Square,catDog,vgg,20_80,google,0.27324309945106506,0.2,0.23630136,0.3493150684931507,0.1232876712328767
62,Square,catDog,vgg,20_80,google,0.1698693484067917,0.3,0.29452056,0.3904109589041096,0.19863013698630136
