,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,TIFGSM,catDog,alexnet,20_80,bing,0.7398956418037415,0.05,0.7366548,0.8888888888888888,0.5958904109589042
1,TIFGSM,catDog,alexnet,20_80,bing,0.7157600522041321,0.1,0.8469751,0.9185185185185185,0.7808219178082192
2,TIFGSM,catDog,alexnet,20_80,bing,0.7157574892044067,0.15,0.8469751,0.9185185185185185,0.7808219178082192
3,TIFGSM,catDog,alexnet,20_80,bing,0.7157507538795471,0.2,0.8469751,0.9185185185185185,0.7808219178082192
4,TIFGSM,catDog,alexnet,20_80,bing,0.7157667279243469,0.25,0.8469751,0.9185185185185185,0.7808219178082192
5,TIFGSM,catDog,alexnet,20_80,bing,0.71575528383255,0.3,0.8469751,0.9185185185185185,0.7808219178082192
6,TIFGSM,catDog,alexnet,30_70,bing,0.7350612282752991,0.05,0.7640845,0.8235294117647058,0.7094594594594594
7,TIFGSM,catDog,alexnet,30_70,bing,0.7091560363769531,0.1,0.8485915,0.8823529411764706,0.8175675675675675
8,TIFGSM,catDog,alexnet,30_70,bing,0.7091711163520813,0.15,0.8485915,0.8823529411764706,0.8175675675675675
9,TIFGSM,catDog,alexnet,30_70,bing,0.7091403603553772,0.2,0.8485915,0.8823529411764706,0.8175675675675675
10,TIFGSM,catDog,alexnet,30_70,bing,0.7091439366340637,0.25,0.8485915,0.8823529411764706,0.8175675675675675
11,TIFGSM,catDog,alexnet,30_70,bing,0.7091419696807861,0.3,0.8485915,0.8823529411764706,0.8175675675675675
12,TIFGSM,catDog,alexnet,40_60,bing,0.7373776435852051,0.05,0.7746479,0.7913669064748201,0.7586206896551724
13,TIFGSM,catDog,alexnet,40_60,bing,0.7122010588645935,0.1,0.89084506,0.8920863309352518,0.8896551724137931
14,TIFGSM,catDog,alexnet,40_60,bing,0.7122191786766052,0.15,0.89084506,0.8920863309352518,0.8896551724137931
15,TIFGSM,catDog,alexnet,40_60,bing,0.7122131586074829,0.2,0.89084506,0.8920863309352518,0.8896551724137931
16,TIFGSM,catDog,alexnet,40_60,bing,0.7122204899787903,0.25,0.89084506,0.8920863309352518,0.8896551724137931
17,TIFGSM,catDog,alexnet,40_60,bing,0.7122143507003784,0.3,0.89084506,0.8920863309352518,0.8896551724137931
18,TIFGSM,catDog,alexnet,50_50,bing,0.7365880012512207,0.05,0.8263889,0.8125,0.8402777777777778
19,TIFGSM,catDog,alexnet,50_50,bing,0.7106654644012451,0.1,0.90625,0.8680555555555556,0.9444444444444444
20,TIFGSM,catDog,alexnet,50_50,bing,0.7106630206108093,0.15,0.90625,0.8680555555555556,0.9444444444444444
21,TIFGSM,catDog,alexnet,50_50,bing,0.7106689810752869,0.2,0.90625,0.8680555555555556,0.9444444444444444
22,TIFGSM,catDog,alexnet,50_50,bing,0.7106550931930542,0.25,0.90625,0.8680555555555556,0.9444444444444444
23,TIFGSM,catDog,alexnet,50_50,bing,0.7106583118438721,0.3,0.90625,0.8680555555555556,0.9444444444444444
24,TIFGSM,catDog,resnet,20_80,bing,0.7537606358528137,0.05,0.64705884,0.75,0.5503355704697986
25,TIFGSM,catDog,resnet,20_80,bing,0.7364045977592468,0.1,0.698962,0.8142857142857143,0.5906040268456376
26,TIFGSM,catDog,resnet,20_80,bing,0.7364045977592468,0.15,0.698962,0.8142857142857143,0.5906040268456376
27,TIFGSM,catDog,resnet,20_80,bing,0.7364057898521423,0.2,0.698962,0.8142857142857143,0.5906040268456376
28,TIFGSM,catDog,resnet,20_80,bing,0.7364051342010498,0.25,0.698962,0.8142857142857143,0.5906040268456376
29,TIFGSM,catDog,resnet,20_80,bing,0.7364045977592468,0.3,0.698962,0.8142857142857143,0.5906040268456376
30,TIFGSM,catDog,resnet,30_70,bing,0.7548016309738159,0.05,0.5910653,0.676056338028169,0.5100671140939598
31,TIFGSM,catDog,resnet,30_70,bing,0.738029956817627,0.1,0.67697597,0.7746478873239436,0.5838926174496645
32,TIFGSM,catDog,resnet,30_70,bing,0.738029956817627,0.15,0.67697597,0.7746478873239436,0.5838926174496645
33,TIFGSM,catDog,resnet,30_70,bing,0.7380236387252808,0.2,0.67697597,0.7746478873239436,0.5838926174496645
34,TIFGSM,catDog,resnet,30_70,bing,0.738029956817627,0.25,0.67697597,0.7746478873239436,0.5838926174496645
35,TIFGSM,catDog,resnet,30_70,bing,0.7380374073982239,0.3,0.67697597,0.7746478873239436,0.5838926174496645
36,TIFGSM,catDog,resnet,40_60,bing,0.7539281845092773,0.05,0.5870307,0.5616438356164384,0.6122448979591837
37,TIFGSM,catDog,resnet,40_60,bing,0.7364799380302429,0.1,0.7406143,0.7054794520547946,0.7755102040816326
38,TIFGSM,catDog,resnet,40_60,bing,0.7364837527275085,0.15,0.7406143,0.7054794520547946,0.7755102040816326
39,TIFGSM,catDog,resnet,40_60,bing,0.7364794015884399,0.2,0.7406143,0.7054794520547946,0.7755102040816326
40,TIFGSM,catDog,resnet,40_60,bing,0.7364792823791504,0.25,0.7406143,0.7054794520547946,0.7755102040816326
41,TIFGSM,catDog,resnet,40_60,bing,0.7364833950996399,0.3,0.7406143,0.7054794520547946,0.7755102040816326
42,TIFGSM,catDog,resnet,50_50,bing,0.7540730237960815,0.05,0.585034,0.42857142857142855,0.7414965986394558
43,TIFGSM,catDog,resnet,50_50,bing,0.7369060516357422,0.1,0.68707484,0.5510204081632653,0.8231292517006803
44,TIFGSM,catDog,resnet,50_50,bing,0.7369082570075989,0.15,0.68707484,0.5510204081632653,0.8231292517006803
45,TIFGSM,catDog,resnet,50_50,bing,0.7369084358215332,0.2,0.68707484,0.5510204081632653,0.8231292517006803
46,TIFGSM,catDog,resnet,50_50,bing,0.7369084358215332,0.25,0.68707484,0.5510204081632653,0.8231292517006803
47,TIFGSM,catDog,resnet,50_50,bing,0.7369060516357422,0.3,0.68707484,0.5510204081632653,0.8231292517006803
48,TIFGSM,catDog,vgg,20_80,bing,0.7433111071586609,0.05,0.7638889,0.85,0.6824324324324325
49,TIFGSM,catDog,vgg,20_80,bing,0.7229229807853699,0.1,0.8333333,0.9071428571428571,0.7635135135135135
50,TIFGSM,catDog,vgg,20_80,bing,0.7230959534645081,0.15,0.8472222,0.9214285714285714,0.777027027027027
51,TIFGSM,catDog,vgg,20_80,bing,0.7228567004203796,0.2,0.8229167,0.9071428571428571,0.7432432432432432
52,TIFGSM,catDog,vgg,20_80,bing,0.722946286201477,0.25,0.8402778,0.9071428571428571,0.777027027027027
53,TIFGSM,catDog,vgg,20_80,bing,0.7229070067405701,0.3,0.8298611,0.9071428571428571,0.7567567567567568
54,TIFGSM,catDog,vgg,30_70,bing,0.7461822628974915,0.05,0.7647059,0.8380281690140845,0.6938775510204082
55,TIFGSM,catDog,vgg,30_70,bing,0.726870059967041,0.1,0.8442907,0.8732394366197183,0.8163265306122449
56,TIFGSM,catDog,vgg,30_70,bing,0.7268308401107788,0.15,0.8442907,0.8802816901408451,0.8095238095238095
57,TIFGSM,catDog,vgg,30_70,bing,0.7268181443214417,0.2,0.8442907,0.8943661971830986,0.7959183673469388
58,TIFGSM,catDog,vgg,30_70,bing,0.7269942164421082,0.25,0.8408305,0.8732394366197183,0.8095238095238095
59,TIFGSM,catDog,vgg,30_70,bing,0.726893424987793,0.3,0.8442907,0.8802816901408451,0.8095238095238095
60,TIFGSM,catDog,vgg,40_60,bing,0.7443966865539551,0.05,0.74657536,0.7448275862068966,0.7482993197278912
61,TIFGSM,catDog,vgg,40_60,bing,0.7243523597717285,0.1,0.84246576,0.8551724137931035,0.8299319727891157
62,TIFGSM,catDog,vgg,40_60,bing,0.7240907549858093,0.15,0.84246576,0.8551724137931035,0.8299319727891157
