,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BIM,manWoman,alexnet,20_80,bing,0.743089497089386,0.05,0.5736434,0.5,0.6319444444444444
1,BIM,manWoman,alexnet,20_80,bing,0.7188896536827087,0.1,0.6821705,0.6754385964912281,0.6875
2,BIM,manWoman,alexnet,20_80,bing,0.7188852429389954,0.15,0.6821705,0.6754385964912281,0.6875
3,BIM,manWoman,alexnet,20_80,bing,0.7188930511474609,0.2,0.6821705,0.6754385964912281,0.6875
4,BIM,manWoman,alexnet,20_80,bing,0.7188993692398071,0.25,0.6821705,0.6754385964912281,0.6875
5,BIM,manWoman,alexnet,20_80,bing,0.7188973426818848,0.3,0.6821705,0.6754385964912281,0.6875
6,BIM,manWoman,alexnet,30_70,bing,0.7430106997489929,0.05,0.48679245,0.5403225806451613,0.4397163120567376
7,BIM,manWoman,alexnet,30_70,bing,0.7197515964508057,0.1,0.5924528,0.7016129032258065,0.49645390070921985
8,BIM,manWoman,alexnet,30_70,bing,0.7197525501251221,0.15,0.5924528,0.7016129032258065,0.49645390070921985
9,BIM,manWoman,alexnet,30_70,bing,0.7197525501251221,0.2,0.5924528,0.7016129032258065,0.49645390070921985
10,BIM,manWoman,alexnet,30_70,bing,0.7197591662406921,0.25,0.5924528,0.7016129032258065,0.49645390070921985
11,BIM,manWoman,alexnet,30_70,bing,0.7197386026382446,0.3,0.5924528,0.7016129032258065,0.49645390070921985
12,BIM,manWoman,alexnet,40_60,bing,0.7410368919372559,0.05,0.4746377,0.45652173913043476,0.4927536231884058
13,BIM,manWoman,alexnet,40_60,bing,0.7171393036842346,0.1,0.62318844,0.6304347826086957,0.6159420289855072
14,BIM,manWoman,alexnet,40_60,bing,0.7171459197998047,0.15,0.62318844,0.6304347826086957,0.6159420289855072
15,BIM,manWoman,alexnet,40_60,bing,0.717136561870575,0.2,0.62318844,0.6304347826086957,0.6159420289855072
16,BIM,manWoman,alexnet,40_60,bing,0.7171382904052734,0.25,0.62318844,0.6304347826086957,0.6159420289855072
17,BIM,manWoman,alexnet,40_60,bing,0.7171472907066345,0.3,0.62318844,0.6304347826086957,0.6159420289855072
18,BIM,manWoman,alexnet,50_50,bing,0.7360032796859741,0.05,0.5147059,0.4316546762589928,0.6015037593984962
19,BIM,manWoman,alexnet,50_50,bing,0.7102590203285217,0.1,0.65808827,0.60431654676259,0.7142857142857143
20,BIM,manWoman,alexnet,50_50,bing,0.7102627158164978,0.15,0.65808827,0.60431654676259,0.7142857142857143
21,BIM,manWoman,alexnet,50_50,bing,0.7102398872375488,0.2,0.65808827,0.60431654676259,0.7142857142857143
22,BIM,manWoman,alexnet,50_50,bing,0.7102407813072205,0.25,0.65808827,0.60431654676259,0.7142857142857143
23,BIM,manWoman,alexnet,50_50,bing,0.7102559804916382,0.3,0.65808827,0.60431654676259,0.7142857142857143
24,BIM,manWoman,resnet,20_80,bing,0.7868364453315735,0.05,0.4801444,0.3409090909090909,0.6068965517241379
25,BIM,manWoman,resnet,20_80,bing,0.7761641144752502,0.1,0.5090253,0.3787878787878788,0.6275862068965518
26,BIM,manWoman,resnet,20_80,bing,0.7761641144752502,0.15,0.5090253,0.3787878787878788,0.6275862068965518
27,BIM,manWoman,resnet,20_80,bing,0.7761641144752502,0.2,0.5090253,0.3787878787878788,0.6275862068965518
28,BIM,manWoman,resnet,20_80,bing,0.7761641144752502,0.25,0.5090253,0.3787878787878788,0.6275862068965518
29,BIM,manWoman,resnet,20_80,bing,0.7761641144752502,0.3,0.5090253,0.3787878787878788,0.6275862068965518
30,BIM,manWoman,resnet,30_70,bing,0.7896103858947754,0.05,0.5104895,0.3546099290780142,0.6620689655172414
31,BIM,manWoman,resnet,30_70,bing,0.7793079018592834,0.1,0.555944,0.3900709219858156,0.7172413793103448
32,BIM,manWoman,resnet,30_70,bing,0.7793079018592834,0.15,0.555944,0.3900709219858156,0.7172413793103448
33,BIM,manWoman,resnet,30_70,bing,0.7793079018592834,0.2,0.555944,0.3900709219858156,0.7172413793103448
34,BIM,manWoman,resnet,30_70,bing,0.7793079018592834,0.25,0.555944,0.3900709219858156,0.7172413793103448
35,BIM,manWoman,resnet,30_70,bing,0.7793079018592834,0.3,0.555944,0.3900709219858156,0.7172413793103448
36,BIM,manWoman,resnet,40_60,bing,0.787527859210968,0.05,0.49295774,0.36363636363636365,0.624113475177305
37,BIM,manWoman,resnet,40_60,bing,0.7769046425819397,0.1,0.5492958,0.40559440559440557,0.6950354609929078
38,BIM,manWoman,resnet,40_60,bing,0.7769046425819397,0.15,0.5492958,0.40559440559440557,0.6950354609929078
39,BIM,manWoman,resnet,40_60,bing,0.7769046425819397,0.2,0.5492958,0.40559440559440557,0.6950354609929078
40,BIM,manWoman,resnet,40_60,bing,0.7769046425819397,0.25,0.5492958,0.40559440559440557,0.6950354609929078
41,BIM,manWoman,resnet,40_60,bing,0.7769046425819397,0.3,0.5492958,0.40559440559440557,0.6950354609929078
42,BIM,manWoman,resnet,50_50,bing,0.7892663478851318,0.05,0.5069445,0.21232876712328766,0.8098591549295775
43,BIM,manWoman,resnet,50_50,bing,0.7788663506507874,0.1,0.5763889,0.2876712328767123,0.8732394366197183
44,BIM,manWoman,resnet,50_50,bing,0.7788663506507874,0.15,0.5763889,0.2876712328767123,0.8732394366197183
45,BIM,manWoman,resnet,50_50,bing,0.7788663506507874,0.2,0.5763889,0.2876712328767123,0.8732394366197183
46,BIM,manWoman,resnet,50_50,bing,0.7788663506507874,0.25,0.5763889,0.2876712328767123,0.8732394366197183
47,BIM,manWoman,resnet,50_50,bing,0.7788663506507874,0.3,0.5763889,0.2876712328767123,0.8732394366197183
48,BIM,manWoman,vgg,20_80,bing,0.7979503870010376,0.05,0.7978339,0.7293233082706767,0.8611111111111112
