,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BoxBlur,manWoman,alexnet,20_80,bing,0.9328413605690002,1,0.0503876,0.03508771929824561,0.0625
1,BoxBlur,manWoman,alexnet,20_80,bing,0.8133009076118469,2,0.058139533,0.02631578947368421,0.08333333333333333
2,BoxBlur,manWoman,alexnet,20_80,bing,0.6926887631416321,3,0.10465116,0.07894736842105263,0.125
3,BoxBlur,manWoman,alexnet,20_80,bing,0.596928596496582,4,0.15891473,0.20175438596491227,0.125
4,BoxBlur,manWoman,alexnet,20_80,bing,0.5231133103370667,5,0.2015504,0.2807017543859649,0.1388888888888889
5,BoxBlur,manWoman,alexnet,20_80,bing,0.4670884609222412,6,0.2364341,0.3508771929824561,0.14583333333333334
6,BoxBlur,manWoman,alexnet,20_80,bing,0.423379510641098,7,0.25581396,0.42105263157894735,0.125
7,BoxBlur,manWoman,alexnet,20_80,bing,0.3885119557380676,8,0.27906978,0.49122807017543857,0.1111111111111111
8,BoxBlur,manWoman,alexnet,20_80,bing,0.36042314767837524,9,0.31782946,0.5789473684210527,0.1111111111111111
9,BoxBlur,manWoman,alexnet,20_80,bing,0.33706602454185486,10,0.32945737,0.6228070175438597,0.09722222222222222
10,BoxBlur,manWoman,alexnet,30_70,bing,0.9328413605690002,1,0.026415095,0.0,0.04964539007092199
11,BoxBlur,manWoman,alexnet,30_70,bing,0.8133009076118469,2,0.05283019,0.03225806451612903,0.07092198581560284
12,BoxBlur,manWoman,alexnet,30_70,bing,0.6926887631416321,3,0.0754717,0.04032258064516129,0.10638297872340426
13,BoxBlur,manWoman,alexnet,30_70,bing,0.596928596496582,4,0.10566038,0.08064516129032258,0.1276595744680851
14,BoxBlur,manWoman,alexnet,30_70,bing,0.5231133103370667,5,0.12075472,0.11290322580645161,0.1276595744680851
15,BoxBlur,manWoman,alexnet,30_70,bing,0.4670884609222412,6,0.1773585,0.1693548387096774,0.18439716312056736
16,BoxBlur,manWoman,alexnet,30_70,bing,0.423379510641098,7,0.23773585,0.23387096774193547,0.24113475177304963
17,BoxBlur,manWoman,alexnet,30_70,bing,0.3885119557380676,8,0.26415095,0.2661290322580645,0.2624113475177305
18,BoxBlur,manWoman,alexnet,30_70,bing,0.36042314767837524,9,0.24528302,0.24193548387096775,0.24822695035460993
19,BoxBlur,manWoman,alexnet,30_70,bing,0.33706602454185486,10,0.2754717,0.3064516129032258,0.24822695035460993
20,BoxBlur,manWoman,alexnet,40_60,bing,0.9328413605690002,1,0.018115941,0.021739130434782608,0.014492753623188406
21,BoxBlur,manWoman,alexnet,40_60,bing,0.8133009076118469,2,0.05072464,0.043478260869565216,0.057971014492753624
22,BoxBlur,manWoman,alexnet,40_60,bing,0.6926887631416321,3,0.083333336,0.043478260869565216,0.12318840579710146
23,BoxBlur,manWoman,alexnet,40_60,bing,0.596928596496582,4,0.11956522,0.07246376811594203,0.16666666666666666
24,BoxBlur,manWoman,alexnet,40_60,bing,0.5231133103370667,5,0.1594203,0.11594202898550725,0.2028985507246377
25,BoxBlur,manWoman,alexnet,40_60,bing,0.4670884609222412,6,0.1884058,0.13768115942028986,0.2391304347826087
26,BoxBlur,manWoman,alexnet,40_60,bing,0.423379510641098,7,0.22463769,0.15942028985507245,0.2898550724637681
27,BoxBlur,manWoman,alexnet,40_60,bing,0.3885119557380676,8,0.2789855,0.2536231884057971,0.30434782608695654
28,BoxBlur,manWoman,alexnet,40_60,bing,0.36042314767837524,9,0.30797103,0.2971014492753623,0.3188405797101449
29,BoxBlur,manWoman,alexnet,40_60,bing,0.33706602454185486,10,0.3188406,0.35507246376811596,0.2826086956521739
