,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,DeepFool,manWoman,alexnet,20_80,bing,0.907950222492218,10,0.17829457,0.03508771929824561,0.2916666666666667
1,DeepFool,manWoman,alexnet,20_80,bing,0.8003770709037781,20,0.10465116,0.03508771929824561,0.1597222222222222
2,DeepFool,manWoman,alexnet,20_80,bing,0.7154366970062256,30,0.0503876,0.03508771929824561,0.0625
3,DeepFool,manWoman,alexnet,20_80,bing,0.6573794484138489,40,0.034883723,0.043859649122807015,0.027777777777777776
4,DeepFool,manWoman,alexnet,20_80,bing,0.6163511276245117,50,0.031007752,0.05263157894736842,0.013888888888888888
5,DeepFool,manWoman,alexnet,20_80,bing,0.5882206559181213,60,0.034883723,0.06140350877192982,0.013888888888888888
6,DeepFool,manWoman,alexnet,20_80,bing,0.5684077739715576,70,0.034883723,0.07017543859649122,0.006944444444444444
7,DeepFool,manWoman,alexnet,20_80,bing,0.5532062649726868,80,0.042635657,0.07017543859649122,0.020833333333333332
8,DeepFool,manWoman,alexnet,20_80,bing,0.5435709953308105,90,0.03875969,0.07017543859649122,0.013888888888888888
9,DeepFool,manWoman,alexnet,20_80,bing,0.5355658531188965,100,0.034883723,0.07017543859649122,0.006944444444444444
10,DeepFool,manWoman,alexnet,30_70,bing,0.9451830983161926,10,0.0754717,0.03225806451612903,0.11347517730496454
11,DeepFool,manWoman,alexnet,30_70,bing,0.8808982372283936,20,0.09811321,0.056451612903225805,0.1347517730496454
12,DeepFool,manWoman,alexnet,30_70,bing,0.8193052411079407,30,0.09811321,0.0967741935483871,0.09929078014184398
13,DeepFool,manWoman,alexnet,30_70,bing,0.7651277184486389,40,0.09811321,0.11290322580645161,0.0851063829787234
14,DeepFool,manWoman,alexnet,30_70,bing,0.7216805815696716,50,0.08301887,0.12096774193548387,0.04964539007092199
15,DeepFool,manWoman,alexnet,30_70,bing,0.6871575117111206,60,0.094339624,0.1532258064516129,0.0425531914893617
16,DeepFool,manWoman,alexnet,30_70,bing,0.6593924760818481,70,0.101886794,0.16129032258064516,0.04964539007092199
17,DeepFool,manWoman,alexnet,30_70,bing,0.6362075209617615,80,0.094339624,0.16129032258064516,0.03546099290780142
18,DeepFool,manWoman,alexnet,30_70,bing,0.6161720752716064,90,0.094339624,0.1693548387096774,0.028368794326241134
19,DeepFool,manWoman,alexnet,30_70,bing,0.5998051166534424,100,0.086792454,0.1693548387096774,0.014184397163120567
20,DeepFool,manWoman,alexnet,40_60,bing,0.944194495677948,10,0.08695652,0.050724637681159424,0.12318840579710146
21,DeepFool,manWoman,alexnet,40_60,bing,0.8778550028800964,20,0.11956522,0.050724637681159424,0.18840579710144928
22,DeepFool,manWoman,alexnet,40_60,bing,0.8151265382766724,30,0.13043478,0.08695652173913043,0.17391304347826086
23,DeepFool,manWoman,alexnet,40_60,bing,0.7609054446220398,40,0.108695656,0.13043478260869565,0.08695652173913043
24,DeepFool,manWoman,alexnet,40_60,bing,0.7154409289360046,50,0.13768116,0.18115942028985507,0.09420289855072464
25,DeepFool,manWoman,alexnet,40_60,bing,0.6769979596138,60,0.11956522,0.18840579710144928,0.050724637681159424
26,DeepFool,manWoman,alexnet,40_60,bing,0.6475259065628052,70,0.11594203,0.18840579710144928,0.043478260869565216
27,DeepFool,manWoman,alexnet,40_60,bing,0.6208875775337219,80,0.1268116,0.1956521739130435,0.057971014492753624
28,DeepFool,manWoman,alexnet,40_60,bing,0.5984793901443481,90,0.13405797,0.2246376811594203,0.043478260869565216
29,DeepFool,manWoman,alexnet,40_60,bing,0.5805376768112183,100,0.13043478,0.2318840579710145,0.028985507246376812
30,DeepFool,manWoman,alexnet,50_50,bing,0.9578806161880493,10,0.06985294,0.014388489208633094,0.12781954887218044
31,DeepFool,manWoman,alexnet,50_50,bing,0.9110956788063049,20,0.106617644,0.04316546762589928,0.17293233082706766
32,DeepFool,manWoman,alexnet,50_50,bing,0.8662132620811462,30,0.15073529,0.1223021582733813,0.18045112781954886
33,DeepFool,manWoman,alexnet,50_50,bing,0.8262591361999512,40,0.15808824,0.17985611510791366,0.13533834586466165
34,DeepFool,manWoman,alexnet,50_50,bing,0.7914735674858093,50,0.15441176,0.2014388489208633,0.10526315789473684
35,DeepFool,manWoman,alexnet,50_50,bing,0.7614836692810059,60,0.15073529,0.2158273381294964,0.08270676691729323
36,DeepFool,manWoman,alexnet,50_50,bing,0.7354772686958313,70,0.17279412,0.26618705035971224,0.07518796992481203
37,DeepFool,manWoman,alexnet,50_50,bing,0.7125492691993713,80,0.20588236,0.33093525179856115,0.07518796992481203
38,DeepFool,manWoman,alexnet,50_50,bing,0.692175030708313,90,0.21691176,0.3597122302158273,0.06766917293233082
39,DeepFool,manWoman,alexnet,50_50,bing,0.6736770868301392,100,0.21323529,0.3597122302158273,0.06015037593984962
40,DeepFool,manWoman,resnet,20_80,bing,0.9428874850273132,10,0.09386282,0.05303030303030303,0.1310344827586207
41,DeepFool,manWoman,resnet,20_80,bing,0.8822766542434692,20,0.1768953,0.05303030303030303,0.2896551724137931
42,DeepFool,manWoman,resnet,20_80,bing,0.8286620378494263,30,0.18772563,0.05303030303030303,0.3103448275862069
43,DeepFool,manWoman,resnet,20_80,bing,0.78364098072052,40,0.19855596,0.05303030303030303,0.3310344827586207
44,DeepFool,manWoman,resnet,20_80,bing,0.7456308603286743,50,0.20577617,0.05303030303030303,0.3448275862068966
45,DeepFool,manWoman,resnet,20_80,bing,0.7138106822967529,60,0.19855596,0.05303030303030303,0.3310344827586207
46,DeepFool,manWoman,resnet,20_80,bing,0.6859986782073975,70,0.2129964,0.06060606060606061,0.35172413793103446
47,DeepFool,manWoman,resnet,20_80,bing,0.6613710522651672,80,0.20577617,0.06060606060606061,0.33793103448275863
48,DeepFool,manWoman,resnet,20_80,bing,0.6391823887825012,90,0.19133574,0.06060606060606061,0.3103448275862069
49,DeepFool,manWoman,resnet,20_80,bing,0.6194433569908142,100,0.18050541,0.06060606060606061,0.2896551724137931
50,DeepFool,manWoman,resnet,30_70,bing,0.9489471316337585,10,0.13286713,0.03546099290780142,0.22758620689655173
51,DeepFool,manWoman,resnet,30_70,bing,0.8928435444831848,20,0.21328671,0.03546099290780142,0.38620689655172413
52,DeepFool,manWoman,resnet,30_70,bing,0.8408188819885254,30,0.24475524,0.03546099290780142,0.4482758620689655
53,DeepFool,manWoman,resnet,30_70,bing,0.7958656549453735,40,0.21678321,0.03546099290780142,0.3931034482758621
54,DeepFool,manWoman,resnet,30_70,bing,0.7570406794548035,50,0.2097902,0.03546099290780142,0.3793103448275862
55,DeepFool,manWoman,resnet,30_70,bing,0.7232049107551575,60,0.17482518,0.04964539007092199,0.296551724137931
56,DeepFool,manWoman,resnet,30_70,bing,0.6937808990478516,70,0.21328671,0.04964539007092199,0.3724137931034483
57,DeepFool,manWoman,resnet,30_70,bing,0.6679083108901978,80,0.1923077,0.04964539007092199,0.3310344827586207
58,DeepFool,manWoman,resnet,30_70,bing,0.6435423493385315,90,0.18181819,0.04964539007092199,0.3103448275862069
59,DeepFool,manWoman,resnet,30_70,bing,0.6220557689666748,100,0.16783217,0.04964539007092199,0.2827586206896552
60,DeepFool,manWoman,resnet,40_60,bing,0.9594457745552063,10,0.119718306,0.027972027972027972,0.2127659574468085
61,DeepFool,manWoman,resnet,40_60,bing,0.9150899648666382,20,0.21830985,0.027972027972027972,0.41134751773049644
62,DeepFool,manWoman,resnet,40_60,bing,0.8736364245414734,30,0.20070422,0.027972027972027972,0.375886524822695
63,DeepFool,manWoman,resnet,40_60,bing,0.8375391960144043,40,0.20422535,0.04895104895104895,0.3617021276595745
64,DeepFool,manWoman,resnet,40_60,bing,0.8059132099151611,50,0.20774648,0.055944055944055944,0.3617021276595745
65,DeepFool,manWoman,resnet,40_60,bing,0.7781298160552979,60,0.20774648,0.04895104895104895,0.36879432624113473
66,DeepFool,manWoman,resnet,40_60,bing,0.7538836002349854,70,0.1971831,0.055944055944055944,0.3404255319148936
67,DeepFool,manWoman,resnet,40_60,bing,0.7322382926940918,80,0.19366197,0.06293706293706294,0.3262411347517731
68,DeepFool,manWoman,resnet,40_60,bing,0.7128467559814453,90,0.17957745,0.06293706293706294,0.2978723404255319
69,DeepFool,manWoman,resnet,40_60,bing,0.6952357292175293,100,0.17605634,0.06993006993006994,0.28368794326241137
70,DeepFool,manWoman,resnet,50_50,bing,0.9694790840148926,10,0.15277778,0.0136986301369863,0.29577464788732394
71,DeepFool,manWoman,resnet,50_50,bing,0.9363910555839539,20,0.2777778,0.0136986301369863,0.5492957746478874
72,DeepFool,manWoman,resnet,50_50,bing,0.902335524559021,30,0.30208334,0.03424657534246575,0.5774647887323944
73,DeepFool,manWoman,resnet,50_50,bing,0.8704829216003418,40,0.30208334,0.04794520547945205,0.5633802816901409
74,DeepFool,manWoman,resnet,50_50,bing,0.8415330052375793,50,0.28819445,0.0547945205479452,0.528169014084507
75,DeepFool,manWoman,resnet,50_50,bing,0.815224826335907,60,0.27430555,0.0958904109589041,0.45774647887323944
76,DeepFool,manWoman,resnet,50_50,bing,0.7912691235542297,70,0.27430555,0.1095890410958904,0.44366197183098594
77,DeepFool,manWoman,resnet,50_50,bing,0.769679844379425,80,0.2638889,0.11643835616438356,0.4154929577464789
78,DeepFool,manWoman,resnet,50_50,bing,0.7499052882194519,90,0.25347224,0.1232876712328767,0.3873239436619718
79,DeepFool,manWoman,resnet,50_50,bing,0.7315309643745422,100,0.25694445,0.14383561643835616,0.3732394366197183
80,DeepFool,manWoman,vgg,20_80,bing,0.9633450508117676,10,0.14801444,0.015037593984962405,0.2708333333333333
81,DeepFool,manWoman,vgg,20_80,bing,0.921425998210907,20,0.33212996,0.015037593984962405,0.625
82,DeepFool,manWoman,vgg,20_80,bing,0.8811023235321045,30,0.36462092,0.015037593984962405,0.6875
83,DeepFool,manWoman,vgg,20_80,bing,0.8448514342308044,40,0.38267148,0.022556390977443608,0.7152777777777778
84,DeepFool,manWoman,vgg,20_80,bing,0.8117011189460754,50,0.41516244,0.03007518796992481,0.7708333333333334
85,DeepFool,manWoman,vgg,20_80,bing,0.7808446288108826,60,0.40794224,0.03007518796992481,0.7569444444444444
86,DeepFool,manWoman,vgg,20_80,bing,0.7513142228126526,70,0.39711192,0.03759398496240601,0.7291666666666666
87,DeepFool,manWoman,vgg,20_80,bing,0.7237802743911743,80,0.3465704,0.03759398496240601,0.6319444444444444
88,DeepFool,manWoman,vgg,20_80,bing,0.6983885169029236,90,0.32129964,0.03759398496240601,0.5833333333333334
89,DeepFool,manWoman,vgg,20_80,bing,0.6747000217437744,100,0.26714802,0.03759398496240601,0.4791666666666667
90,DeepFool,manWoman,vgg,30_70,bing,0.9641370177268982,10,0.19133574,0.007407407407407408,0.36619718309859156
91,DeepFool,manWoman,vgg,30_70,bing,0.9238566160202026,20,0.3465704,0.007407407407407408,0.6690140845070423
92,DeepFool,manWoman,vgg,30_70,bing,0.8858171701431274,30,0.37906137,0.007407407407407408,0.7323943661971831
93,DeepFool,manWoman,vgg,30_70,bing,0.8515607118606567,40,0.41877255,0.007407407407407408,0.8098591549295775
94,DeepFool,manWoman,vgg,30_70,bing,0.8204751014709473,50,0.41877255,0.014814814814814815,0.8028169014084507
95,DeepFool,manWoman,vgg,30_70,bing,0.7917947173118591,60,0.41516244,0.014814814814814815,0.795774647887324
96,DeepFool,manWoman,vgg,30_70,bing,0.7647178173065186,70,0.41155234,0.014814814814814815,0.7887323943661971
97,DeepFool,manWoman,vgg,30_70,bing,0.7394624948501587,80,0.38989168,0.022222222222222223,0.7394366197183099
98,DeepFool,manWoman,vgg,30_70,bing,0.7156885266304016,90,0.36823106,0.02962962962962963,0.6901408450704225
99,DeepFool,manWoman,vgg,30_70,bing,0.6933058500289917,100,0.32851985,0.02962962962962963,0.6126760563380281
100,DeepFool,manWoman,vgg,40_60,bing,0.9691280722618103,10,0.18021202,0.02097902097902098,0.34285714285714286
101,DeepFool,manWoman,vgg,40_60,bing,0.9345102906227112,20,0.32508835,0.02097902097902098,0.6357142857142857
102,DeepFool,manWoman,vgg,40_60,bing,0.9006404876708984,30,0.38162544,0.02097902097902098,0.75
103,DeepFool,manWoman,vgg,40_60,bing,0.8699234127998352,40,0.3992933,0.027972027972027972,0.7785714285714286
104,DeepFool,manWoman,vgg,40_60,bing,0.8423536419868469,50,0.41696113,0.03496503496503497,0.8071428571428572
105,DeepFool,manWoman,vgg,40_60,bing,0.8176229596138,60,0.42756185,0.04195804195804196,0.8214285714285714
106,DeepFool,manWoman,vgg,40_60,bing,0.7947210669517517,70,0.43816254,0.04195804195804196,0.8428571428571429
107,DeepFool,manWoman,vgg,40_60,bing,0.7735645771026611,80,0.4204947,0.04195804195804196,0.8071428571428572
108,DeepFool,manWoman,vgg,40_60,bing,0.7536142468452454,90,0.42756185,0.04195804195804196,0.8214285714285714
109,DeepFool,manWoman,vgg,40_60,bing,0.7347651124000549,100,0.41696113,0.04195804195804196,0.8
110,DeepFool,manWoman,vgg,50_50,bing,0.9759474396705627,10,0.15140845,0.013986013986013986,0.2907801418439716
111,DeepFool,manWoman,vgg,50_50,bing,0.9510330557823181,20,0.33802816,0.013986013986013986,0.6666666666666666
112,DeepFool,manWoman,vgg,50_50,bing,0.9240100383758545,30,0.40492958,0.03496503496503497,0.7801418439716312
