,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,FGSM,manWoman,alexnet,20_80,bing,0.5838335156440735,0.05,0.48062015,0.49122807017543857,0.4722222222222222
1,FGSM,manWoman,alexnet,20_80,bing,0.3618384003639221,0.1,0.5387597,0.9035087719298246,0.25
2,FGSM,manWoman,alexnet,20_80,bing,0.2412910759449005,0.15,0.4379845,0.9824561403508771,0.006944444444444444
3,FGSM,manWoman,alexnet,20_80,bing,0.17078933119773865,0.2,0.44186047,1.0,0.0
4,FGSM,manWoman,alexnet,20_80,bing,0.12484338134527206,0.25,0.44186047,1.0,0.0
5,FGSM,manWoman,alexnet,20_80,bing,0.0909595787525177,0.3,0.44186047,1.0,0.0
6,FGSM,manWoman,alexnet,30_70,bing,0.5816282629966736,0.05,0.44150943,0.6048387096774194,0.2978723404255319
7,FGSM,manWoman,alexnet,30_70,bing,0.36009353399276733,0.1,0.48679245,0.967741935483871,0.06382978723404255
8,FGSM,manWoman,alexnet,30_70,bing,0.2400595247745514,0.15,0.46792454,0.9919354838709677,0.0070921985815602835
9,FGSM,manWoman,alexnet,30_70,bing,0.1699850857257843,0.2,0.46792454,1.0,0.0
10,FGSM,manWoman,alexnet,30_70,bing,0.12429220974445343,0.25,0.46792454,1.0,0.0
11,FGSM,manWoman,alexnet,30_70,bing,0.09057547897100449,0.3,0.46792454,1.0,0.0
12,FGSM,manWoman,alexnet,40_60,bing,0.583280086517334,0.05,0.442029,0.47101449275362317,0.41304347826086957
13,FGSM,manWoman,alexnet,40_60,bing,0.36051568388938904,0.1,0.57608694,0.8623188405797102,0.2898550724637681
14,FGSM,manWoman,alexnet,40_60,bing,0.23998209834098816,0.15,0.51086956,0.9855072463768116,0.036231884057971016
15,FGSM,manWoman,alexnet,40_60,bing,0.16974303126335144,0.2,0.5,1.0,0.0
16,FGSM,manWoman,alexnet,40_60,bing,0.12400052696466446,0.25,0.5,1.0,0.0
17,FGSM,manWoman,alexnet,40_60,bing,0.09027240425348282,0.3,0.5,1.0,0.0
18,FGSM,manWoman,alexnet,50_50,bing,0.5805980563163757,0.05,0.44485295,0.37410071942446044,0.518796992481203
19,FGSM,manWoman,alexnet,50_50,bing,0.3590776026248932,0.1,0.59558827,0.9280575539568345,0.24812030075187969
20,FGSM,manWoman,alexnet,50_50,bing,0.23937761783599854,0.15,0.52205884,0.9856115107913669,0.03759398496240601
21,FGSM,manWoman,alexnet,50_50,bing,0.16949933767318726,0.2,0.5147059,1.0,0.007518796992481203
22,FGSM,manWoman,alexnet,50_50,bing,0.12397565692663193,0.25,0.5110294,1.0,0.0
23,FGSM,manWoman,alexnet,50_50,bing,0.09029627591371536,0.3,0.5110294,1.0,0.0
24,FGSM,manWoman,resnet,20_80,bing,0.5982721447944641,0.05,0.41155234,0.5303030303030303,0.30344827586206896
25,FGSM,manWoman,resnet,20_80,bing,0.3903421461582184,0.1,0.5379061,0.8181818181818182,0.2827586206896552
26,FGSM,manWoman,resnet,20_80,bing,0.2705013155937195,0.15,0.54151624,0.8863636363636364,0.22758620689655173
27,FGSM,manWoman,resnet,20_80,bing,0.1951625794172287,0.2,0.50541514,0.9696969696969697,0.08275862068965517
28,FGSM,manWoman,resnet,20_80,bing,0.14506828784942627,0.25,0.4801444,0.9924242424242424,0.013793103448275862
29,FGSM,manWoman,resnet,20_80,bing,0.10750728100538254,0.3,0.4765343,1.0,0.0
30,FGSM,manWoman,resnet,30_70,bing,0.5996817350387573,0.05,0.48601398,0.5531914893617021,0.4206896551724138
31,FGSM,manWoman,resnet,30_70,bing,0.39230701327323914,0.1,0.5629371,0.7730496453900709,0.3586206896551724
32,FGSM,manWoman,resnet,30_70,bing,0.27248579263687134,0.15,0.58391607,0.8865248226950354,0.2896551724137931
33,FGSM,manWoman,resnet,30_70,bing,0.19697733223438263,0.2,0.520979,0.9219858156028369,0.1310344827586207
34,FGSM,manWoman,resnet,30_70,bing,0.14658255875110626,0.25,0.4965035,0.9929078014184397,0.013793103448275862
35,FGSM,manWoman,resnet,30_70,bing,0.10880303382873535,0.3,0.49300697,1.0,0.0
36,FGSM,manWoman,resnet,40_60,bing,0.5979881882667542,0.05,0.5246479,0.5244755244755245,0.524822695035461
