,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GaussianNoise,manWoman,alexnet,20_80,bing,0.5073462128639221,0.01,0.2015504,0.14035087719298245,0.25
1,GaussianNoise,manWoman,alexnet,20_80,bing,0.38309451937675476,0.02,0.25581396,0.34210526315789475,0.1875
2,GaussianNoise,manWoman,alexnet,20_80,bing,0.307364284992218,0.03,0.32945737,0.5087719298245614,0.1875
3,GaussianNoise,manWoman,alexnet,20_80,bing,0.25642088055610657,0.04,0.375969,0.7280701754385965,0.09722222222222222
4,GaussianNoise,manWoman,alexnet,20_80,bing,0.21925745904445648,0.05,0.39147288,0.7982456140350878,0.06944444444444445
5,GaussianNoise,manWoman,alexnet,20_80,bing,0.1904289424419403,0.06,0.40697673,0.8859649122807017,0.027777777777777776
6,GaussianNoise,manWoman,alexnet,20_80,bing,0.16754110157489777,0.07,0.4031008,0.9035087719298246,0.006944444444444444
7,GaussianNoise,manWoman,alexnet,20_80,bing,0.14839868247509003,0.08,0.42635658,0.956140350877193,0.006944444444444444
8,GaussianNoise,manWoman,alexnet,20_80,bing,0.13227452337741852,0.09,0.44186047,0.9912280701754386,0.006944444444444444
9,GaussianNoise,manWoman,alexnet,20_80,bing,0.11853986233472824,0.1,0.4379845,0.9912280701754386,0.0
10,GaussianNoise,manWoman,alexnet,30_70,bing,0.5073896050453186,0.01,0.20754717,0.27419354838709675,0.14893617021276595
11,GaussianNoise,manWoman,alexnet,30_70,bing,0.38301873207092285,0.02,0.26792455,0.43548387096774194,0.12056737588652482
12,GaussianNoise,manWoman,alexnet,30_70,bing,0.3074142634868622,0.03,0.31698114,0.5967741935483871,0.07092198581560284
13,GaussianNoise,manWoman,alexnet,30_70,bing,0.2562577426433563,0.04,0.41132075,0.8225806451612904,0.04964539007092199
14,GaussianNoise,manWoman,alexnet,30_70,bing,0.21917732059955597,0.05,0.4339623,0.9112903225806451,0.014184397163120567
15,GaussianNoise,manWoman,alexnet,30_70,bing,0.19047284126281738,0.06,0.44905663,0.9596774193548387,0.0
16,GaussianNoise,manWoman,alexnet,30_70,bing,0.16729964315891266,0.07,0.46037737,0.9838709677419355,0.0
17,GaussianNoise,manWoman,alexnet,30_70,bing,0.14849404990673065,0.08,0.46037737,0.9838709677419355,0.0
18,GaussianNoise,manWoman,alexnet,30_70,bing,0.13250023126602173,0.09,0.46037737,0.9838709677419355,0.0
19,GaussianNoise,manWoman,alexnet,30_70,bing,0.11857187002897263,0.1,0.46037737,0.9838709677419355,0.0
20,GaussianNoise,manWoman,alexnet,40_60,bing,0.5074002742767334,0.01,0.13043478,0.050724637681159424,0.21014492753623187
21,GaussianNoise,manWoman,alexnet,40_60,bing,0.3831653594970703,0.02,0.22826087,0.2463768115942029,0.21014492753623187
22,GaussianNoise,manWoman,alexnet,40_60,bing,0.30726155638694763,0.03,0.2789855,0.36231884057971014,0.1956521739130435
23,GaussianNoise,manWoman,alexnet,40_60,bing,0.25624901056289673,0.04,0.32608697,0.5,0.15217391304347827
24,GaussianNoise,manWoman,alexnet,40_60,bing,0.21924635767936707,0.05,0.3768116,0.6739130434782609,0.07971014492753623
25,GaussianNoise,manWoman,alexnet,40_60,bing,0.19041557610034943,0.06,0.4384058,0.8115942028985508,0.06521739130434782
26,GaussianNoise,manWoman,alexnet,40_60,bing,0.16749674081802368,0.07,0.4710145,0.8840579710144928,0.057971014492753624
27,GaussianNoise,manWoman,alexnet,40_60,bing,0.14837615191936493,0.08,0.4963768,0.9420289855072463,0.050724637681159424
28,GaussianNoise,manWoman,alexnet,40_60,bing,0.13236097991466522,0.09,0.47826087,0.9492753623188406,0.007246376811594203
29,GaussianNoise,manWoman,alexnet,40_60,bing,0.11856301128864288,0.1,0.49275362,0.9782608695652174,0.007246376811594203
30,GaussianNoise,manWoman,alexnet,50_50,bing,0.5072495937347412,0.01,0.15441176,0.050359712230215826,0.2631578947368421
31,GaussianNoise,manWoman,alexnet,50_50,bing,0.38321778178215027,0.02,0.23161764,0.22302158273381295,0.24060150375939848
32,GaussianNoise,manWoman,alexnet,50_50,bing,0.30730190873146057,0.03,0.27941176,0.37410071942446044,0.18045112781954886
33,GaussianNoise,manWoman,alexnet,50_50,bing,0.25636953115463257,0.04,0.3272059,0.5251798561151079,0.12030075187969924
34,GaussianNoise,manWoman,alexnet,50_50,bing,0.21922136843204498,0.05,0.40441176,0.7122302158273381,0.08270676691729323
