,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GreyScale,manWoman,alexnet,20_80,bing,0.7479393482208252,1,0.065891474,0.008771929824561403,0.1111111111111111
1,GreyScale,manWoman,alexnet,30_70,bing,0.7479393482208252,1,0.09811321,0.06451612903225806,0.1276595744680851
2,GreyScale,manWoman,alexnet,40_60,bing,0.7479393482208252,1,0.09057971,0.07246376811594203,0.10869565217391304
3,GreyScale,manWoman,alexnet,50_50,bing,0.7479393482208252,1,0.06985294,0.04316546762589928,0.09774436090225563
4,GreyScale,manWoman,resnet,20_80,bing,0.7479393482208252,1,0.04693141,0.08333333333333333,0.013793103448275862
5,GreyScale,manWoman,resnet,30_70,bing,0.7479393482208252,1,0.045454547,0.05673758865248227,0.034482758620689655
6,GreyScale,manWoman,resnet,40_60,bing,0.7479393482208252,1,0.049295776,0.09090909090909091,0.0070921985815602835
7,GreyScale,manWoman,resnet,50_50,bing,0.7479393482208252,1,0.027777778,0.0136986301369863,0.04225352112676056
8,GreyScale,manWoman,vgg,20_80,bing,0.7479393482208252,1,0.032490976,0.03007518796992481,0.034722222222222224
9,GreyScale,manWoman,vgg,30_70,bing,0.7479393482208252,1,0.028880866,0.022222222222222223,0.035211267605633804
10,GreyScale,manWoman,vgg,40_60,bing,0.7479393482208252,1,0.017667845,0.013986013986013986,0.02142857142857143
11,GreyScale,manWoman,vgg,50_50,bing,0.7479393482208252,1,0.038732395,0.027972027972027972,0.04964539007092199
12,GreyScale,manWoman,alexnet,20_80,google,0.7786456942558289,1,0.09053498,0.20388349514563106,0.007142857142857143
13,GreyScale,manWoman,alexnet,30_70,google,0.7786456942558289,1,0.16342412,0.17796610169491525,0.1510791366906475
14,GreyScale,manWoman,alexnet,40_60,google,0.7786456942558289,1,0.080152676,0.09302325581395349,0.06766917293233082
15,GreyScale,manWoman,alexnet,50_50,google,0.7786456942558289,1,0.23773585,0.007352941176470588,0.4806201550387597
16,GreyScale,manWoman,resnet,20_80,google,0.7786456942558289,1,0.05243446,0.08130081300813008,0.027777777777777776
17,GreyScale,manWoman,resnet,30_70,google,0.7786456942558289,1,0.04887218,0.0234375,0.07246376811594203
18,GreyScale,manWoman,resnet,40_60,google,0.7786456942558289,1,0.06593407,0.04195804195804196,0.09230769230769231
19,GreyScale,manWoman,resnet,50_50,google,0.7786456942558289,1,0.0625,0.06993006993006994,0.05426356589147287
20,GreyScale,manWoman,vgg,20_80,google,0.7786456942558289,1,0.033834588,0.05084745762711865,0.02027027027027027
21,GreyScale,manWoman,vgg,30_70,google,0.7786456942558289,1,0.053956836,0.072992700729927,0.03546099290780142
22,GreyScale,manWoman,vgg,40_60,google,0.7786456942558289,1,0.043636363,0.02857142857142857,0.05925925925925926
23,GreyScale,manWoman,vgg,50_50,google,0.7786456942558289,1,0.07720588,0.02142857142857143,0.13636363636363635
