,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,PGD,manWoman,alexnet,20_80,bing,0.7341903448104858,0.05,0.5,0.39473684210526316,0.5833333333333334
1,PGD,manWoman,alexnet,20_80,bing,0.6091501116752625,0.1,0.62015504,0.5175438596491229,0.7013888888888888
2,PGD,manWoman,alexnet,20_80,bing,0.5178709626197815,0.15,0.624031,0.5701754385964912,0.6666666666666666
3,PGD,manWoman,alexnet,20_80,bing,0.4407266676425934,0.2,0.627907,0.6491228070175439,0.6111111111111112
4,PGD,manWoman,alexnet,20_80,bing,0.3714357316493988,0.25,0.6395349,0.7719298245614035,0.5347222222222222
5,PGD,manWoman,alexnet,20_80,bing,0.31321144104003906,0.3,0.64728683,0.9035087719298246,0.4444444444444444
6,PGD,manWoman,alexnet,30_70,bing,0.7372350096702576,0.05,0.39245284,0.4435483870967742,0.3475177304964539
7,PGD,manWoman,alexnet,30_70,bing,0.6122909188270569,0.1,0.5207547,0.5806451612903226,0.46808510638297873
8,PGD,manWoman,alexnet,30_70,bing,0.5196237564086914,0.15,0.5773585,0.6854838709677419,0.48226950354609927
9,PGD,manWoman,alexnet,30_70,bing,0.4410415589809418,0.2,0.5849057,0.782258064516129,0.41134751773049644
10,PGD,manWoman,alexnet,30_70,bing,0.3712849020957947,0.25,0.6,0.9112903225806451,0.3262411347517731
11,PGD,manWoman,alexnet,30_70,bing,0.31298592686653137,0.3,0.56226414,0.967741935483871,0.20567375886524822
12,PGD,manWoman,alexnet,40_60,bing,0.7345356345176697,0.05,0.38043478,0.36231884057971014,0.39855072463768115
13,PGD,manWoman,alexnet,40_60,bing,0.6104422807693481,0.1,0.5507246,0.4782608695652174,0.6231884057971014
14,PGD,manWoman,alexnet,40_60,bing,0.5184046626091003,0.15,0.5652174,0.5217391304347826,0.6086956521739131
15,PGD,manWoman,alexnet,40_60,bing,0.44085031747817993,0.2,0.57246375,0.6014492753623188,0.5434782608695652
16,PGD,manWoman,alexnet,40_60,bing,0.37110283970832825,0.25,0.59057975,0.6811594202898551,0.5
17,PGD,manWoman,alexnet,40_60,bing,0.31274721026420593,0.3,0.6594203,0.8478260869565217,0.47101449275362317
18,PGD,manWoman,alexnet,50_50,bing,0.7309409976005554,0.05,0.4375,0.3381294964028777,0.5413533834586466
19,PGD,manWoman,alexnet,50_50,bing,0.6078869104385376,0.1,0.54044116,0.41007194244604317,0.6766917293233082
20,PGD,manWoman,alexnet,50_50,bing,0.517076313495636,0.15,0.5772059,0.4748201438848921,0.6842105263157895
21,PGD,manWoman,alexnet,50_50,bing,0.439723402261734,0.2,0.6102941,0.5467625899280576,0.6766917293233082
22,PGD,manWoman,alexnet,50_50,bing,0.3703460693359375,0.25,0.64705884,0.6762589928057554,0.6165413533834586
23,PGD,manWoman,alexnet,50_50,bing,0.31230250000953674,0.3,0.68014705,0.8489208633093526,0.5037593984962406
24,PGD,manWoman,resnet,20_80,bing,0.7738007307052612,0.05,0.35740072,0.22727272727272727,0.47586206896551725
25,PGD,manWoman,resnet,20_80,bing,0.6375654339790344,0.1,0.4368231,0.23484848484848486,0.6206896551724138
26,PGD,manWoman,resnet,20_80,bing,0.5341620445251465,0.15,0.47292417,0.30303030303030304,0.6275862068965518
27,PGD,manWoman,resnet,20_80,bing,0.44917115569114685,0.2,0.4476534,0.3333333333333333,0.5517241379310345
28,PGD,manWoman,resnet,20_80,bing,0.37513303756713867,0.25,0.50541514,0.45454545454545453,0.5517241379310345
29,PGD,manWoman,resnet,20_80,bing,0.31478139758110046,0.3,0.49458483,0.5075757575757576,0.4827586206896552
30,PGD,manWoman,resnet,30_70,bing,0.7760169506072998,0.05,0.4160839,0.2553191489361702,0.5724137931034483
31,PGD,manWoman,resnet,30_70,bing,0.638823926448822,0.1,0.5104895,0.2765957446808511,0.7379310344827587
32,PGD,manWoman,resnet,30_70,bing,0.5350489616394043,0.15,0.48601398,0.2978723404255319,0.6689655172413793
33,PGD,manWoman,resnet,30_70,bing,0.4497442841529846,0.2,0.46153846,0.2907801418439716,0.6275862068965518
34,PGD,manWoman,resnet,30_70,bing,0.37553784251213074,0.25,0.45804197,0.3333333333333333,0.5793103448275863
35,PGD,manWoman,resnet,30_70,bing,0.3149759769439697,0.3,0.5,0.46099290780141844,0.5379310344827586
36,PGD,manWoman,resnet,40_60,bing,0.7745295166969299,0.05,0.3943662,0.24475524475524477,0.5460992907801419
37,PGD,manWoman,resnet,40_60,bing,0.6381933689117432,0.1,0.47183096,0.24475524475524477,0.7021276595744681
38,PGD,manWoman,resnet,40_60,bing,0.5346800684928894,0.15,0.4612676,0.2867132867132867,0.6382978723404256
39,PGD,manWoman,resnet,40_60,bing,0.44935497641563416,0.2,0.4366197,0.2867132867132867,0.5886524822695035
40,PGD,manWoman,resnet,40_60,bing,0.37537428736686707,0.25,0.45422533,0.32867132867132864,0.5815602836879432
41,PGD,manWoman,resnet,40_60,bing,0.31487977504730225,0.3,0.49295774,0.46153846153846156,0.524822695035461
42,PGD,manWoman,resnet,50_50,bing,0.7755036354064941,0.05,0.40625,0.14383561643835616,0.676056338028169
43,PGD,manWoman,resnet,50_50,bing,0.6386160850524902,0.1,0.47222224,0.14383561643835616,0.8098591549295775
44,PGD,manWoman,resnet,50_50,bing,0.5350325703620911,0.15,0.47222224,0.17123287671232876,0.7816901408450704
45,PGD,manWoman,resnet,50_50,bing,0.4495917856693268,0.2,0.47569445,0.1643835616438356,0.795774647887324
46,PGD,manWoman,resnet,50_50,bing,0.375491738319397,0.25,0.4375,0.18493150684931506,0.6971830985915493
47,PGD,manWoman,resnet,50_50,bing,0.3149589002132416,0.3,0.4861111,0.2876712328767123,0.6901408450704225
48,PGD,manWoman,vgg,20_80,bing,0.7828731536865234,0.05,0.58483756,0.45112781954887216,0.7083333333333334
49,PGD,manWoman,vgg,20_80,bing,0.6419882774353027,0.1,0.6570397,0.42857142857142855,0.8680555555555556
50,PGD,manWoman,vgg,20_80,bing,0.537233829498291,0.15,0.6209386,0.3383458646616541,0.8819444444444444
51,PGD,manWoman,vgg,20_80,bing,0.45159852504730225,0.2,0.6173285,0.3684210526315789,0.8472222222222222
52,PGD,manWoman,vgg,20_80,bing,0.3773733377456665,0.25,0.64620936,0.5037593984962406,0.7777777777777778
53,PGD,manWoman,vgg,20_80,bing,0.31652936339378357,0.3,0.6534296,0.6015037593984962,0.7013888888888888
54,PGD,manWoman,vgg,30_70,bing,0.7842937111854553,0.05,0.5379061,0.2962962962962963,0.7676056338028169
55,PGD,manWoman,vgg,30_70,bing,0.6420923471450806,0.1,0.566787,0.28888888888888886,0.8309859154929577
56,PGD,manWoman,vgg,30_70,bing,0.5369855761528015,0.15,0.57761735,0.2962962962962963,0.8450704225352113
57,PGD,manWoman,vgg,30_70,bing,0.45129358768463135,0.2,0.6209386,0.37777777777777777,0.852112676056338
58,PGD,manWoman,vgg,30_70,bing,0.37719738483428955,0.25,0.63898915,0.4962962962962963,0.7746478873239436
59,PGD,manWoman,vgg,30_70,bing,0.3165096938610077,0.3,0.6534296,0.6074074074074074,0.6971830985915493
60,PGD,manWoman,vgg,40_60,bing,0.7834522128105164,0.05,0.56537104,0.34265734265734266,0.7928571428571428
61,PGD,manWoman,vgg,40_60,bing,0.6426977515220642,0.1,0.59717315,0.34265734265734266,0.8571428571428571
62,PGD,manWoman,vgg,40_60,bing,0.5378410816192627,0.15,0.5724382,0.26573426573426573,0.8857142857142857
63,PGD,manWoman,vgg,40_60,bing,0.45187002420425415,0.2,0.5795053,0.2727272727272727,0.8928571428571429
64,PGD,manWoman,vgg,40_60,bing,0.37759825587272644,0.25,0.6007067,0.35664335664335667,0.85
65,PGD,manWoman,vgg,40_60,bing,0.31674033403396606,0.3,0.62544173,0.48951048951048953,0.7642857142857142
66,PGD,manWoman,vgg,50_50,bing,0.7845734357833862,0.05,0.55985916,0.2867132867132867,0.8368794326241135
67,PGD,manWoman,vgg,50_50,bing,0.643545925617218,0.1,0.5809859,0.23776223776223776,0.9290780141843972
68,PGD,manWoman,vgg,50_50,bing,0.538625955581665,0.15,0.56338024,0.1958041958041958,0.9361702127659575
69,PGD,manWoman,vgg,50_50,bing,0.4525561034679413,0.2,0.5669014,0.2097902097902098,0.9290780141843972
70,PGD,manWoman,vgg,50_50,bing,0.37803250551223755,0.25,0.58802813,0.2517482517482518,0.9290780141843972
71,PGD,manWoman,vgg,50_50,bing,0.3170478641986847,0.3,0.58450705,0.35664335664335667,0.8156028368794326
72,PGD,manWoman,alexnet,20_80,google,0.6821533441543579,0.05,0.39506173,0.6213592233009708,0.22857142857142856
73,PGD,manWoman,alexnet,20_80,google,0.5553336143493652,0.1,0.44444442,0.7184466019417476,0.24285714285714285
74,PGD,manWoman,alexnet,20_80,google,0.4688722789287567,0.15,0.4526749,0.7766990291262136,0.21428571428571427
