,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RFGSM,manWoman,alexnet,20_80,bing,0.7419534921646118,0.05,0.5542636,0.4824561403508772,0.6111111111111112
1,RFGSM,manWoman,alexnet,20_80,bing,0.7129423022270203,0.1,0.6976744,0.6842105263157895,0.7083333333333334
2,RFGSM,manWoman,alexnet,20_80,bing,0.712949275970459,0.15,0.6976744,0.6842105263157895,0.7083333333333334
3,RFGSM,manWoman,alexnet,20_80,bing,0.712934136390686,0.2,0.6976744,0.6842105263157895,0.7083333333333334
4,RFGSM,manWoman,alexnet,20_80,bing,0.7129426002502441,0.25,0.6976744,0.6842105263157895,0.7083333333333334
5,RFGSM,manWoman,alexnet,20_80,bing,0.7129398584365845,0.3,0.6976744,0.6842105263157895,0.7083333333333334
6,RFGSM,manWoman,alexnet,30_70,bing,0.7432790994644165,0.05,0.45660377,0.5161290322580645,0.40425531914893614
7,RFGSM,manWoman,alexnet,30_70,bing,0.7153499722480774,0.1,0.5735849,0.6693548387096774,0.48936170212765956
8,RFGSM,manWoman,alexnet,30_70,bing,0.71535724401474,0.15,0.5735849,0.6693548387096774,0.48936170212765956
9,RFGSM,manWoman,alexnet,30_70,bing,0.715356707572937,0.2,0.5735849,0.6693548387096774,0.48936170212765956
10,RFGSM,manWoman,alexnet,30_70,bing,0.71535724401474,0.25,0.5735849,0.6693548387096774,0.48936170212765956
11,RFGSM,manWoman,alexnet,30_70,bing,0.7153539061546326,0.3,0.5735849,0.6693548387096774,0.48936170212765956
12,RFGSM,manWoman,alexnet,40_60,bing,0.7405669689178467,0.05,0.47826087,0.463768115942029,0.4927536231884058
13,RFGSM,manWoman,alexnet,40_60,bing,0.7118911147117615,0.1,0.5978261,0.5869565217391305,0.6086956521739131
14,RFGSM,manWoman,alexnet,40_60,bing,0.7119088172912598,0.15,0.5978261,0.5869565217391305,0.6086956521739131
15,RFGSM,manWoman,alexnet,40_60,bing,0.7118945121765137,0.2,0.5978261,0.5869565217391305,0.6086956521739131
16,RFGSM,manWoman,alexnet,40_60,bing,0.7118890285491943,0.25,0.5978261,0.5869565217391305,0.6086956521739131
17,RFGSM,manWoman,alexnet,40_60,bing,0.7119091749191284,0.3,0.5978261,0.5869565217391305,0.6086956521739131
