,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9856460094451904,20,0.042635657,0.06140350877192982,0.027777777777777776
1,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9685548543930054,40,0.065891474,0.09649122807017543,0.041666666666666664
2,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9422889351844788,60,0.054263566,0.12280701754385964,0.0
3,RandomBlackBox,manWoman,alexnet,20_80,bing,0.908374011516571,80,0.13565892,0.24561403508771928,0.04861111111111111
4,RandomBlackBox,manWoman,alexnet,20_80,bing,0.8644565939903259,100,0.18992248,0.42105263157894735,0.006944444444444444
5,RandomBlackBox,manWoman,alexnet,20_80,bing,0.8119633197784424,120,0.2364341,0.5263157894736842,0.006944444444444444
6,RandomBlackBox,manWoman,alexnet,20_80,bing,0.7503082156181335,140,0.29069766,0.6052631578947368,0.041666666666666664
7,RandomBlackBox,manWoman,alexnet,20_80,bing,0.6799636483192444,160,0.2984496,0.6403508771929824,0.027777777777777776
8,RandomBlackBox,manWoman,alexnet,20_80,bing,0.6000977158546448,180,0.34496123,0.7017543859649122,0.0625
9,RandomBlackBox,manWoman,alexnet,20_80,bing,0.5114515423774719,200,0.35271317,0.6842105263157895,0.09027777777777778
10,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9856460094451904,20,0.03018868,0.056451612903225805,0.0070921985815602835
11,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9685548543930054,40,0.033962265,0.056451612903225805,0.014184397163120567
12,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9422889351844788,60,0.071698114,0.14516129032258066,0.0070921985815602835
13,RandomBlackBox,manWoman,alexnet,30_70,bing,0.908374011516571,80,0.12830189,0.24193548387096775,0.028368794326241134
14,RandomBlackBox,manWoman,alexnet,30_70,bing,0.8644565939903259,100,0.21509434,0.4435483870967742,0.014184397163120567
15,RandomBlackBox,manWoman,alexnet,30_70,bing,0.8119633197784424,120,0.22264151,0.4596774193548387,0.014184397163120567
16,RandomBlackBox,manWoman,alexnet,30_70,bing,0.7503082156181335,140,0.28679246,0.5403225806451613,0.06382978723404255
17,RandomBlackBox,manWoman,alexnet,30_70,bing,0.6799636483192444,160,0.26037735,0.5161290322580645,0.03546099290780142
18,RandomBlackBox,manWoman,alexnet,30_70,bing,0.6000977158546448,180,0.31320757,0.5483870967741935,0.10638297872340426
19,RandomBlackBox,manWoman,alexnet,30_70,bing,0.5114515423774719,200,0.3018868,0.49193548387096775,0.1347517730496454
20,RandomBlackBox,manWoman,alexnet,40_60,bing,0.9856460094451904,20,0.036231883,0.057971014492753624,0.014492753623188406
21,RandomBlackBox,manWoman,alexnet,40_60,bing,0.9685548543930054,40,0.039855074,0.07246376811594203,0.007246376811594203
22,RandomBlackBox,manWoman,alexnet,40_60,bing,0.9422889351844788,60,0.07971015,0.15942028985507245,0.0
23,RandomBlackBox,manWoman,alexnet,40_60,bing,0.908374011516571,80,0.13768116,0.2318840579710145,0.043478260869565216
