,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SaltPepper,manWoman,alexnet,20_80,bing,0.581670880317688,0.01,0.2364341,0.08771929824561403,0.3541666666666667
1,SaltPepper,manWoman,alexnet,20_80,bing,0.5055383443832397,0.02,0.34496123,0.17543859649122806,0.4791666666666667
2,SaltPepper,manWoman,alexnet,20_80,bing,0.46056440472602844,0.03,0.38372093,0.24561403508771928,0.4930555555555556
3,SaltPepper,manWoman,alexnet,20_80,bing,0.429694265127182,0.04,0.42635658,0.2894736842105263,0.5347222222222222
4,SaltPepper,manWoman,alexnet,20_80,bing,0.4062040448188782,0.05,0.41472867,0.3508771929824561,0.4652777777777778
5,SaltPepper,manWoman,alexnet,20_80,bing,0.3871499001979828,0.06,0.42635658,0.37719298245614036,0.4652777777777778
6,SaltPepper,manWoman,alexnet,20_80,bing,0.37091442942619324,0.07,0.4496124,0.40350877192982454,0.4861111111111111
7,SaltPepper,manWoman,alexnet,20_80,bing,0.3567865192890167,0.08,0.4496124,0.42105263157894735,0.4722222222222222
8,SaltPepper,manWoman,alexnet,20_80,bing,0.34415096044540405,0.09,0.48062015,0.5350877192982456,0.4375
9,SaltPepper,manWoman,alexnet,20_80,bing,0.33284974098205566,0.1,0.503876,0.5350877192982456,0.4791666666666667
10,SaltPepper,manWoman,alexnet,30_70,bing,0.581670880317688,0.01,0.2264151,0.20161290322580644,0.24822695035460993
11,SaltPepper,manWoman,alexnet,30_70,bing,0.5055383443832397,0.02,0.2754717,0.25806451612903225,0.2907801418439716
12,SaltPepper,manWoman,alexnet,30_70,bing,0.46056440472602844,0.03,0.29433963,0.2661290322580645,0.3191489361702128
13,SaltPepper,manWoman,alexnet,30_70,bing,0.429694265127182,0.04,0.30943397,0.2903225806451613,0.3262411347517731
14,SaltPepper,manWoman,alexnet,30_70,bing,0.4062040448188782,0.05,0.34716982,0.31451612903225806,0.375886524822695
15,SaltPepper,manWoman,alexnet,30_70,bing,0.3871499001979828,0.06,0.39245284,0.3951612903225806,0.3900709219858156
16,SaltPepper,manWoman,alexnet,30_70,bing,0.37091442942619324,0.07,0.4,0.3951612903225806,0.40425531914893614
17,SaltPepper,manWoman,alexnet,30_70,bing,0.3567865192890167,0.08,0.4,0.4112903225806452,0.3900709219858156
18,SaltPepper,manWoman,alexnet,30_70,bing,0.34415096044540405,0.09,0.4301887,0.4596774193548387,0.40425531914893614
19,SaltPepper,manWoman,alexnet,30_70,bing,0.33284974098205566,0.1,0.43773586,0.47580645161290325,0.40425531914893614
20,SaltPepper,manWoman,alexnet,40_60,bing,0.581670880317688,0.01,0.19927536,0.07246376811594203,0.32608695652173914
21,SaltPepper,manWoman,alexnet,40_60,bing,0.5055383443832397,0.02,0.23913044,0.08695652173913043,0.391304347826087
22,SaltPepper,manWoman,alexnet,40_60,bing,0.46056440472602844,0.03,0.26811594,0.10869565217391304,0.427536231884058
23,SaltPepper,manWoman,alexnet,40_60,bing,0.429694265127182,0.04,0.29710147,0.15217391304347827,0.4420289855072464
24,SaltPepper,manWoman,alexnet,40_60,bing,0.4062040448188782,0.05,0.31159422,0.2028985507246377,0.42028985507246375
25,SaltPepper,manWoman,alexnet,40_60,bing,0.3871499001979828,0.06,0.3152174,0.2028985507246377,0.427536231884058
26,SaltPepper,manWoman,alexnet,40_60,bing,0.37091442942619324,0.07,0.33695653,0.2536231884057971,0.42028985507246375
27,SaltPepper,manWoman,alexnet,40_60,bing,0.3567865192890167,0.08,0.33333334,0.2246376811594203,0.4420289855072464
28,SaltPepper,manWoman,alexnet,40_60,bing,0.34415096044540405,0.09,0.36594203,0.30434782608695654,0.427536231884058
29,SaltPepper,manWoman,alexnet,40_60,bing,0.33284974098205566,0.1,0.38043478,0.32608695652173914,0.43478260869565216
30,SaltPepper,manWoman,alexnet,50_50,bing,0.581670880317688,0.01,0.22794117,0.050359712230215826,0.41353383458646614
31,SaltPepper,manWoman,alexnet,50_50,bing,0.5055383443832397,0.02,0.2867647,0.06474820143884892,0.518796992481203
32,SaltPepper,manWoman,alexnet,50_50,bing,0.46056440472602844,0.03,0.30514705,0.07913669064748201,0.5413533834586466
33,SaltPepper,manWoman,alexnet,50_50,bing,0.429694265127182,0.04,0.3382353,0.12949640287769784,0.556390977443609
34,SaltPepper,manWoman,alexnet,50_50,bing,0.4062040448188782,0.05,0.3492647,0.15827338129496402,0.5488721804511278
35,SaltPepper,manWoman,alexnet,50_50,bing,0.3871499001979828,0.06,0.3529412,0.14388489208633093,0.5714285714285714
36,SaltPepper,manWoman,alexnet,50_50,bing,0.37091442942619324,0.07,0.3970588,0.20863309352517986,0.5939849624060151
37,SaltPepper,manWoman,alexnet,50_50,bing,0.3567865192890167,0.08,0.375,0.20863309352517986,0.5488721804511278
38,SaltPepper,manWoman,alexnet,50_50,bing,0.34415096044540405,0.09,0.4007353,0.2446043165467626,0.5639097744360902
39,SaltPepper,manWoman,alexnet,50_50,bing,0.33284974098205566,0.1,0.41911766,0.26618705035971224,0.5789473684210527
40,SaltPepper,manWoman,resnet,20_80,bing,0.581670880317688,0.01,0.2166065,0.4393939393939394,0.013793103448275862
41,SaltPepper,manWoman,resnet,20_80,bing,0.5055383443832397,0.02,0.20216607,0.3560606060606061,0.06206896551724138
42,SaltPepper,manWoman,resnet,20_80,bing,0.46056440472602844,0.03,0.20938627,0.25,0.1724137931034483
43,SaltPepper,manWoman,resnet,20_80,bing,0.429694265127182,0.04,0.20577617,0.1893939393939394,0.2206896551724138
44,SaltPepper,manWoman,resnet,20_80,bing,0.4062040448188782,0.05,0.2166065,0.15151515151515152,0.27586206896551724
45,SaltPepper,manWoman,resnet,20_80,bing,0.3871499001979828,0.06,0.2238267,0.15151515151515152,0.2896551724137931
46,SaltPepper,manWoman,resnet,20_80,bing,0.37091442942619324,0.07,0.2635379,0.17424242424242425,0.3448275862068966
47,SaltPepper,manWoman,resnet,20_80,bing,0.3567865192890167,0.08,0.28880867,0.1893939393939394,0.3793103448275862
48,SaltPepper,manWoman,resnet,20_80,bing,0.34415096044540405,0.09,0.28158844,0.19696969696969696,0.3586206896551724
49,SaltPepper,manWoman,resnet,20_80,bing,0.33284974098205566,0.1,0.27436823,0.1893939393939394,0.35172413793103446
50,SaltPepper,manWoman,resnet,30_70,bing,0.581670880317688,0.01,0.24125874,0.475177304964539,0.013793103448275862
51,SaltPepper,manWoman,resnet,30_70,bing,0.5055383443832397,0.02,0.21328671,0.3475177304964539,0.08275862068965517
52,SaltPepper,manWoman,resnet,30_70,bing,0.46056440472602844,0.03,0.22027972,0.2624113475177305,0.1793103448275862
53,SaltPepper,manWoman,resnet,30_70,bing,0.429694265127182,0.04,0.23076923,0.1773049645390071,0.2827586206896552
54,SaltPepper,manWoman,resnet,30_70,bing,0.4062040448188782,0.05,0.24125874,0.16312056737588654,0.31724137931034485
55,SaltPepper,manWoman,resnet,30_70,bing,0.3871499001979828,0.06,0.23776224,0.14184397163120568,0.3310344827586207
56,SaltPepper,manWoman,resnet,30_70,bing,0.37091442942619324,0.07,0.26923075,0.16312056737588654,0.3724137931034483
57,SaltPepper,manWoman,resnet,30_70,bing,0.3567865192890167,0.08,0.28671327,0.14893617021276595,0.4206896551724138
58,SaltPepper,manWoman,resnet,30_70,bing,0.34415096044540405,0.09,0.28321677,0.15602836879432624,0.4068965517241379
59,SaltPepper,manWoman,resnet,30_70,bing,0.33284974098205566,0.1,0.2937063,0.16312056737588654,0.4206896551724138
60,SaltPepper,manWoman,resnet,40_60,bing,0.581670880317688,0.01,0.20774648,0.40559440559440557,0.0070921985815602835
61,SaltPepper,manWoman,resnet,40_60,bing,0.5055383443832397,0.02,0.20774648,0.34265734265734266,0.07092198581560284
62,SaltPepper,manWoman,resnet,40_60,bing,0.46056440472602844,0.03,0.22887324,0.2867132867132867,0.1702127659574468
63,SaltPepper,manWoman,resnet,40_60,bing,0.429694265127182,0.04,0.23239437,0.23776223776223776,0.22695035460992907
64,SaltPepper,manWoman,resnet,40_60,bing,0.4062040448188782,0.05,0.24295774,0.2097902097902098,0.2765957446808511
65,SaltPepper,manWoman,resnet,40_60,bing,0.3871499001979828,0.06,0.24647887,0.21678321678321677,0.2765957446808511
66,SaltPepper,manWoman,resnet,40_60,bing,0.37091442942619324,0.07,0.278169,0.23776223776223776,0.3191489361702128
67,SaltPepper,manWoman,resnet,40_60,bing,0.3567865192890167,0.08,0.28873238,0.21678321678321677,0.3617021276595745
68,SaltPepper,manWoman,resnet,40_60,bing,0.34415096044540405,0.09,0.29225352,0.22377622377622378,0.3617021276595745
69,SaltPepper,manWoman,resnet,40_60,bing,0.33284974098205566,0.1,0.28873238,0.2517482517482518,0.3262411347517731
70,SaltPepper,manWoman,resnet,50_50,bing,0.581670880317688,0.01,0.15277778,0.23972602739726026,0.06338028169014084
71,SaltPepper,manWoman,resnet,50_50,bing,0.5055383443832397,0.02,0.18055555,0.19863013698630136,0.1619718309859155
72,SaltPepper,manWoman,resnet,50_50,bing,0.46056440472602844,0.03,0.23611112,0.1780821917808219,0.29577464788732394
73,SaltPepper,manWoman,resnet,50_50,bing,0.429694265127182,0.04,0.24652778,0.136986301369863,0.3591549295774648
74,SaltPepper,manWoman,resnet,50_50,bing,0.4062040448188782,0.05,0.26041666,0.14383561643835616,0.38028169014084506
75,SaltPepper,manWoman,resnet,50_50,bing,0.3871499001979828,0.06,0.27430555,0.1506849315068493,0.4014084507042254
76,SaltPepper,manWoman,resnet,50_50,bing,0.37091442942619324,0.07,0.28819445,0.13013698630136986,0.4507042253521127
77,SaltPepper,manWoman,resnet,50_50,bing,0.3567865192890167,0.08,0.30555555,0.1506849315068493,0.4647887323943662
78,SaltPepper,manWoman,resnet,50_50,bing,0.34415096044540405,0.09,0.31944445,0.1506849315068493,0.49295774647887325
79,SaltPepper,manWoman,resnet,50_50,bing,0.33284974098205566,0.1,0.3611111,0.19863013698630136,0.528169014084507
80,SaltPepper,manWoman,vgg,20_80,bing,0.581670880317688,0.01,0.15523465,0.2857142857142857,0.034722222222222224
81,SaltPepper,manWoman,vgg,20_80,bing,0.5055383443832397,0.02,0.23104693,0.40601503759398494,0.06944444444444445
82,SaltPepper,manWoman,vgg,20_80,bing,0.46056440472602844,0.03,0.24548736,0.40601503759398494,0.09722222222222222
83,SaltPepper,manWoman,vgg,20_80,bing,0.429694265127182,0.04,0.25270757,0.3609022556390977,0.1527777777777778
84,SaltPepper,manWoman,vgg,20_80,bing,0.4062040448188782,0.05,0.24187726,0.3458646616541353,0.14583333333333334
85,SaltPepper,manWoman,vgg,20_80,bing,0.3871499001979828,0.06,0.27797833,0.39849624060150374,0.16666666666666666
86,SaltPepper,manWoman,vgg,20_80,bing,0.37091442942619324,0.07,0.3068592,0.39097744360902253,0.22916666666666666
87,SaltPepper,manWoman,vgg,20_80,bing,0.3567865192890167,0.08,0.33935016,0.42105263157894735,0.2638888888888889
88,SaltPepper,manWoman,vgg,20_80,bing,0.34415096044540405,0.09,0.33212996,0.39849624060150374,0.2708333333333333
89,SaltPepper,manWoman,vgg,20_80,bing,0.33284974098205566,0.1,0.3104693,0.37593984962406013,0.25
90,SaltPepper,manWoman,vgg,30_70,bing,0.581670880317688,0.01,0.13357401,0.2222222222222222,0.04929577464788732
91,SaltPepper,manWoman,vgg,30_70,bing,0.5055383443832397,0.02,0.18411553,0.28888888888888886,0.08450704225352113
92,SaltPepper,manWoman,vgg,30_70,bing,0.46056440472602844,0.03,0.23104693,0.31851851851851853,0.14788732394366197
93,SaltPepper,manWoman,vgg,30_70,bing,0.429694265127182,0.04,0.22743683,0.25925925925925924,0.19718309859154928
94,SaltPepper,manWoman,vgg,30_70,bing,0.4062040448188782,0.05,0.25631768,0.2962962962962963,0.21830985915492956
95,SaltPepper,manWoman,vgg,30_70,bing,0.3871499001979828,0.06,0.27797833,0.31851851851851853,0.23943661971830985
96,SaltPepper,manWoman,vgg,30_70,bing,0.37091442942619324,0.07,0.299639,0.2962962962962963,0.3028169014084507
97,SaltPepper,manWoman,vgg,30_70,bing,0.3567865192890167,0.08,0.3068592,0.3333333333333333,0.28169014084507044
98,SaltPepper,manWoman,vgg,30_70,bing,0.34415096044540405,0.09,0.3032491,0.28888888888888886,0.31690140845070425
99,SaltPepper,manWoman,vgg,30_70,bing,0.33284974098205566,0.1,0.29241878,0.3037037037037037,0.28169014084507044
100,SaltPepper,manWoman,vgg,40_60,bing,0.581670880317688,0.01,0.1590106,0.25874125874125875,0.05714285714285714
101,SaltPepper,manWoman,vgg,40_60,bing,0.5055383443832397,0.02,0.20141342,0.27972027972027974,0.12142857142857143
102,SaltPepper,manWoman,vgg,40_60,bing,0.46056440472602844,0.03,0.23321556,0.2727272727272727,0.19285714285714287
103,SaltPepper,manWoman,vgg,40_60,bing,0.429694265127182,0.04,0.26501766,0.2727272727272727,0.2571428571428571
104,SaltPepper,manWoman,vgg,40_60,bing,0.4062040448188782,0.05,0.26501766,0.25874125874125875,0.2714285714285714
105,SaltPepper,manWoman,vgg,40_60,bing,0.3871499001979828,0.06,0.29681978,0.27972027972027974,0.3142857142857143
106,SaltPepper,manWoman,vgg,40_60,bing,0.37091442942619324,0.07,0.32155478,0.27972027972027974,0.36428571428571427
107,SaltPepper,manWoman,vgg,40_60,bing,0.3567865192890167,0.08,0.29328623,0.3006993006993007,0.2857142857142857
108,SaltPepper,manWoman,vgg,40_60,bing,0.34415096044540405,0.09,0.3074205,0.25874125874125875,0.35714285714285715
109,SaltPepper,manWoman,vgg,40_60,bing,0.33284974098205566,0.1,0.34628975,0.3146853146853147,0.37857142857142856
110,SaltPepper,manWoman,vgg,50_50,bing,0.581670880317688,0.01,0.12676056,0.16083916083916083,0.09219858156028368
111,SaltPepper,manWoman,vgg,50_50,bing,0.5055383443832397,0.02,0.1971831,0.17482517482517482,0.2198581560283688
112,SaltPepper,manWoman,vgg,50_50,bing,0.46056440472602844,0.03,0.24295774,0.1958041958041958,0.2907801418439716
113,SaltPepper,manWoman,vgg,50_50,bing,0.429694265127182,0.04,0.278169,0.1888111888111888,0.36879432624113473
114,SaltPepper,manWoman,vgg,50_50,bing,0.4062040448188782,0.05,0.28521127,0.18181818181818182,0.3900709219858156
115,SaltPepper,manWoman,vgg,50_50,bing,0.3871499001979828,0.06,0.31338027,0.1958041958041958,0.4326241134751773
116,SaltPepper,manWoman,vgg,50_50,bing,0.37091442942619324,0.07,0.32394364,0.23076923076923078,0.41843971631205673
117,SaltPepper,manWoman,vgg,50_50,bing,0.3567865192890167,0.08,0.33450705,0.23076923076923078,0.4397163120567376
118,SaltPepper,manWoman,vgg,50_50,bing,0.34415096044540405,0.09,0.3274648,0.21678321678321677,0.4397163120567376
119,SaltPepper,manWoman,vgg,50_50,bing,0.33284974098205566,0.1,0.3556338,0.23076923076923078,0.48226950354609927
120,SaltPepper,manWoman,alexnet,20_80,google,0.5545653104782104,0.01,0.16460904,0.3786407766990291,0.007142857142857143
121,SaltPepper,manWoman,alexnet,20_80,google,0.4651433527469635,0.02,0.20987654,0.47572815533980584,0.014285714285714285
122,SaltPepper,manWoman,alexnet,20_80,google,0.41693010926246643,0.03,0.23868312,0.5631067961165048,0.0
123,SaltPepper,manWoman,alexnet,20_80,google,0.3853456676006317,0.04,0.27983537,0.6601941747572816,0.0
124,SaltPepper,manWoman,alexnet,20_80,google,0.3622927665710449,0.05,0.3127572,0.7378640776699029,0.0
125,SaltPepper,manWoman,alexnet,20_80,google,0.3437558114528656,0.06,0.34567901,0.8155339805825242,0.0
