,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,Square,manWoman,alexnet,20_80,bing,0.7056599855422974,0.1,0.116279066,0.08771929824561403,0.1388888888888889
1,Square,manWoman,alexnet,20_80,bing,0.5760146975517273,0.2,0.089147285,0.10526315789473684,0.0763888888888889
2,Square,manWoman,alexnet,20_80,bing,0.5123801827430725,0.3,0.18604651,0.10526315789473684,0.25
3,Square,manWoman,alexnet,30_70,bing,0.6904409527778625,0.1,0.08301887,0.12903225806451613,0.0425531914893617
4,Square,manWoman,alexnet,30_70,bing,0.5537616610527039,0.2,0.16981132,0.21774193548387097,0.1276595744680851
5,Square,manWoman,alexnet,30_70,bing,0.46617382764816284,0.3,0.21132076,0.24193548387096775,0.18439716312056736
6,Square,manWoman,alexnet,40_60,bing,0.6377514600753784,0.1,0.11231884,0.07971014492753623,0.14492753623188406
7,Square,manWoman,alexnet,40_60,bing,0.4866620600223541,0.2,0.2536232,0.21739130434782608,0.2898550724637681
8,Square,manWoman,alexnet,40_60,bing,0.3969287574291229,0.3,0.30072466,0.32608695652173914,0.2753623188405797
9,Square,manWoman,alexnet,50_50,bing,0.6254464983940125,0.1,0.0992647,0.12949640287769784,0.06766917293233082
10,Square,manWoman,alexnet,50_50,bing,0.47103214263916016,0.2,0.24264707,0.2733812949640288,0.21052631578947367
11,Square,manWoman,alexnet,50_50,bing,0.3809874355792999,0.3,0.33088234,0.35251798561151076,0.3082706766917293
12,Square,manWoman,resnet,20_80,bing,0.7117164731025696,0.1,0.06137184,0.06818181818181818,0.05517241379310345
13,Square,manWoman,resnet,20_80,bing,0.5774217247962952,0.2,0.06859206,0.10606060606060606,0.034482758620689655
14,Square,manWoman,resnet,20_80,bing,0.5050390958786011,0.3,0.09747292,0.14393939393939395,0.05517241379310345
15,Square,manWoman,resnet,30_70,bing,0.692621648311615,0.1,0.066433564,0.05673758865248227,0.07586206896551724
16,Square,manWoman,resnet,30_70,bing,0.550926685333252,0.2,0.115384616,0.16312056737588654,0.06896551724137931
17,Square,manWoman,resnet,30_70,bing,0.46764740347862244,0.3,0.11888112,0.1773049645390071,0.06206896551724138
18,Square,manWoman,resnet,40_60,bing,0.6761329770088196,0.1,0.07042253,0.04895104895104895,0.09219858156028368
19,Square,manWoman,resnet,40_60,bing,0.5203485488891602,0.2,0.13028169,0.13986013986013987,0.12056737588652482
20,Square,manWoman,resnet,40_60,bing,0.44586703181266785,0.3,0.112676054,0.11888111888111888,0.10638297872340426
21,Square,manWoman,resnet,50_50,bing,0.5841990113258362,0.1,0.14930555,0.0958904109589041,0.20422535211267606
22,Square,manWoman,resnet,50_50,bing,0.3867623507976532,0.2,0.2013889,0.13013698630136986,0.2746478873239437
23,Square,manWoman,resnet,50_50,bing,0.2891237735748291,0.3,0.3576389,0.1506849315068493,0.5704225352112676
24,Square,manWoman,vgg,20_80,bing,0.6828871369361877,0.1,0.09386282,0.16541353383458646,0.027777777777777776
