,attack,model,dataset,balance,best_eps
0,BIM,alexnet,bing,20_80,0.3
1,BIM,alexnet,bing,30_70,0.3
2,BIM,alexnet,bing,40_60,0.3
3,BIM,alexnet,bing,50_50,0.3
4,BIM,resnet,bing,20_80,0.3
5,BIM,resnet,bing,30_70,0.3
6,BIM,resnet,bing,40_60,0.3
7,BIM,resnet,bing,50_50,0.3
8,BIM,vgg,bing,20_80,0.3
9,BIM,vgg,bing,30_70,0.25
10,BIM,vgg,bing,40_60,0.2
11,BIM,vgg,bing,50_50,0.1
12,BIM,alexnet,google,20_80,0.3
13,BIM,alexnet,google,30_70,0.3
14,BIM,alexnet,google,40_60,0.3
15,BIM,alexnet,google,50_50,0.3
16,BIM,resnet,google,20_80,0.3
17,BIM,resnet,google,30_70,0.3
18,BIM,resnet,google,40_60,0.3
19,BIM,resnet,google,50_50,0.3
20,BIM,vgg,google,20_80,0.25
21,BIM,vgg,google,30_70,0.2
22,BIM,vgg,google,40_60,0.3
23,BIM,vgg,google,50_50,0.1
24,BoxBlur,alexnet,bing,20_80,7.0
25,BoxBlur,alexnet,bing,30_70,7.0
26,BoxBlur,alexnet,bing,40_60,7.0
27,BoxBlur,alexnet,bing,50_50,7.0
28,BoxBlur,resnet,bing,20_80,7.0
29,BoxBlur,resnet,bing,30_70,7.0
30,BoxBlur,resnet,bing,40_60,7.0
31,BoxBlur,resnet,bing,50_50,7.0
32,BoxBlur,vgg,bing,20_80,7.0
33,BoxBlur,vgg,bing,30_70,7.0
34,BoxBlur,vgg,bing,40_60,7.0
35,BoxBlur,vgg,bing,50_50,7.0
36,BoxBlur,alexnet,google,20_80,9.0
37,BoxBlur,alexnet,google,30_70,9.0
38,BoxBlur,alexnet,google,40_60,9.0
39,BoxBlur,alexnet,google,50_50,9.0
40,BoxBlur,resnet,google,20_80,9.0
41,BoxBlur,resnet,google,30_70,9.0
42,BoxBlur,resnet,google,40_60,9.0
43,BoxBlur,resnet,google,50_50,9.0
44,BoxBlur,vgg,google,20_80,9.0
45,BoxBlur,vgg,google,30_70,9.0
46,BoxBlur,vgg,google,40_60,9.0
47,BoxBlur,vgg,google,50_50,9.0
48,DeepFool,alexnet,bing,20_80,10.0
49,DeepFool,alexnet,bing,30_70,70.0
50,DeepFool,alexnet,bing,40_60,50.0
51,DeepFool,alexnet,bing,50_50,90.0
52,DeepFool,resnet,bing,20_80,70.0
53,DeepFool,resnet,bing,30_70,30.0
54,DeepFool,resnet,bing,40_60,20.0
55,DeepFool,resnet,bing,50_50,40.0
56,DeepFool,vgg,bing,20_80,50.0
57,DeepFool,vgg,bing,30_70,50.0
58,DeepFool,vgg,bing,40_60,70.0
59,DeepFool,vgg,bing,50_50,90.0
60,DeepFool,alexnet,google,20_80,100.0
61,DeepFool,alexnet,google,30_70,90.0
62,DeepFool,alexnet,google,40_60,100.0
63,DeepFool,alexnet,google,50_50,70.0
64,DeepFool,resnet,google,20_80,30.0
65,DeepFool,resnet,google,30_70,80.0
66,DeepFool,resnet,google,40_60,100.0
67,DeepFool,resnet,google,50_50,100.0
68,DeepFool,vgg,google,20_80,100.0
69,DeepFool,vgg,google,30_70,100.0
70,DeepFool,vgg,google,40_60,100.0
