,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
0,bing,alexnet,bing,20/80,FGSM,0.98373586
1,bing,alexnet,bing,30/70,FGSM,0.99104476
2,bing,alexnet,bing,40/60,FGSM,0.9905332
3,bing,alexnet,bing,50/50,FGSM,0.9920319
4,bing,resnet,bing,20/80,FGSM,0.9886195
5,bing,resnet,bing,30/70,FGSM,0.99352914
6,bing,resnet,bing,40/60,FGSM,0.995015
7,bing,resnet,bing,50/50,FGSM,0.995005
8,bing,vgg,bing,20/80,FGSM,0.98959875
9,bing,vgg,bing,30/70,FGSM,0.9920398
10,bing,vgg,bing,40/60,FGSM,0.99254096
11,bing,vgg,bing,50/50,FGSM,0.9920319
12,bing,alexnet,google,20/80,FGSM,0.9779951
13,bing,alexnet,google,30/70,FGSM,0.9808165
14,bing,alexnet,google,40/60,FGSM,0.9871287
15,bing,alexnet,google,50/50,FGSM,0.9860835
16,bing,resnet,google,20/80,FGSM,0.9856931
17,bing,resnet,google,30/70,FGSM,0.9930349
18,bing,resnet,google,40/60,FGSM,0.9935033
19,bing,resnet,google,50/50,FGSM,0.992993
20,bing,vgg,google,20/80,FGSM,0.98470646
21,bing,vgg,google,30/70,FGSM,0.99105364
22,bing,vgg,google,40/60,FGSM,0.99104476
23,bing,vgg,google,50/50,FGSM,0.99202394
24,bing,alexnet,bing,20/80,PGD,0.9827161
25,bing,alexnet,bing,30/70,PGD,0.9885856
26,bing,alexnet,bing,40/60,PGD,0.99052364
27,bing,alexnet,bing,50/50,PGD,0.9930209
28,bing,resnet,bing,20/80,PGD,0.98911965
29,bing,resnet,bing,30/70,PGD,0.99154645
30,bing,resnet,bing,40/60,PGD,0.99352264
31,bing,resnet,bing,50/50,PGD,0.99451375
32,bing,vgg,bing,20/80,PGD,0.99007934
33,bing,vgg,bing,30/70,PGD,0.99254847
34,bing,vgg,bing,40/60,PGD,0.9920398
35,bing,vgg,bing,50/50,PGD,0.994012
36,bing,alexnet,google,20/80,PGD,0.986166
37,bing,alexnet,google,30/70,PGD,0.98375183
38,bing,alexnet,google,40/60,PGD,0.988107
39,bing,alexnet,google,50/50,PGD,0.9861249
40,bing,resnet,google,20/80,PGD,0.9871668
41,bing,resnet,google,30/70,PGD,0.9905707
42,bing,resnet,google,40/60,PGD,0.99301404
43,bing,resnet,google,50/50,PGD,0.99148726
44,bing,vgg,google,20/80,PGD,0.99009895
45,bing,vgg,google,30/70,PGD,0.99056137
46,bing,vgg,google,40/60,PGD,0.99154645
47,bing,vgg,google,50/50,PGD,0.99052364
48,bing,alexnet,bing,20/80,adaptive,0.9531549
49,bing,alexnet,bing,30/70,adaptive,0.6666667
50,bing,alexnet,bing,40/60,adaptive,0.980866
51,bing,alexnet,bing,50/50,adaptive,0.9869478
52,bing,resnet,bing,20/80,adaptive,0.9899397
53,bing,resnet,bing,30/70,adaptive,0.993007
54,bing,resnet,bing,40/60,adaptive,0.99246603
55,bing,resnet,bing,50/50,adaptive,0.9944917
56,bing,vgg,bing,20/80,adaptive,0.9910626
57,bing,vgg,bing,30/70,adaptive,0.9915549
58,bing,vgg,bing,40/60,adaptive,0.9904666
59,bing,vgg,bing,50/50,adaptive,0.994012
60,bing,alexnet,google,20/80,adaptive,0.96518373
61,bing,alexnet,google,30/70,adaptive,0.6666667
62,bing,alexnet,google,40/60,adaptive,0.977978
63,bing,alexnet,google,50/50,adaptive,0.98107576
64,bing,resnet,google,20/80,adaptive,0.99153817
65,bing,resnet,google,30/70,adaptive,0.99200803
66,bing,resnet,google,40/60,adaptive,0.99297893
67,bing,resnet,google,50/50,adaptive,0.99348366
68,bing,vgg,google,20/80,adaptive,0.9871287
69,bing,vgg,google,30/70,adaptive,0.9910359
70,bing,vgg,google,40/60,adaptive,0.99102694
71,bing,vgg,google,50/50,adaptive,0.9904952
72,bing,alexnet,bing,20/80,curriculum,0.9793308
73,bing,alexnet,bing,30/70,curriculum,0.9851632
74,bing,alexnet,bing,40/60,curriculum,0.98952615
75,bing,alexnet,bing,50/50,curriculum,0.9904858
76,bing,resnet,bing,20/80,curriculum,0.9895885
77,bing,resnet,bing,30/70,curriculum,0.9940299
78,bing,resnet,bing,40/60,curriculum,0.9945027
79,bing,resnet,bing,50/50,curriculum,0.99500996
80,bing,vgg,bing,20/80,curriculum,0.99107146
81,bing,vgg,bing,30/70,curriculum,0.9925336
82,bing,vgg,bing,40/60,curriculum,0.9925261
83,bing,vgg,bing,50/50,curriculum,0.994006
84,bing,alexnet,google,20/80,curriculum,0.9851632
85,bing,alexnet,google,30/70,curriculum,0.9880478
86,bing,alexnet,google,40/60,curriculum,0.9860973
87,bing,alexnet,google,50/50,curriculum,0.98513377
88,bing,resnet,google,20/80,curriculum,0.9910626
89,bing,resnet,google,30/70,curriculum,0.99352264
90,bing,resnet,google,40/60,curriculum,0.9924962
91,bing,resnet,google,50/50,curriculum,0.994006
92,bing,vgg,google,20/80,curriculum,0.9905801
93,bing,vgg,google,30/70,curriculum,0.9920556
94,bing,vgg,google,40/60,curriculum,0.9925336
95,bing,vgg,google,50/50,curriculum,0.9940299
96,bing,alexnet,bing,20/80,ensamble,0.9822485
97,bing,alexnet,bing,30/70,ensamble,0.98807156
98,bing,alexnet,bing,40/60,ensamble,0.9900398
99,bing,alexnet,bing,50/50,ensamble,0.98746866
100,bing,resnet,bing,20/80,ensamble,0.9886195
101,bing,resnet,bing,30/70,ensamble,0.9940299
102,bing,resnet,bing,40/60,ensamble,0.9925188
103,bing,resnet,bing,50/50,ensamble,0.99451375
104,bing,vgg,bing,20/80,ensamble,0.9890981
105,bing,vgg,bing,30/70,ensamble,0.99254847
106,bing,vgg,bing,40/60,ensamble,0.9930278
107,bing,vgg,bing,50/50,ensamble,0.9940299
108,bing,alexnet,google,20/80,ensamble,0.9832016
109,bing,alexnet,google,30/70,ensamble,0.9856506
110,bing,alexnet,google,40/60,ensamble,0.98420537
111,bing,alexnet,google,50/50,ensamble,0.98657376
112,bing,resnet,google,20/80,ensamble,0.9866798
113,bing,resnet,google,30/70,ensamble,0.9910626
114,bing,resnet,google,40/60,ensamble,0.992016
115,bing,resnet,google,50/50,ensamble,0.9924962
116,bing,vgg,google,20/80,ensamble,0.9891089
117,bing,vgg,google,30/70,ensamble,0.99105364
118,bing,vgg,google,40/60,ensamble,0.99056137
119,bing,vgg,google,50/50,ensamble,0.99254096
120,bing,alexnet,bing,20/80,gaussian,0.98760533
121,bing,alexnet,bing,30/70,gaussian,0.99056137
122,bing,alexnet,bing,40/60,gaussian,0.99052364
123,bing,alexnet,bing,50/50,gaussian,0.99102694
124,bing,resnet,bing,20/80,gaussian,0.9876543
125,bing,resnet,bing,30/70,gaussian,0.9905801
126,bing,resnet,bing,40/60,gaussian,0.9950199
127,bing,resnet,bing,50/50,gaussian,0.995015
128,bing,vgg,bing,20/80,gaussian,0.99107146
129,bing,vgg,bing,30/70,gaussian,0.9930418
130,bing,vgg,bing,40/60,gaussian,0.99254096
131,bing,vgg,bing,50/50,gaussian,0.9925336
132,bing,alexnet,google,20/80,gaussian,0.9737098
133,bing,alexnet,google,30/70,gaussian,0.98511904
134,bing,alexnet,google,40/60,gaussian,0.9875808
135,bing,alexnet,google,50/50,gaussian,0.9875312
136,bing,resnet,google,20/80,gaussian,0.98039216
137,bing,resnet,google,30/70,gaussian,0.9905707
138,bing,resnet,google,40/60,gaussian,0.994012
139,bing,resnet,google,50/50,gaussian,0.9894842
140,bing,vgg,google,20/80,gaussian,0.9861933
141,bing,vgg,google,30/70,gaussian,0.99056137
142,bing,vgg,google,40/60,gaussian,0.99104476
143,bing,vgg,google,50/50,gaussian,0.99002993
144,bing,alexnet,bing,20/80,nonMath,0.98807156
145,bing,alexnet,bing,30/70,nonMath,0.9905332
146,bing,alexnet,bing,40/60,nonMath,0.99147874
147,bing,alexnet,bing,50/50,nonMath,0.9909729
148,bing,resnet,bing,20/80,nonMath,0.98911965
149,bing,resnet,bing,30/70,nonMath,0.9925336
150,bing,resnet,bing,40/60,nonMath,0.99600804
151,bing,resnet,bing,50/50,nonMath,0.995
152,bing,vgg,bing,20/80,nonMath,0.99156326
153,bing,vgg,bing,30/70,nonMath,0.99152964
154,bing,vgg,bing,40/60,nonMath,0.99153817
155,bing,vgg,bing,50/50,nonMath,0.9930278
156,bing,alexnet,google,20/80,nonMath,0.97987235
157,bing,alexnet,google,30/70,nonMath,0.98709035
158,bing,alexnet,google,40/60,nonMath,0.9842209
159,bing,alexnet,google,50/50,nonMath,0.9880478
160,bing,resnet,google,20/80,nonMath,0.98959875
161,bing,resnet,google,30/70,nonMath,0.99153817
162,bing,resnet,google,40/60,nonMath,0.9915128
163,bing,resnet,google,50/50,nonMath,0.9924962
164,bing,vgg,google,20/80,nonMath,0.9905707
165,bing,vgg,google,30/70,nonMath,0.9920556
166,bing,vgg,google,40/60,nonMath,0.99055195
167,bing,vgg,google,50/50,nonMath,0.991018
168,bing,alexnet,bing,20/80,saltPepper,0.9890873
169,bing,alexnet,bing,30/70,saltPepper,0.9920398
170,bing,alexnet,bing,40/60,saltPepper,0.992016
171,bing,alexnet,bing,50/50,saltPepper,0.99401796
172,bing,resnet,bing,20/80,saltPepper,0.9866667
173,bing,resnet,bing,30/70,saltPepper,0.9940299
174,bing,resnet,bing,40/60,saltPepper,0.99500996
175,bing,resnet,bing,50/50,saltPepper,0.9965052
176,bing,vgg,bing,20/80,saltPepper,0.9895885
177,bing,vgg,bing,30/70,saltPepper,0.99254096
178,bing,vgg,bing,40/60,saltPepper,0.99254096
179,bing,vgg,bing,50/50,saltPepper,0.99401796
180,bing,alexnet,google,20/80,saltPepper,0.9823183
181,bing,alexnet,google,30/70,saltPepper,0.9876299
182,bing,alexnet,google,40/60,saltPepper,0.9871287
183,bing,alexnet,google,50/50,saltPepper,0.9885515
184,bing,resnet,google,20/80,saltPepper,0.9866667
185,bing,resnet,google,30/70,saltPepper,0.9905707
186,bing,resnet,google,40/60,saltPepper,0.993007
187,bing,resnet,google,50/50,saltPepper,0.9934902
188,bing,vgg,google,20/80,saltPepper,0.9861933
189,bing,vgg,google,30/70,saltPepper,0.99105364
190,bing,vgg,google,40/60,saltPepper,0.99153817
191,bing,vgg,google,50/50,saltPepper,0.99152964
192,bing,alexnet,bing,20/80,surrogate,0.9808165
193,bing,alexnet,bing,30/70,surrogate,0.9904952
194,bing,alexnet,bing,40/60,surrogate,0.98852867
195,bing,alexnet,bing,50/50,surrogate,0.99002
196,bing,resnet,bing,20/80,surrogate,0.99107146
197,bing,resnet,bing,30/70,surrogate,0.9925336
198,bing,resnet,bing,40/60,surrogate,0.99451375
199,bing,resnet,bing,50/50,surrogate,0.994006
200,bing,vgg,bing,20/80,surrogate,0.99156326
201,bing,vgg,bing,30/70,surrogate,0.9930349
202,bing,vgg,bing,40/60,surrogate,0.9925336
203,bing,vgg,bing,50/50,surrogate,0.9930209
204,bing,alexnet,google,20/80,surrogate,0.97558594
205,bing,alexnet,google,30/70,surrogate,0.9851779
206,bing,alexnet,google,40/60,surrogate,0.9871159
207,bing,alexnet,google,50/50,surrogate,0.9871032
208,bing,resnet,google,20/80,surrogate,0.9866798
209,bing,resnet,google,30/70,surrogate,0.9900596
210,bing,resnet,google,40/60,surrogate,0.99202394
211,bing,resnet,google,50/50,surrogate,0.993994
212,bing,vgg,google,20/80,surrogate,0.9890981
213,bing,vgg,google,30/70,surrogate,0.99056137
214,bing,vgg,google,40/60,surrogate,0.99056137
215,bing,vgg,google,50/50,surrogate,0.99102694
216,google,alexnet,bing,20/80,FGSM,0.962748
217,google,alexnet,bing,30/70,FGSM,0.97005403
218,google,alexnet,bing,40/60,FGSM,0.9729729
219,google,alexnet,bing,50/50,FGSM,0.97286636
220,google,resnet,bing,20/80,FGSM,0.9708455
221,google,resnet,bing,30/70,FGSM,0.9817644
222,google,resnet,bing,40/60,FGSM,0.9871287
223,google,resnet,bing,50/50,FGSM,0.985986
224,google,vgg,bing,20/80,FGSM,0.9740578
225,google,vgg,bing,30/70,FGSM,0.97633135
226,google,vgg,bing,40/60,FGSM,0.9815461
227,google,vgg,bing,50/50,FGSM,0.98301697
228,google,alexnet,google,20/80,FGSM,0.9576108
229,google,alexnet,google,30/70,FGSM,0.96730113
230,google,alexnet,google,40/60,FGSM,0.97621405
231,google,alexnet,google,50/50,FGSM,0.9776896
232,google,resnet,google,20/80,FGSM,0.9718173
233,google,resnet,google,30/70,FGSM,0.986166
234,google,resnet,google,40/60,FGSM,0.9890873
235,google,resnet,google,50/50,FGSM,0.989
236,google,vgg,google,20/80,FGSM,0.96518373
237,google,vgg,google,30/70,FGSM,0.9846306
238,google,vgg,google,40/60,FGSM,0.98807156
239,google,vgg,google,50/50,FGSM,0.988
240,google,alexnet,bing,20/80,PGD,0.96178037
241,google,alexnet,bing,30/70,PGD,0.97014195
242,google,alexnet,bing,40/60,PGD,0.9727318
243,google,alexnet,bing,50/50,PGD,0.9741035
244,google,resnet,bing,20/80,PGD,0.9718173
245,google,resnet,bing,30/70,PGD,0.9793104
246,google,resnet,bing,40/60,PGD,0.98214287
247,google,resnet,bing,50/50,PGD,0.98198205
248,google,vgg,bing,20/80,PGD,0.9711774
249,google,vgg,bing,30/70,PGD,0.979713
250,google,vgg,bing,40/60,PGD,0.98161954
251,google,vgg,bing,50/50,PGD,0.9864526
252,google,alexnet,google,20/80,PGD,0.9641981
253,google,alexnet,google,30/70,PGD,0.97162426
254,google,alexnet,google,40/60,PGD,0.9722222
255,google,alexnet,google,50/50,PGD,0.973399
256,google,resnet,google,20/80,PGD,0.9718173
257,google,resnet,google,30/70,PGD,0.9852071
258,google,resnet,google,40/60,PGD,0.9876299
259,google,resnet,google,50/50,PGD,0.9874812
260,google,vgg,google,20/80,PGD,0.9717348
261,google,vgg,google,30/70,PGD,0.98075974
262,google,vgg,google,40/60,PGD,0.9855793
263,google,vgg,google,50/50,PGD,0.98749375
264,google,alexnet,bing,20/80,adaptive,0.9400095
265,google,alexnet,bing,30/70,adaptive,0.6666667
266,google,alexnet,bing,40/60,adaptive,0.95612705
267,google,alexnet,bing,50/50,adaptive,0.9684842
268,google,resnet,bing,20/80,adaptive,0.9666667
269,google,resnet,bing,30/70,adaptive,0.98450774
270,google,resnet,bing,40/60,adaptive,0.9757576
271,google,resnet,bing,50/50,adaptive,0.98050976
272,google,vgg,bing,20/80,adaptive,0.97551423
273,google,vgg,bing,30/70,adaptive,0.9770396
274,google,vgg,bing,40/60,adaptive,0.9824032
275,google,vgg,bing,50/50,adaptive,0.9830509
276,google,alexnet,google,20/80,adaptive,0.9531549
277,google,alexnet,google,30/70,adaptive,0.6666667
278,google,alexnet,google,40/60,adaptive,0.9654828
279,google,alexnet,google,50/50,adaptive,0.9688889
280,google,resnet,google,20/80,adaptive,0.98466104
281,google,resnet,google,30/70,adaptive,0.99009895
282,google,resnet,google,40/60,adaptive,0.98344207
283,google,resnet,google,50/50,adaptive,0.98801196
284,google,vgg,google,20/80,adaptive,0.9774067
285,google,vgg,google,30/70,adaptive,0.987556
286,google,vgg,google,40/60,adaptive,0.9885057
287,google,vgg,google,50/50,adaptive,0.9874812
288,google,alexnet,bing,20/80,curriculum,0.96089935
289,google,alexnet,bing,30/70,curriculum,0.9685658
290,google,alexnet,bing,40/60,curriculum,0.97720516
291,google,alexnet,bing,50/50,curriculum,0.9758552
292,google,resnet,bing,20/80,curriculum,0.9730788
293,google,resnet,bing,30/70,curriculum,0.9817644
294,google,resnet,bing,40/60,curriculum,0.98604184
295,google,resnet,bing,50/50,curriculum,0.9875062
296,google,vgg,bing,20/80,curriculum,0.9764244
297,google,vgg,bing,30/70,curriculum,0.9807027
298,google,vgg,bing,40/60,curriculum,0.98455405
299,google,vgg,bing,50/50,curriculum,0.98450774
300,google,alexnet,google,20/80,curriculum,0.9663578
301,google,alexnet,google,30/70,curriculum,0.9756824
302,google,alexnet,google,40/60,curriculum,0.9746898
303,google,alexnet,google,50/50,curriculum,0.9738788
304,google,resnet,google,20/80,curriculum,0.9784314
305,google,resnet,google,30/70,curriculum,0.9856931
306,google,resnet,google,40/60,curriculum,0.988107
307,google,resnet,google,50/50,curriculum,0.98907644
308,google,vgg,google,20/80,curriculum,0.9803149
309,google,vgg,google,30/70,curriculum,0.98464584
310,google,vgg,google,40/60,curriculum,0.9890656
311,google,vgg,google,50/50,curriculum,0.9910359
312,google,alexnet,bing,20/80,ensamble,0.9636452
313,google,alexnet,bing,30/70,ensamble,0.97005403
314,google,alexnet,bing,40/60,ensamble,0.9732673
315,google,alexnet,bing,50/50,ensamble,0.9692696
316,google,resnet,bing,20/80,ensamble,0.97413373
317,google,resnet,bing,30/70,ensamble,0.9822135
318,google,resnet,bing,40/60,ensamble,0.9825784
319,google,resnet,bing,50/50,ensamble,0.98201793
320,google,vgg,bing,20/80,ensamble,0.9692832
321,google,vgg,bing,30/70,ensamble,0.979713
322,google,vgg,bing,40/60,ensamble,0.9825262
323,google,vgg,bing,50/50,ensamble,0.9854783
324,google,alexnet,google,20/80,ensamble,0.9624939
325,google,alexnet,google,30/70,ensamble,0.9721272
326,google,alexnet,google,40/60,ensamble,0.9750367
327,google,alexnet,google,50/50,ensamble,0.9767441
328,google,resnet,google,20/80,ensamble,0.9717625
329,google,resnet,google,30/70,ensamble,0.9842365
330,google,resnet,google,40/60,ensamble,0.98907644
331,google,resnet,google,50/50,ensamble,0.9910359
332,google,vgg,google,20/80,ensamble,0.9727361
333,google,vgg,google,30/70,ensamble,0.9827161
334,google,vgg,google,40/60,ensamble,0.98318493
335,google,vgg,google,50/50,ensamble,0.9865605
336,google,alexnet,bing,20/80,gaussian,0.9612403
337,google,alexnet,bing,30/70,gaussian,0.9678049
338,google,alexnet,bing,40/60,gaussian,0.9709217
339,google,alexnet,bing,50/50,gaussian,0.9742063
340,google,resnet,bing,20/80,gaussian,0.9666506
341,google,resnet,bing,30/70,gaussian,0.9749386
342,google,resnet,bing,40/60,gaussian,0.9817103
343,google,resnet,bing,50/50,gaussian,0.9845232
344,google,vgg,bing,20/80,gaussian,0.9730788
345,google,vgg,bing,30/70,gaussian,0.9777338
346,google,vgg,bing,40/60,gaussian,0.98107576
347,google,vgg,bing,50/50,gaussian,0.9835247
348,google,alexnet,google,20/80,gaussian,0.95480776
349,google,alexnet,google,30/70,gaussian,0.9693978
350,google,alexnet,google,40/60,gaussian,0.9711155
351,google,alexnet,google,50/50,gaussian,0.9801193
352,google,resnet,google,20/80,gaussian,0.96385545
353,google,resnet,google,30/70,gaussian,0.9847215
354,google,resnet,google,40/60,gaussian,0.98860824
355,google,resnet,google,50/50,gaussian,0.9875188
356,google,vgg,google,20/80,gaussian,0.9674599
357,google,vgg,google,30/70,gaussian,0.9826818
358,google,vgg,google,40/60,gaussian,0.98113203
359,google,vgg,google,50/50,gaussian,0.9835247
360,google,alexnet,bing,20/80,nonMath,0.96805894
361,google,alexnet,bing,30/70,nonMath,0.9685658
362,google,alexnet,bing,40/60,nonMath,0.97097105
363,google,alexnet,bing,50/50,nonMath,0.9713999
364,google,resnet,bing,20/80,nonMath,0.9745348
365,google,resnet,bing,30/70,nonMath,0.97920793
366,google,resnet,bing,40/60,nonMath,0.983639
367,google,resnet,bing,50/50,nonMath,0.9830509
368,google,vgg,bing,20/80,nonMath,0.9735553
369,google,vgg,bing,30/70,nonMath,0.98007965
370,google,vgg,bing,40/60,nonMath,0.9830509
371,google,vgg,bing,50/50,nonMath,0.9835083
372,google,alexnet,google,20/80,nonMath,0.9646146
373,google,alexnet,google,30/70,nonMath,0.97529644
374,google,alexnet,google,40/60,nonMath,0.97265625
375,google,alexnet,google,50/50,nonMath,0.9781094
376,google,resnet,google,20/80,nonMath,0.9789112
377,google,resnet,google,30/70,nonMath,0.9866667
378,google,resnet,google,40/60,nonMath,0.98956776
379,google,resnet,google,50/50,nonMath,0.9865202
380,google,vgg,google,20/80,nonMath,0.9788698
381,google,vgg,google,30/70,nonMath,0.9836715
382,google,vgg,google,40/60,nonMath,0.9880478
383,google,vgg,google,50/50,nonMath,0.9885057
384,google,alexnet,bing,20/80,saltPepper,0.9659201
385,google,alexnet,bing,30/70,saltPepper,0.9695481
386,google,alexnet,bing,40/60,saltPepper,0.97029704
387,google,alexnet,bing,50/50,saltPepper,0.97473997
388,google,resnet,bing,20/80,saltPepper,0.9699321
389,google,resnet,bing,30/70,saltPepper,0.9779087
390,google,resnet,bing,40/60,saltPepper,0.98566484
391,google,resnet,bing,50/50,saltPepper,0.9870259
392,google,vgg,bing,20/80,saltPepper,0.97162426
393,google,vgg,bing,30/70,saltPepper,0.9787654
394,google,vgg,bing,40/60,saltPepper,0.98160124
395,google,vgg,bing,50/50,saltPepper,0.9839519
396,google,alexnet,google,20/80,saltPepper,0.9584541
397,google,alexnet,google,30/70,saltPepper,0.9724681
398,google,alexnet,google,40/60,saltPepper,0.9767441
399,google,alexnet,google,50/50,saltPepper,0.9781746
400,google,resnet,google,20/80,saltPepper,0.9699321
401,google,resnet,google,30/70,saltPepper,0.98567903
402,google,resnet,google,40/60,saltPepper,0.988597
403,google,resnet,google,50/50,saltPepper,0.9894842
404,google,vgg,google,20/80,saltPepper,0.966586
405,google,vgg,google,30/70,saltPepper,0.98217815
406,google,vgg,google,40/60,saltPepper,0.9851042
407,google,vgg,google,50/50,saltPepper,0.98701304
408,google,alexnet,bing,20/80,surrogate,0.9602328
409,google,alexnet,bing,30/70,surrogate,0.9666501
410,google,alexnet,bing,40/60,surrogate,0.9713439
411,google,alexnet,bing,50/50,surrogate,0.9715142
412,google,resnet,bing,20/80,surrogate,0.9789112
413,google,resnet,bing,30/70,surrogate,0.98318493
414,google,resnet,bing,40/60,surrogate,0.98310137
415,google,resnet,bing,50/50,surrogate,0.983984
416,google,vgg,bing,20/80,surrogate,0.9773399
417,google,vgg,bing,30/70,surrogate,0.98263025
418,google,vgg,bing,40/60,surrogate,0.98210734
419,google,vgg,bing,50/50,surrogate,0.9864933
420,google,alexnet,google,20/80,surrogate,0.95535284
421,google,alexnet,google,30/70,surrogate,0.9716797
422,google,alexnet,google,40/60,surrogate,0.9777997
423,google,alexnet,google,50/50,surrogate,0.97815293
424,google,resnet,google,20/80,surrogate,0.9717899
425,google,resnet,google,30/70,surrogate,0.9852071
426,google,resnet,google,40/60,surrogate,0.9895885
427,google,resnet,google,50/50,surrogate,0.9905143
428,google,vgg,google,20/80,surrogate,0.9717073
429,google,vgg,google,30/70,surrogate,0.9812992
430,google,vgg,google,40/60,surrogate,0.98219585
431,google,vgg,google,50/50,surrogate,0.9855506
