,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
0,bing,alexnet,bing,20/80,FGSM,0.92783505
1,bing,alexnet,bing,30/70,FGSM,0.9446317
2,bing,alexnet,bing,40/60,FGSM,0.9381393
3,bing,alexnet,bing,50/50,FGSM,0.9566949
4,bing,resnet,bing,20/80,FGSM,0.96739656
5,bing,resnet,bing,30/70,FGSM,0.9782394
6,bing,resnet,bing,40/60,FGSM,0.97967273
7,bing,resnet,bing,50/50,FGSM,0.9819277
8,bing,vgg,bing,20/80,FGSM,0.9745348
9,bing,vgg,bing,30/70,FGSM,0.9797531
10,bing,vgg,bing,40/60,FGSM,0.9807027
11,bing,vgg,bing,50/50,FGSM,0.98150927
12,bing,alexnet,google,20/80,FGSM,0.9373814
13,bing,alexnet,google,30/70,FGSM,0.947571
14,bing,alexnet,google,40/60,FGSM,0.95510614
15,bing,alexnet,google,50/50,FGSM,0.95573443
16,bing,resnet,google,20/80,FGSM,0.9711774
17,bing,resnet,google,30/70,FGSM,0.9734252
18,bing,resnet,google,40/60,FGSM,0.9805292
19,bing,resnet,google,50/50,FGSM,0.9819277
20,bing,vgg,google,20/80,FGSM,0.97126156
21,bing,vgg,google,30/70,FGSM,0.977887
22,bing,vgg,google,40/60,FGSM,0.9776896
23,bing,vgg,google,50/50,FGSM,0.9819277
24,bing,alexnet,bing,20/80,PGD,0.9324516
25,bing,alexnet,bing,30/70,PGD,0.94151485
26,bing,alexnet,bing,40/60,PGD,0.95503426
27,bing,alexnet,bing,50/50,PGD,0.95825046
28,bing,resnet,bing,20/80,PGD,0.9703163
29,bing,resnet,bing,30/70,PGD,0.97880733
30,bing,resnet,bing,40/60,PGD,0.9816559
31,bing,resnet,bing,50/50,PGD,0.9819459
32,bing,vgg,bing,20/80,PGD,0.97265625
33,bing,vgg,bing,30/70,PGD,0.9788698
34,bing,vgg,bing,40/60,PGD,0.9811695
35,bing,vgg,bing,50/50,PGD,0.9835739
36,bing,alexnet,google,20/80,PGD,0.9238005
37,bing,alexnet,google,30/70,PGD,0.94777566
38,bing,alexnet,google,40/60,PGD,0.95327103
39,bing,alexnet,google,50/50,PGD,0.961
40,bing,resnet,google,20/80,PGD,0.97268295
41,bing,resnet,google,30/70,PGD,0.9787444
42,bing,resnet,google,40/60,PGD,0.9776008
43,bing,resnet,google,50/50,PGD,0.9778895
44,bing,vgg,google,20/80,PGD,0.97321
45,bing,vgg,google,30/70,PGD,0.9788698
46,bing,vgg,google,40/60,PGD,0.98310137
47,bing,vgg,google,50/50,PGD,0.9809045
48,bing,alexnet,bing,20/80,adaptive,0.9047836
49,bing,alexnet,bing,30/70,adaptive,0.931001
50,bing,alexnet,bing,40/60,adaptive,0.93621105
51,bing,alexnet,bing,50/50,adaptive,0.942631
52,bing,resnet,bing,20/80,adaptive,0.8832891
53,bing,resnet,bing,30/70,adaptive,0.9499752
54,bing,resnet,bing,40/60,adaptive,0.9498069
55,bing,resnet,bing,50/50,adaptive,0.9369025
56,bing,vgg,bing,20/80,adaptive,0.86169755
57,bing,vgg,bing,30/70,adaptive,0.9303857
58,bing,vgg,bing,40/60,adaptive,0.9589443
59,bing,vgg,bing,50/50,adaptive,0.95880896
60,bing,alexnet,google,20/80,adaptive,0.917987
61,bing,alexnet,google,30/70,adaptive,0.9338447
62,bing,alexnet,google,40/60,adaptive,0.9289461
63,bing,alexnet,google,50/50,adaptive,0.93771124
64,bing,resnet,google,20/80,adaptive,0.91068137
65,bing,resnet,google,30/70,adaptive,0.9527483
66,bing,resnet,google,40/60,adaptive,0.94317627
67,bing,resnet,google,50/50,adaptive,0.9544103
68,bing,vgg,google,20/80,adaptive,0.9344649
69,bing,vgg,google,30/70,adaptive,0.9568238
70,bing,vgg,google,40/60,adaptive,0.95540136
71,bing,vgg,google,50/50,adaptive,0.94250506
72,bing,alexnet,bing,20/80,curriculum,0.93049645
73,bing,alexnet,bing,30/70,curriculum,0.94987833
74,bing,alexnet,bing,40/60,curriculum,0.946446
75,bing,alexnet,bing,50/50,curriculum,0.9531486
76,bing,resnet,bing,20/80,curriculum,0.9725759
77,bing,resnet,bing,30/70,curriculum,0.9764244
78,bing,resnet,bing,40/60,curriculum,0.98002
79,bing,resnet,bing,50/50,curriculum,0.9805292
80,bing,vgg,bing,20/80,curriculum,0.96981496
81,bing,vgg,bing,30/70,curriculum,0.978849
82,bing,vgg,bing,40/60,curriculum,0.9816377
83,bing,vgg,bing,50/50,curriculum,0.97995985
84,bing,alexnet,google,20/80,curriculum,0.9288742
85,bing,alexnet,google,30/70,curriculum,0.9430502
86,bing,alexnet,google,40/60,curriculum,0.94946545
87,bing,alexnet,google,50/50,curriculum,0.95247626
88,bing,resnet,google,20/80,curriculum,0.9650145
89,bing,resnet,google,30/70,curriculum,0.97775584
90,bing,resnet,google,40/60,curriculum,0.9761431
91,bing,resnet,google,50/50,curriculum,0.9784892
92,bing,vgg,google,20/80,curriculum,0.9730259
93,bing,vgg,google,30/70,curriculum,0.9802176
94,bing,vgg,google,40/60,curriculum,0.9796121
95,bing,vgg,google,50/50,curriculum,0.9845387
96,bing,alexnet,bing,20/80,ensamble,0.938343
97,bing,alexnet,bing,30/70,ensamble,0.9446317
98,bing,alexnet,bing,40/60,ensamble,0.9510284
99,bing,alexnet,bing,50/50,ensamble,0.9556993
100,bing,resnet,bing,20/80,ensamble,0.969343
101,bing,resnet,bing,30/70,ensamble,0.97977304
102,bing,resnet,bing,40/60,ensamble,0.9810945
103,bing,resnet,bing,50/50,ensamble,0.9814908
104,bing,vgg,bing,20/80,ensamble,0.9689019
105,bing,vgg,bing,30/70,ensamble,0.977887
106,bing,vgg,bing,40/60,ensamble,0.9797531
107,bing,vgg,bing,50/50,ensamble,0.9815646
108,bing,alexnet,google,20/80,ensamble,0.9403272
109,bing,alexnet,google,30/70,ensamble,0.95125556
110,bing,alexnet,google,40/60,ensamble,0.95472443
111,bing,alexnet,google,50/50,ensamble,0.95743614
112,bing,resnet,google,20/80,ensamble,0.9660194
113,bing,resnet,google,30/70,ensamble,0.97924906
114,bing,resnet,google,40/60,ensamble,0.9760956
115,bing,resnet,google,50/50,ensamble,0.97995985
116,bing,vgg,google,20/80,ensamble,0.97315764
