,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
0,bing,alexnet,bing,20/80,FGSM,0.838485
1,bing,alexnet,bing,30/70,FGSM,0.86828816
2,bing,alexnet,bing,40/60,FGSM,0.89124155
3,bing,alexnet,bing,50/50,FGSM,0.89807975
4,bing,resnet,bing,20/80,FGSM,0.91128653
5,bing,resnet,bing,30/70,FGSM,0.9361084
6,bing,resnet,bing,40/60,FGSM,0.94458073
7,bing,resnet,bing,50/50,FGSM,0.95252377
8,bing,vgg,bing,20/80,FGSM,0.92191195
9,bing,vgg,bing,30/70,FGSM,0.93320423
10,bing,vgg,bing,40/60,FGSM,0.94273126
11,bing,vgg,bing,50/50,FGSM,0.9525731
12,bing,alexnet,google,20/80,FGSM,0.834065
13,bing,alexnet,google,30/70,FGSM,0.8720821
14,bing,alexnet,google,40/60,FGSM,0.8900936
15,bing,alexnet,google,50/50,FGSM,0.88866293
16,bing,resnet,google,20/80,FGSM,0.8834908
17,bing,resnet,google,30/70,FGSM,0.92395985
18,bing,resnet,google,40/60,FGSM,0.93891627
19,bing,resnet,google,50/50,FGSM,0.9401623
20,bing,vgg,google,20/80,FGSM,0.895386
21,bing,vgg,google,30/70,FGSM,0.92722887
22,bing,vgg,google,40/60,FGSM,0.9443893
23,bing,vgg,google,50/50,FGSM,0.9406994
24,bing,alexnet,bing,20/80,PGD,0.85272
25,bing,alexnet,bing,30/70,PGD,0.8744789
26,bing,alexnet,bing,40/60,PGD,0.8989413
27,bing,alexnet,bing,50/50,PGD,0.8977384
28,bing,resnet,bing,20/80,PGD,0.9158531
29,bing,resnet,bing,30/70,PGD,0.9350649
30,bing,resnet,bing,40/60,PGD,0.9457213
31,bing,resnet,bing,50/50,PGD,0.95556664
32,bing,vgg,bing,20/80,PGD,0.91737086
33,bing,vgg,bing,30/70,PGD,0.9349515
34,bing,vgg,bing,40/60,PGD,0.95200396
35,bing,vgg,bing,50/50,PGD,0.95573443
36,bing,alexnet,google,20/80,PGD,0.8193493
37,bing,alexnet,google,30/70,PGD,0.8707865
38,bing,alexnet,google,40/60,PGD,0.88142294
39,bing,alexnet,google,50/50,PGD,0.87621987
40,bing,resnet,google,20/80,PGD,0.8898958
41,bing,resnet,google,30/70,PGD,0.92470026
42,bing,resnet,google,40/60,PGD,0.9382716
43,bing,resnet,google,50/50,PGD,0.9352371
44,bing,vgg,google,20/80,PGD,0.8926297
45,bing,vgg,google,30/70,PGD,0.9306162
46,bing,vgg,google,40/60,PGD,0.9460539
47,bing,vgg,google,50/50,PGD,0.9427848
48,bing,alexnet,bing,20/80,adaptive,0.81252646
49,bing,alexnet,bing,30/70,adaptive,0.84686345
50,bing,alexnet,bing,40/60,adaptive,0.8640633
51,bing,alexnet,bing,50/50,adaptive,0.90953547
52,bing,resnet,bing,20/80,adaptive,0.85510474
53,bing,resnet,bing,30/70,adaptive,0.88200986
54,bing,resnet,bing,40/60,adaptive,0.8982725
55,bing,resnet,bing,50/50,adaptive,0.90435654
56,bing,vgg,bing,20/80,adaptive,0.81500006
57,bing,vgg,bing,30/70,adaptive,0.87735415
58,bing,vgg,bing,40/60,adaptive,0.89888775
59,bing,vgg,bing,50/50,adaptive,0.89165014
60,bing,alexnet,google,20/80,adaptive,0.7478128
61,bing,alexnet,google,30/70,adaptive,0.83292264
62,bing,alexnet,google,40/60,adaptive,0.8633994
63,bing,alexnet,google,50/50,adaptive,0.8593674
64,bing,resnet,google,20/80,adaptive,0.85030997
65,bing,resnet,google,30/70,adaptive,0.8670855
66,bing,resnet,google,40/60,adaptive,0.88747555
