,source_dataset,target_model,target_dataset,target_balancing,baseline_f1
0,bing,alexnet,bing,20/80,0.97937137
1,bing,alexnet,bing,30/70,0.98760533
2,bing,alexnet,bing,40/60,0.99002
3,bing,alexnet,bing,50/50,0.99148726
4,bing,resnet,bing,20/80,0.9866798
5,bing,resnet,bing,30/70,0.9891089
6,bing,resnet,bing,40/60,0.99451923
7,bing,resnet,bing,50/50,0.9955067
8,bing,vgg,bing,20/80,0.99107146
9,bing,vgg,bing,30/70,0.9900695
10,bing,vgg,bing,40/60,0.9930349
11,bing,vgg,bing,50/50,0.9925112
12,bing,alexnet,google,20/80,0.97321
13,bing,alexnet,google,30/70,0.98226607
14,bing,alexnet,google,40/60,0.98759305
15,bing,alexnet,google,50/50,0.9885401
16,bing,resnet,google,20/80,0.9832347
17,bing,resnet,google,30/70,0.9890981
18,bing,resnet,google,40/60,0.99301404
19,bing,resnet,google,50/50,0.99047613
20,bing,vgg,google,20/80,0.98714143
21,bing,vgg,google,30/70,0.99153817
22,bing,vgg,google,40/60,0.99153817
23,bing,vgg,google,50/50,0.991018
24,google,alexnet,bing,20/80,0.9614272
25,google,alexnet,bing,30/70,0.9629268
26,google,alexnet,bing,40/60,0.97125864
27,google,alexnet,bing,50/50,0.96641606
28,google,resnet,bing,20/80,0.9699029
29,google,resnet,bing,30/70,0.97553813
30,google,resnet,bing,40/60,0.9851042
31,google,resnet,bing,50/50,0.98647976
32,google,vgg,bing,20/80,0.9749631
33,google,vgg,bing,30/70,0.9749631
34,google,vgg,bing,40/60,0.9810945
35,google,vgg,bing,50/50,0.98242086
36,google,alexnet,google,20/80,0.94676256
37,google,alexnet,google,30/70,0.9701711
38,google,alexnet,google,40/60,0.9748148
39,google,alexnet,google,50/50,0.9781094
40,google,resnet,google,20/80,0.9694027
41,google,resnet,google,30/70,0.9842209
42,google,resnet,google,40/60,0.9875808
43,google,resnet,google,50/50,0.9904952
44,google,vgg,google,20/80,0.96736485
45,google,vgg,google,30/70,0.98113203
46,google,vgg,google,40/60,0.98601395
47,google,vgg,google,50/50,0.98646617
