,source_dataset,target_model,target_dataset,target_balancing,baseline_f1
0,bing,alexnet,bing,20/80,0.94106275
1,bing,alexnet,bing,30/70,0.9514563
2,bing,alexnet,bing,40/60,0.9575937
3,bing,alexnet,bing,50/50,0.96004
4,bing,resnet,bing,20/80,0.9721544
5,bing,resnet,bing,30/70,0.9769721
6,bing,resnet,bing,40/60,0.98058736
7,bing,resnet,bing,50/50,0.9793866
8,bing,vgg,bing,20/80,0.9731314
9,bing,vgg,bing,30/70,0.9778652
10,bing,vgg,bing,40/60,0.98210734
11,bing,vgg,bing,50/50,0.9784461
12,bing,alexnet,google,20/80,0.93655306
13,bing,alexnet,google,30/70,0.95228916
14,bing,alexnet,google,40/60,0.9557874
15,bing,alexnet,google,50/50,0.9485369
16,bing,resnet,google,20/80,0.9731838
17,bing,resnet,google,30/70,0.97821784
18,bing,resnet,google,40/60,0.98015875
19,bing,resnet,google,50/50,0.9798387
20,bing,vgg,google,20/80,0.9760625
21,bing,vgg,google,30/70,0.9764244
22,bing,vgg,google,40/60,0.98017836
23,bing,vgg,google,50/50,0.98247373
24,google,alexnet,bing,20/80,0.95210165
25,google,alexnet,bing,30/70,0.95771873
26,google,alexnet,bing,40/60,0.958768
27,google,alexnet,bing,50/50,0.96285146
28,google,resnet,bing,20/80,0.9748148
29,google,resnet,bing,30/70,0.97683585
30,google,resnet,bing,40/60,0.98198205
31,google,resnet,bing,50/50,0.984879
32,google,vgg,bing,20/80,0.9769042
33,google,vgg,bing,30/70,0.9860973
34,google,vgg,bing,40/60,0.99001
35,google,vgg,bing,50/50,0.9869478
36,google,alexnet,google,20/80,0.9461135
37,google,alexnet,google,30/70,0.95141894
38,google,alexnet,google,40/60,0.958768
39,google,alexnet,google,50/50,0.95907027
40,google,resnet,google,20/80,0.9707317
41,google,resnet,google,30/70,0.9777338
42,google,resnet,google,40/60,0.9835576
43,google,resnet,google,50/50,0.98438287
44,google,vgg,google,20/80,0.98128074
45,google,vgg,google,30/70,0.98318493
46,google,vgg,google,40/60,0.9895158
47,google,vgg,google,50/50,0.9884827
